"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0250e6f7-2538-4d1f-a8ff-ca34a7057dde",29298,1,29298,0,0,"ESAD"
"09497b9b-6fca-48cb-af97-161a3e434a51",9508,1,9508,0,0,"ESAD"
"0e872e0d-4711-4364-a5d0-6beeb6fd3ff2",38509,2,27553,10956,0.284504921,"ESAD"
"0ef92ff8-829f-425a-91d8-c594b6e22a2b",15439,2,10708,4731,0.306431764,"ESAD"
"0efb6e20-236d-4640-9373-6fc03e67d090",54,2,51,3,0.055555556,"ESAD"
"134c9a92-e91e-4347-a9c4-727279edebb1",61263,2,59944,1319,0.021530124,"ESAD"
"15e7d981-8c27-4b2b-b4f8-626e22021895",23968,2,21795,2173,0.09066255,"ESAD"
"1bb2bdb7-8a89-4e7d-903d-03a6f8018efb",10413,2,9828,585,0.056179775,"ESAD"
"1f967003-82d6-4932-a445-24fc25723594",13110,2,10494,2616,0.199542334,"ESAD"
"23fa90d5-b273-4e2c-9c88-68aa57b60e97",6911,2,2789,4122,0.596440457,"ESAD"
"25c99312-bf63-4654-a73a-03c3c1cd50b6",5577,1,5577,0,0,"ESAD"
"27b56bf2-7a9d-4061-98d4-61fe2761578c",41920,2,38571,3349,0.079890267,"ESAD"
"28e81540-4744-4865-b627-c7c9d8a3c2b8",12476,1,12476,0,0,"ESAD"
"293a2f0a-4846-4c7c-b8b1-bb741c8d3275",76462,2,69523,6939,0.090750961,"ESAD"
"2b41746a-95c0-4875-afb5-c6d3d3ad30d9",25487,2,19647,5840,0.229136422,"ESAD"
"2e69c886-535b-4ff0-9236-abf6799acdbd",20490,1,20490,0,0,"ESAD"
"31f3ff14-7d74-447c-a5da-9ad8336c3f3f",30489,1,30489,0,0,"ESAD"
"33992441-4f34-42f2-ba87-6ddd227f2250",8129,2,7529,600,0.073809817,"ESAD"
"35dc84c1-476c-4d48-ae23-622bf6e043ac",32753,2,28398,4355,0.132964919,"ESAD"
"35eb6ecf-9514-4416-94b1-02200c0a1571",17179,2,15620,1559,0.090750335,"ESAD"
"36680797-36de-413d-b2a1-8804ac1705e9",12736,1,12736,0,0,"ESAD"
"371235d9-55b8-40a7-8cd6-baa7c2ad0493",27329,2,25632,1697,0.06209521,"ESAD"
"384ef419-ee94-4563-9237-236fddeb4b64",10145,1,10145,0,0,"ESAD"
"3a18aa52-b6e2-4d03-ad05-ef99d653f0e0",3093,1,3093,0,0,"ESAD"
"3a551616-4840-4111-a8c5-b4aa773d82c2",11115,2,9303,1812,0.163022942,"ESAD"
"3b590d75-ccfb-4da8-a2e9-10fb07e02cea",32239,2,30462,1777,0.055119576,"ESAD"
"3bb4c27b-4d0d-4d13-b910-41a9ebf95880",22674,2,20196,2478,0.109288171,"ESAD"
"3da169e8-844a-4eee-b794-a2eb81db779a",18466,2,8502,9964,0.539586267,"ESAD"
"3e6a17f9-c249-41b6-ba49-55aaa39d21c5",39989,2,37750,2239,0.055990397,"ESAD"
"42629ae0-9410-4fac-8df1-2c276467deb5",44625,2,42196,2429,0.054431373,"ESAD"
"4283773c-c04b-4f33-a398-f3566f6d293a",37439,2,30705,6734,0.179865915,"ESAD"
"47874ff4-0b1c-4a31-9192-2a10e93ce9a1",18400,2,17100,1300,0.070652174,"ESAD"
"48a0da38-8147-40fe-b683-3f070413a792",18142,1,18142,0,0,"ESAD"
"526b3796-2cbd-4eec-8273-064b41456279",14041,3,3566,10475,0.746029485,"ESAD"
"532bec86-b8d3-41a1-ba17-913a7d378f66",30614,2,25858,4756,0.15535376,"ESAD"
"569393c8-e2fe-4580-a45b-81f1b1e01135",38661,2,36612,2049,0.052999146,"ESAD"
"5fd632ea-085e-4e9b-8dcc-ec94e492d3bf",16796,2,15802,994,0.059180757,"ESAD"
"60525b38-c34b-479b-86d3-013c7e567b8f",74803,2,66893,7910,0.105744422,"ESAD"
"64623aaa-a274-4baa-8b71-958d9c8df733",53052,2,35111,17941,0.338177637,"ESAD"
"6495e68e-1434-45d3-a03d-f286447dda79",19583,2,14080,5503,0.281009038,"ESAD"
"69c3c88c-d51e-4e03-b96b-ec4f1a0faa2d",16170,3,12067,4103,0.253741497,"ESAD"
