"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0ed63d84-d3fe-4289-9255-35f4a03b703b",3891,2,3653,238,0.061166795,"KIRP"
"14dd86c1-dfb3-4124-a453-4d64223bc048",4256,2,4006,250,0.058740602,"KIRP"
"19d6cf34-1cd7-4242-a4d1-5d3e11f428aa",7189,2,5985,1204,0.167478092,"KIRP"
"2425a532-f562-423a-88f5-228642f53875",5414,2,5093,321,0.059290728,"KIRP"
"2deb8f9a-9e0a-46d1-bcb5-902db3b5c8ac",6614,2,6017,597,0.090263078,"KIRP"
"2e8ad1cd-d5d5-4bb4-8bbd-e9bef45088da",7311,2,5608,1703,0.232936671,"KIRP"
"33b7e799-ad10-498f-9948-8ce433311539",6375,2,5989,386,0.06054902,"KIRP"
"42f88b95-fa12-47c7-93f1-cf72f207291c",6361,2,5776,585,0.091966672,"KIRP"
"483bb781-0179-42e1-bf9c-487b240769b8",4151,2,3666,485,0.116839316,"KIRP"
"5ecc88f7-8391-4168-af11-07a6bf9b3652",7748,2,7028,720,0.092927207,"KIRP"
"63d0c49d-918d-41fb-808a-1f8001981917",3164,2,2877,287,0.090707965,"KIRP"
"642e1379-1061-40bc-9a4c-f7c191e84d9d",4764,3,3383,1381,0.289882452,"KIRP"
"6ba5f81a-b7a0-4c18-a112-2e11094eec85",3033,2,2785,248,0.081767227,"KIRP"
"72293a70-9dc8-4e4a-acdc-c74587a90420",1431,4,232,1199,0.837875611,"KIRP"
"7815397b-aa39-4b79-bcaa-6859a3f115f8",5487,1,5487,0,0,"KIRP"
"88e35d25-d98d-4576-8ebe-1cd74010ecd8",10071,2,9242,829,0.08231556,"KIRP"
"8fb7fcac-6c1d-40c2-9309-b53821cbef30",7125,2,6725,400,0.056140351,"KIRP"
"a441697c-4ca0-4eab-9b01-b9cb50223ce2",5153,2,4494,659,0.127886668,"KIRP"
"a9dbd55c-5dcc-48db-8785-6baef3fdd7db",5035,2,4782,253,0.050248262,"KIRP"
"ad9455e9-7147-489e-9b1f-3540c457c260",7571,3,4151,3420,0.451723682,"KIRP"
"b19ec4cd-2876-4a2b-bcb9-b3c8db54fc15",7040,2,6625,415,0.058948864,"KIRP"
"b4f515ce-5bee-4e40-a66a-01f41e92181e",3295,2,3071,224,0.067981791,"KIRP"
"bd2cc59d-f5ce-46ed-beb0-4c80b24cbe71",1830,2,1345,485,0.265027322,"KIRP"
"bef23192-57cd-4301-b7a7-5e82ca62482d",3584,2,3296,288,0.080357143,"KIRP"
"c14407ad-670e-4d1e-9417-2b76f4810fff",5388,2,5110,278,0.05159614,"KIRP"
"c504d5a9-29b0-4b7e-ac7b-5e543449a0f4",6913,2,6445,468,0.067698539,"KIRP"
"ca2b9fe2-97e0-4d4f-afd7-a5acf638800f",2566,2,2397,169,0.065861263,"KIRP"
"cf5deb22-f7eb-409d-a0e4-882716199c39",3724,2,3228,496,0.133190118,"KIRP"
"d8415cf6-8e4d-4c54-811e-199da14237f1",5404,1,5404,0,0,"KIRP"
"dddea2e4-b8c3-4157-9d92-6de472e8375a",4415,2,3342,1073,0.243035108,"KIRP"
"e1217ebe-1826-41a9-b6c4-702100a66f5e",2213,2,2003,210,0.094893809,"KIRP"
"e6801359-d1d7-4871-b2fb-180674a2e469",7107,2,6474,633,0.089067117,"KIRP"
"f03330dd-c616-4ad5-abc3-6d6b0445e9e9",4785,2,4438,347,0.072518286,"KIRP"
