"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"00493087-9d9d-40ca-86d5-936f1b951c93",2194,2,1564,630,0.287146764,"LGG"
"2aeaab9f-4459-4be8-91e7-e0746cbd671c",3065,2,694,2371,0.773572594,"LGG"
"3a81f733-b3a3-4578-b925-a663612bc92c",2043,2,956,1087,0.532060695,"LGG"
"3d477ac1-3bdf-4410-9594-1a3a1412c6ae",5133,2,4754,379,0.073835963,"LGG"
"4853fd17-7214-4f0c-984b-1be0346ca4ab",1614,2,1204,410,0.254027261,"LGG"
"67f88cd9-ab77-4227-a8d7-5512246f9772",1551,3,657,894,0.576402321,"LGG"
"6847e993-1414-4e6f-a2af-39ebe218dd7c",411,2,331,80,0.194647202,"LGG"
"85d915b8-0184-4ec7-93ad-e9ffa2f5743b",3603,3,2940,663,0.184013322,"LGG"
"86386b36-2950-4479-b79f-4b347053c8bc",1341,6,227,1114,0.830723341,"LGG"
"88395c0e-4afe-434d-8b20-5a3eef8b7f00",1068,3,355,713,0.667602996,"LGG"
"8c46a1df-1c10-4188-992a-a55b782494c9",2312,3,1689,623,0.269463668,"LGG"
"a78544d7-65c6-4778-af62-ceec24c14056",5877,3,4914,963,0.163859112,"LGG"
"ba94c29b-b76e-4d67-bf5a-ce6bc45d85f8",2657,3,2144,513,0.193074896,"LGG"
"c1abb741-4fcd-4161-b057-c7efd619cc99",2107,2,1993,114,0.054105363,"LGG"
"c6888be2-4517-41e4-a801-9c915f24e737",2799,2,1913,886,0.316541622,"LGG"
"d252a54e-0377-4b3e-8228-26108ea704fa",1891,2,1431,460,0.243257536,"LGG"
"d414e076-dcb6-4edf-adef-0abdc57354ea",2492,3,2041,451,0.180979133,"LGG"
"f92a34fa-014e-4b41-a6d0-3b46b8c8a3ee",1900,2,1414,486,0.255789474,"LGG"
