"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"03c88506-d72e-4a44-a34e-a7f0564f1799",8687,2,8125,562,0.064694371,"LIHC"
"0d259ac2-03d1-4814-9b0b-d05e3a6029b7",7561,2,6570,991,0.131067319,"LIHC"
"1127b561-ea40-4d5e-95df-daa0a5ebc1e4",16411,3,14158,2253,0.137285967,"LIHC"
"1c00925b-7328-4db0-b930-04aab2d80719",8327,3,6401,1926,0.231295785,"LIHC"
"29b92b51-7ba3-42a9-97d3-6a9b5e43f928",15017,2,13065,1952,0.129986016,"LIHC"
"2bff30d5-be79-4686-8164-7a7d9619d3c0",13759,2,12951,808,0.058725198,"LIHC"
"305a5074-5384-45a0-985d-289b178d09f6",9876,2,9360,516,0.052247874,"LIHC"
"343fcbc2-f30c-4ffa-a0b3-f5bb21e5e70b",6562,2,6158,404,0.061566596,"LIHC"
"352fbbb4-88a5-4354-b1fa-3a01da3fbfa7",2644,2,1600,1044,0.394856278,"LIHC"
"36e1d9cc-32ec-4a0a-8fb1-c46f058a6fb8",10094,2,9199,895,0.088666535,"LIHC"
"3bacc189-01b8-46cc-a442-f393c0f428c6",5968,2,4638,1330,0.222855228,"LIHC"
"41840dc1-5ea2-4f01-a0d4-8b65add641c8",3338,2,2944,394,0.118034751,"LIHC"
"4624fd20-e2ad-4826-b606-a694b04e1076",10791,1,10791,0,0,"LIHC"
"463bf060-8ba6-4a73-8173-172025f7b527",13157,2,12003,1154,0.087709964,"LIHC"
"47e5ff56-9534-4fcf-a593-33027e877f93",15724,2,14717,1007,0.064042228,"LIHC"
"484a41c8-fcaf-488d-97dc-bfe6a4b88a95",11747,2,10641,1106,0.094151698,"LIHC"
"4904d56f-0fe7-4482-8f6d-9e54d261f399",16411,2,11987,4424,0.269575285,"LIHC"
"4c3eda94-56f4-46d3-8c88-50d476e773f6",3256,2,2085,1171,0.359643735,"LIHC"
"4cff8590-559e-4204-8635-96e11bfeda68",15193,5,7735,7458,0.49088396,"LIHC"
"50ee360c-e3df-4888-9999-ebb88e271d08",7683,2,7181,502,0.06533906,"LIHC"
"5d58b984-e0b8-4237-a576-0e9d4079599e",3411,1,3411,0,0,"LIHC"
"5df489bc-6178-49e4-8a42-506f70300dff",8109,2,7440,669,0.082500925,"LIHC"
"5ead73fe-1c34-48ed-b20d-89fc3c82dbd6",3487,2,2977,510,0.146257528,"LIHC"
"63adc09c-e1b1-40dd-9c35-2f8276b656fc",12067,2,11295,772,0.063976133,"LIHC"
"670f971f-a525-4ef8-91ba-610cfbaeb914",18614,2,12139,6475,0.347856452,"LIHC"
"6b25a78f-20dc-4ccc-b4c0-f9885d16725d",11786,1,11786,0,0,"LIHC"
"6b50391f-d890-4ca0-b942-beab0f8bf1c9",7312,5,2379,4933,0.67464442,"LIHC"
"6e6ad1a2-f1eb-44d1-9852-f5752afcf5eb",17355,3,13901,3454,0.199020455,"LIHC"
"70422e6d-cb1f-4284-8be9-1d4517ffad60",14366,2,9941,4425,0.308018934,"LIHC"
"7f03cb4b-60b1-460c-b761-402e7ca09b0d",2140,1,2140,0,0,"LIHC"
"7fc7b316-f3d3-4e71-9417-423fe334e6bc",28580,2,12745,15835,0.554058782,"LIHC"
"81a8b064-e735-455f-b2db-af7ae11daac4",18750,2,14627,4123,0.219893333,"LIHC"
"84a0bc36-9f29-4b23-aee1-bf5ff71f697b",7767,1,7767,0,0,"LIHC"
"84fe77b4-f6cc-49bf-a6b9-1621ec9394f8",12872,3,8714,4158,0.323026725,"LIHC"
"90611290-e44c-438e-91aa-f3b83dae3b71",22447,2,21153,1294,0.057646902,"LIHC"
"96517058-18d2-4847-8085-768ca8aa1565",59638,2,53347,6291,0.105486435,"LIHC"
"992d9566-b1da-421a-bf36-d23382b115fa",9665,2,9146,519,0.053698914,"LIHC"
"9c681cd9-25fb-42ac-aa6b-bb962882fa22",6958,3,5741,1217,0.174906582,"LIHC"
"a2f143d6-ba07-4ff0-960d-b29c3c716665",4733,2,3577,1156,0.244242552,"LIHC"
"b9098b7c-eab0-4ef5-b968-8d3024bf32f7",10694,2,10053,641,0.059940153,"LIHC"
"b9f03936-1de5-4330-8b0f-6d0ab533876e",3585,5,2305,1280,0.357043236,"LIHC"
"c016d025-3c92-41c5-b846-493b1fcce79e",5429,2,5132,297,0.054706207,"LIHC"
"c05adc19-2e01-4712-a35a-69eee4d40998",16660,3,13468,3192,0.191596639,"LIHC"
"c1d9ed06-7498-4c6c-a0de-dbf28e868109",7401,3,6365,1036,0.139981084,"LIHC"
"c285c2fa-24b4-47a1-874d-86e74b002b05",5809,2,2035,3774,0.649681529,"LIHC"
"c36213e4-c057-46f5-ada5-f1f921855bb4",5319,2,4509,810,0.152284264,"LIHC"
"d02597f8-3ac7-4165-a65f-0e134e5d215b",10250,2,9728,522,0.050926829,"LIHC"
"d252f328-4583-4e97-9a71-bb2885f06f73",7386,2,6958,428,0.057947468,"LIHC"
"d6ccfd6f-2ea9-499d-a25d-4ba9d4a9258e",8889,3,7502,1387,0.15603555,"LIHC"
"d9c5493e-f969-4c04-a646-9a3134011021",6849,2,6165,684,0.099868594,"LIHC"
"dcf45005-7e6d-4c26-9994-f973da7e814f",8125,1,8125,0,0,"LIHC"
"e30c64d5-e796-4cfc-8dc8-6e62bf97822f",13671,1,13671,0,0,"LIHC"
"f1a4f60a-5228-47cd-883f-ff8d2dfe1633",7474,2,6744,730,0.097671929,"LIHC"
"f7e9eed5-7a0b-4b2d-bea3-fd8c42a3b90e",5006,2,4704,302,0.060327607,"LIHC"
