"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"00c27940-c623-11e3-bf01-24c6515278c0",16027,1,16027,0,0,"LIRI"
"01dc6872-c623-11e3-bf01-24c6515278c0",9341,2,8268,1073,0.114869928,"LIRI"
"030695f6-c623-11e3-bf01-24c6515278c0",12773,2,9451,3322,0.260079856,"LIRI"
"041e3b42-c623-11e3-bf01-24c6515278c0",7727,2,7257,470,0.060825676,"LIRI"
"062e96d4-c623-11e3-bf01-24c6515278c0",10220,1,10220,0,0,"LIRI"
"072f4146-c623-11e3-bf01-24c6515278c0",9177,1,9177,0,0,"LIRI"
"0831e45e-c623-11e3-bf01-24c6515278c0",19983,2,18919,1064,0.053245258,"LIRI"
"0a9c9db0-c623-11e3-bf01-24c6515278c0",10567,1,10567,0,0,"LIRI"
"0be08326-c623-11e3-bf01-24c6515278c0",13122,1,13122,0,0,"LIRI"
"0cdbabf2-c623-11e3-bf01-24c6515278c0",5651,1,5651,0,0,"LIRI"
"0dd39eca-c623-11e3-bf01-24c6515278c0",8413,2,7833,580,0.068940925,"LIRI"
"0eeafcd6-c623-11e3-bf01-24c6515278c0",18360,2,15533,2827,0.153976035,"LIRI"
"10136472-c623-11e3-bf01-24c6515278c0",3210,1,3210,0,0,"LIRI"
"10cb8ac6-c622-11e3-bf01-24c6515278c0",21624,2,20345,1279,0.059147244,"LIRI"
"10db2142-c623-11e3-bf01-24c6515278c0",10200,3,8391,1809,0.177352941,"LIRI"
"1295947c-c623-11e3-bf01-24c6515278c0",31285,2,29574,1711,0.054690746,"LIRI"
"13bd2b30-c623-11e3-bf01-24c6515278c0",4917,1,4917,0,0,"LIRI"
"15895218-c623-11e3-bf01-24c6515278c0",13479,2,12098,1381,0.102455672,"LIRI"
"15fd8dc8-c622-11e3-bf01-24c6515278c0",14214,2,13455,759,0.053398058,"LIRI"
"17de5b12-c623-11e3-bf01-24c6515278c0",13021,3,10154,2867,0.220182782,"LIRI"
"18f5e75e-c623-11e3-bf01-24c6515278c0",4814,3,3330,1484,0.308267553,"LIRI"
"19fe27d8-c623-11e3-bf01-24c6515278c0",8604,2,7965,639,0.074267782,"LIRI"
"1b06afe2-c623-11e3-bf01-24c6515278c0",7138,1,7138,0,0,"LIRI"
"1c10ab52-01a3-11e4-8395-af1f6b7ba88c",10053,2,9337,716,0.071222521,"LIRI"
"1c1c6494-c623-11e3-bf01-24c6515278c0",9014,1,9014,0,0,"LIRI"
"1dbdbb2c-c623-11e3-bf01-24c6515278c0",22078,1,22078,0,0,"LIRI"
"1df8939c-c622-11e3-bf01-24c6515278c0",9463,2,8919,544,0.057487055,"LIRI"
"1ea7e01c-c623-11e3-bf01-24c6515278c0",11384,1,11384,0,0,"LIRI"
"1fd69adc-c623-11e3-bf01-24c6515278c0",4442,2,3856,586,0.131922557,"LIRI"
"2109e1d4-c623-11e3-bf01-24c6515278c0",3374,1,3374,0,0,"LIRI"
"221d0290-c623-11e3-bf01-24c6515278c0",13185,2,11690,1495,0.113386424,"LIRI"
"2316ee90-c623-11e3-bf01-24c6515278c0",585,2,553,32,0.054700855,"LIRI"
"23eb72d8-c622-11e3-bf01-24c6515278c0",16416,2,15576,840,0.051169591,"LIRI"
"2468e58c-c623-11e3-bf01-24c6515278c0",13377,1,13377,0,0,"LIRI"
"2572b0bc-c622-11e3-bf01-24c6515278c0",7864,1,7864,0,0,"LIRI"
"2584b428-c623-11e3-bf01-24c6515278c0",8297,1,8297,0,0,"LIRI"
"26de406e-c623-11e3-bf01-24c6515278c0",16041,2,15138,903,0.056293249,"LIRI"
"27fcccdc-c622-11e3-bf01-24c6515278c0",19724,2,18533,1191,0.060383289,"LIRI"
"2828e5e6-c623-11e3-bf01-24c6515278c0",20666,2,16359,4307,0.208409949,"LIRI"
"295aac88-c623-11e3-bf01-24c6515278c0",10555,2,10010,545,0.051634297,"LIRI"
"2b569b88-c622-11e3-bf01-24c6515278c0",21601,1,21601,0,0,"LIRI"
"2bd56bba-c623-11e3-bf01-24c6515278c0",7369,1,7369,0,0,"LIRI"
"2d0e4b82-c623-11e3-bf01-24c6515278c0",13498,2,12715,783,0.058008594,"LIRI"
"2e0bbaf6-c623-11e3-bf01-24c6515278c0",4579,2,3818,761,0.166193492,"LIRI"
"2ecd8358-c622-11e3-bf01-24c6515278c0",11711,2,10793,918,0.07838784,"LIRI"
"2f149d78-c623-11e3-bf01-24c6515278c0",11075,2,10493,582,0.05255079,"LIRI"
"30a8f292-c623-11e3-bf01-24c6515278c0",8549,3,4259,4290,0.501813078,"LIRI"
"31bcfd64-c622-11e3-bf01-24c6515278c0",8039,2,7313,726,0.09030974,"LIRI"
"31c0c8f8-c623-11e3-bf01-24c6515278c0",12557,2,10128,2429,0.193437923,"LIRI"
"32be40fa-c623-11e3-bf01-24c6515278c0",8800,2,8354,446,0.050681818,"LIRI"
"33a8693c-c623-11e3-bf01-24c6515278c0",14364,1,14364,0,0,"LIRI"
"34030a28-c622-11e3-bf01-24c6515278c0",9590,2,8258,1332,0.138894682,"LIRI"
"34c24482-c623-11e3-bf01-24c6515278c0",8525,2,7973,552,0.064750733,"LIRI"
"35cca3b8-c623-11e3-bf01-24c6515278c0",15070,2,9343,5727,0.380026543,"LIRI"
"35e33a7a-c622-11e3-bf01-24c6515278c0",5680,1,5680,0,0,"LIRI"
"36d9c1aa-c623-11e3-bf01-24c6515278c0",6300,1,6300,0,0,"LIRI"
"380593d8-c623-11e3-bf01-24c6515278c0",19708,1,19708,0,0,"LIRI"
"38d8e626-c622-11e3-bf01-24c6515278c0",15275,2,14301,974,0.063764321,"LIRI"
"39458b0e-c623-11e3-bf01-24c6515278c0",1541,1,1541,0,0,"LIRI"
"3a49a936-c623-11e3-bf01-24c6515278c0",10164,2,8854,1310,0.128886265,"LIRI"
"3b41cb48-c623-11e3-bf01-24c6515278c0",7241,3,5326,1915,0.264466234,"LIRI"
"3c30b10e-c623-11e3-bf01-24c6515278c0",9055,1,9055,0,0,"LIRI"
"3c78970e-c622-11e3-bf01-24c6515278c0",10841,1,10841,0,0,"LIRI"
"3d400522-c623-11e3-bf01-24c6515278c0",10136,2,9510,626,0.061760063,"LIRI"
"3e2a85d0-c622-11e3-bf01-24c6515278c0",6506,1,6506,0,0,"LIRI"
"3e68233a-c623-11e3-bf01-24c6515278c0",7454,2,6994,460,0.061711833,"LIRI"
"3f99ae0e-c623-11e3-bf01-24c6515278c0",18027,2,12213,5814,0.322516226,"LIRI"
"3faeb03e-c622-11e3-bf01-24c6515278c0",18894,2,17928,966,0.051127342,"LIRI"
"40b1e928-c623-11e3-bf01-24c6515278c0",17428,2,16350,1078,0.061854487,"LIRI"
"41de507a-c623-11e3-bf01-24c6515278c0",5397,2,4824,573,0.106170094,"LIRI"
"4255582e-c622-11e3-bf01-24c6515278c0",5264,2,4762,502,0.095364742,"LIRI"
"42e92d78-c623-11e3-bf01-24c6515278c0",16499,2,15321,1178,0.071398267,"LIRI"
