"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0f9e70b3-24cf-4d76-af7b-84ace66ec5a7",6696,1,6696,0,0,"ORCA"
"1fdab6a6-7346-4229-aa8d-5dbd258f0c60",8606,1,8606,0,0,"ORCA"
"1ff155dd-deb4-44e0-b3a2-e4875b618435",12783,1,12783,0,0,"ORCA"
"34d7b6cc-cfcf-4178-b075-f4d129ab18f7",2761,1,2761,0,0,"ORCA"
"469eddf2-6e02-46bf-820f-6296a2b776e2",721,1,721,0,0,"ORCA"
"7625877a-7a2b-466f-944b-9e56689ad47b",6158,1,6158,0,0,"ORCA"
"9650640f-154d-4696-aa96-3611c6fcee7b",10242,2,9074,1168,0.114040227,"ORCA"
"9fb6b7be-0084-48f7-a256-6d170e72e97f",3582,1,3582,0,0,"ORCA"
"bcc819eb-f4d8-4ddc-9fdc-a6307fb6741b",4181,1,4181,0,0,"ORCA"
"ca137611-533a-4d20-a85d-8e4c3a1eab2d",5527,1,5527,0,0,"ORCA"
"e2e6a409-b64d-463c-ac3b-e7987a3124f0",14551,1,14551,0,0,"ORCA"
"f35f7712-d5c6-47f6-98ed-704edbbc1e19",22768,1,22768,0,0,"ORCA"
"fb8b5ff5-4164-4276-b75b-b0ee6bda7329",12051,1,12051,0,0,"ORCA"
