"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"03ced0ce-186a-4349-8d98-572c2bc90382",3956,2,2652,1304,0.329625885,"SARC"
"075fc96d-6742-4ef3-9369-482592ad3a2f",3745,2,3527,218,0.058210948,"SARC"
"16d33e09-2e21-4da2-8e57-e78ce28c4408",6102,3,4646,1456,0.238610292,"SARC"
"18ec066e-8510-4921-9e35-45d85fb01e38",4501,3,2590,1911,0.424572317,"SARC"
"1c188bf5-2c99-4eb4-a774-59c75d53e643",9267,4,5922,3345,0.360958239,"SARC"
"35c797fd-ca81-4cef-b6c4-7e3776f661b3",4482,2,3585,897,0.200133869,"SARC"
"3c963890-6e79-4b16-a4aa-bac04938b4d7",4978,3,3997,981,0.197067095,"SARC"
"3db6e6cc-1a06-49b9-834e-b6611cde4c4b",1735,2,1341,394,0.227089337,"SARC"
"408ed640-75f6-4346-bdd0-3b93c51adae5",1905,3,958,947,0.497112861,"SARC"
"4c59fb2d-21b6-4b09-8174-6102de736e4d",11231,2,9263,1968,0.175229276,"SARC"
"4d4eff82-ede0-47f1-b49a-ada025952114",3638,2,2700,938,0.257833975,"SARC"
"522dc834-8367-4f49-b93b-fcba91a2de7e",3234,3,2369,865,0.267470625,"SARC"
"56681386-d407-4f53-ae4f-6c04437652f7",3767,2,2730,1037,0.275285373,"SARC"
"63db50d6-5ef2-44d0-9906-26eae74ecf44",3461,3,2959,502,0.145044785,"SARC"
"67bb70b2-b6f8-4aa9-80ce-48829f9fec56",3385,3,2672,713,0.210635155,"SARC"
"6aa00162-6294-4ce7-b6b7-0c3452e24cd6",2082,2,1716,366,0.175792507,"SARC"
"729229fe-92b9-439b-acd2-b49159116a41",5158,2,4772,386,0.074835207,"SARC"
"72f0a49a-aec8-47e5-846a-956c4da1507c",5248,3,3954,1294,0.246570122,"SARC"
"7a5d3b6b-be5a-4e55-9255-32a069b8af3d",3507,3,2903,604,0.172226975,"SARC"
"7d332cb1-ba25-47e4-8bf8-d25e14f40d59",8138,4,6352,1786,0.219464242,"SARC"
"7d734d06-f2b1-4924-a201-620ac8084c49",2503,3,1582,921,0.36795845,"SARC"
"968929b0-6bfb-4a2c-bd4d-570bfcdb8a6a",2183,1,2183,0,0,"SARC"
"9d691fa3-5c32-4b98-85c4-f6e0fd4c37e0",3357,3,1643,1714,0.510574918,"SARC"
"9e7b51fb-2249-451a-bf23-bb2a3d935928",3677,3,3074,603,0.163992385,"SARC"
"a2f02ff7-8433-4cb5-9324-34f13edeaca1",3804,2,3470,334,0.087802313,"SARC"
"afee5b10-3dff-4e50-9575-bc9fe20c5dea",11428,4,5684,5744,0.502625131,"SARC"
"c556f81b-8a6c-4bbb-876f-2e2ce570c185",7640,2,6509,1131,0.148036649,"SARC"
"cb5e1546-cda6-4991-911c-f3dd9f1a475a",3514,4,1768,1746,0.496869664,"SARC"
"cb783f8b-d092-4104-b809-3f90b19df7df",4421,3,3485,936,0.211716806,"SARC"
"cdbbd701-9c05-4f9e-923d-06039dd8a04d",12628,3,2237,10391,0.822853975,"SARC"
"d53c2680-89ac-4f87-a7ba-f4c669546b76",5604,2,5139,465,0.082976445,"SARC"
"d8f0becd-fda8-41f4-a424-e082f9eae22c",7042,2,6000,1042,0.147969327,"SARC"
"db650eff-4e2c-4ce3-9124-7697b6e03359",754,1,754,0,0,"SARC"
"df4366c4-170f-4233-b577-a8ea277b069c",5840,2,5148,692,0.118493151,"SARC"
