"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0cd60b96-eb2d-4687-9709-d1455ec45de7",6534,1,6534,0,0,"STAD"
"0fa9cfba-0f49-47d0-ab54-9dd2144e0a73",5295,2,4484,811,0.153163362,"STAD"
"1021b60d-f7b2-43b0-b2cc-f282d619d533",61314,2,58603,2711,0.044215024,"STAD"
"153a64ee-6322-4f2e-b3df-77ef7d3a4cf0",53035,2,43134,9901,0.186688036,"STAD"
"172c9864-c26d-4e9b-947a-e8ce761e996d",9775,1,9775,0,0,"STAD"
"1d0617e8-2725-4411-b50f-e46ea1d43242",77477,2,72558,4919,0.06348981,"STAD"
"1f2a8889-4374-4037-bb56-0f20733380e3",18337,2,15142,3195,0.17423788,"STAD"
"2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e",9119,2,8524,595,0.065248382,"STAD"
"2e66eb75-097c-4ad8-b2b3-9f5849dfd02f",3547,1,3547,0,0,"STAD"
"388a8875-c3f5-494e-8456-28be8d3626e1",59496,2,50892,8604,0.144614764,"STAD"
"3db3b7b1-da1d-4b9c-a92a-c60fecf4328c",27406,1,27406,0,0,"STAD"
"429aad6f-816d-4739-baa3-b0ebf2fcd501",15276,1,15276,0,0,"STAD"
"576a1741-8c65-40da-9f0f-b2ca805d70f3",9699,3,8177,1522,0.156923394,"STAD"
"5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7",10899,2,9830,1069,0.098082393,"STAD"
"61cad26a-cbc6-4977-83b9-dc61e49f2861",8348,2,6932,1416,0.169621466,"STAD"
"622eaa04-b8f9-471b-98b0-7befd119f14c",11004,2,10268,736,0.066884769,"STAD"
"6a7cdaf6-211e-4eb8-a70e-1153d69c45e4",5405,2,4482,923,0.170767808,"STAD"
"6dac8ca0-f776-4ea2-85c4-aefba4966be7",26967,2,25445,1522,0.056439352,"STAD"
"7116cc90-f465-4e7e-aa27-48a83ed258e9",26256,1,26256,0,0,"STAD"
"7e305f31-fbb0-4bce-894b-1dd85e303421",101491,2,95314,6177,0.06086254,"STAD"
"931b24da-5d6d-4c2d-8de9-ef32d6eb8565",56585,2,50281,6304,0.111407617,"STAD"
"9536f736-63bc-4099-bd54-740f5910f4a8",13094,4,3762,9332,0.712692836,"STAD"
"a2e67393-50d7-4bcc-9bbd-c695086a936a",5273,2,4974,299,0.056703964,"STAD"
"a2ee5dde-4342-4e78-88c5-3c9a8e10cbf5",9217,2,8616,601,0.065205598,"STAD"
"a4c838df-6ac4-455a-8096-8ec680064374",8511,2,7993,518,0.060862413,"STAD"
"c1b44966-0f72-4c4f-8783-ab3ffe7f17b2",5436,2,4675,761,0.139992642,"STAD"
"c612570a-881d-421f-98b9-0e4563133744",6848,1,6848,0,0,"STAD"
"c79ce3d3-4758-4f52-9da1-38f994c99f4e",10913,2,10243,670,0.061394667,"STAD"
"c8e961b4-e324-40a2-89f6-736ec3845bc9",367190,2,171878,195312,0.53190991,"STAD"
"d6738c83-7b52-4224-846a-67bd085aaab8",16235,2,3327,12908,0.795072374,"STAD"
"d8d5585d-32cd-4ac4-b410-a4122a17a558",10738,2,9409,1329,0.123766064,"STAD"
"dc537fcf-d910-4c4b-8af9-e7da429f2633",63351,2,57320,6031,0.09519976,"STAD"
"ea1cac20-88c1-4257-9cdb-d2890eb2e123",11757,3,9713,2044,0.173853874,"STAD"
"ea2055d1-7b8b-4aaf-9a70-8802f4deef9b",9146,2,7392,1754,0.191777826,"STAD"
"eb59b79f-bd36-4bf4-83e3-2af73bd1d30a",4725,2,3793,932,0.197248677,"STAD"
"edc8839f-fa6b-41e0-ad49-f688073730bd",27305,2,25848,1457,0.05336019,"STAD"
"feccee20-a62d-4152-b832-b9fdaca87a61",10434,3,8749,1685,0.161491279,"STAD"
"ffb4f42b-58e9-40c3-8963-11804f041375",114606,1,114606,0,0,"STAD"
