"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"00db4dc2-3ec7-4ff9-9233-d69c8c8a607f",6679,3,4265,2414,0.361431352,"UCEC"
"0385961e-ea99-40b2-ad79-6872bc30d8a1",2869,2,2691,178,0.062042524,"UCEC"
"0c39c03a-ec84-42c6-be69-8e98bc7a9f5a",34613,4,12523,22090,0.63819952,"UCEC"
"105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d",5395,3,3579,1816,0.33660797,"UCEC"
"15d597de-d26c-4ce1-b0cb-077e39b55f30",5905,3,4826,1079,0.182726503,"UCEC"
"19c1c97f-a3ec-44a8-8a20-6f97caed1a4f",3639,2,3088,551,0.151415224,"UCEC"
"19def402-fb8d-4b27-90dd-ce9135a3c0a2",3714,2,3266,448,0.120624663,"UCEC"
"23cc70c4-b744-4fa0-a0de-b25c0fdf212f",3295,2,1755,1540,0.46737481,"UCEC"
"2b78de4e-4c8b-4adf-a058-3dae797e7881",8350,3,4609,3741,0.448023952,"UCEC"
"31bc44b9-35ff-43fd-8a01-a834f3b1ce46",6010,4,3057,2953,0.491347754,"UCEC"
"42de1441-6f3c-4b4d-b8b8-ad91e4b1dbe2",58328,2,53830,4498,0.077115622,"UCEC"
"460f7427-ebcf-404b-9e9e-e0278d0bca95",25293,2,23359,1934,0.076463844,"UCEC"
"493e7008-551c-4c0e-b567-a0f31868629e",5748,2,5197,551,0.095859429,"UCEC"
"554b9439-7e11-43ec-8bc3-448c59100b9e",6654,2,5006,1648,0.247670574,"UCEC"
"55ada396-0878-4724-8ebe-00da367eed3d",3644,2,3448,196,0.053787047,"UCEC"
"577d5c9e-fbda-41d5-b0b3-cdb733453ea5",22750,2,20696,2054,0.090285714,"UCEC"
"638e80c7-9a6e-4a32-a621-fc4168e72343",38281,2,31426,6855,0.179070557,"UCEC"
"65f9a820-f026-4a10-8bb7-1fbc3b38321e",4633,2,3542,1091,0.235484567,"UCEC"
"6e599fcc-d79a-4e0f-b451-c20768c989f9",4319,3,2970,1349,0.31234082,"UCEC"
"712ba532-fb1a-43fa-a356-b446b509ceb7",3505,2,3287,218,0.062196862,"UCEC"
"7364a112-61b9-41c6-b85f-18c97c54cefd",109359,3,66184,43175,0.394800611,"UCEC"
"82be6087-a491-42d4-9b48-6a10d1bace18",3149,3,2470,679,0.215624008,"UCEC"
"82d2ea5f-ebdc-4907-a287-fe837fd6b59c",3552,2,3285,267,0.075168919,"UCEC"
"8d4cb709-c95c-4bdc-844b-c0bfa2a3028e",10523,2,8614,1909,0.181412145,"UCEC"
"8dd14f0e-8601-4aa1-864c-3c49e768cdd1",15311,2,4466,10845,0.708314284,"UCEC"
"92126163-00c3-41f2-9ce6-7aad5f621407",3730,3,2489,1241,0.332707775,"UCEC"
"950486ad-14f8-480a-b079-9cc3cd842090",510736,3,283796,226940,0.44433915,"UCEC"
"95e8d38a-122e-494c-a304-bef4275fed7e",5973,2,3861,2112,0.35359116,"UCEC"
"96f337d2-cec4-4484-87cd-ab2109d2bf50",12185,3,9195,2990,0.245383668,"UCEC"
"99696731-c88f-427b-975b-1d90013e63ff",6157,2,5486,671,0.108981647,"UCEC"
"9d2671b9-bd30-4e3c-aa74-01e31dd2531e",32931,2,27881,5050,0.153350946,"UCEC"
"a0e317b1-3f3b-4d25-b2d9-fcc2211dfda3",2393,2,2257,136,0.056832428,"UCEC"
"accfc45b-eae0-4991-a488-e217cdb46655",61570,2,58863,2707,0.043966217,"UCEC"
"af96db5a-684f-41d1-a910-5a5193393d9c",36019,2,31386,4633,0.128626558,"UCEC"
"b0a83df8-dd2c-4c1b-b238-9081d2c22258",257194,2,251365,5829,0.022663826,"UCEC"
"b38d0777-4901-48b8-9cdc-33b7f13a424f",10529,2,9723,806,0.07655048,"UCEC"
"b77084ab-8148-49e0-b3f9-90f7d9ea1862",4190,3,3657,533,0.127207637,"UCEC"
"bcf858fd-cc3b-4fde-ab10-eb96216f4366",867827,2,616802,251025,0.28925696,"UCEC"
"c082dc34-457e-40ec-8258-e11e8ed362c2",37325,3,32900,4425,0.118553248,"UCEC"
"c75cc75a-7496-420f-b526-ea63c77e9839",3404,3,2514,890,0.261457109,"UCEC"
"cc19a480-9c66-4ee8-a0c0-921acac02689",6023,3,4682,1341,0.222646522,"UCEC"
"d12cfd8b-682d-41df-acf8-ee7f68a6241c",5808,4,3255,2553,0.439566116,"UCEC"
"dec775c5-7d9a-4dc5-b399-dc4b7ba49d73",13708,2,12074,1634,0.119200467,"UCEC"
"e7d74d34-3255-4c20-90fd-b105e6e229c8",6100,2,5338,762,0.124918033,"UCEC"
"ea6efcd1-11de-45f0-8bde-f1c06ad27e79",6148,2,4984,1164,0.189329863,"UCEC"
"eae45fbe-9f7d-4f59-a0a9-1f0f0d69afc4",25236,3,11083,14153,0.560825804,"UCEC"
"ec31e921-0782-4f77-ac23-4190af1e61ee",4768,3,2981,1787,0.374790268,"UCEC"
"ed32c725-08ae-48eb-8fa2-719b9aeb7550",14741,2,11223,3518,0.238654094,"UCEC"
"f7187888-f261-4a39-99b4-966fd7207117",17008,2,13564,3444,0.202492944,"UCEC"
"f7dcc2e4-1fc4-4b39-bc6a-720e66116d68",32051,2,29190,2861,0.089263986,"UCEC"
"fd504153-3cf6-44b9-99d5-21961ebac188",8330,4,5187,3143,0.377310924,"UCEC"
