"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-3C-AAAU",43,5,12,31,28,19,0.720930233,0.678571429,"BRCA"
"TCGA-3C-AALI",780,2,704,76,563,57,0.097435897,0.101243339,"BRCA"
"TCGA-3C-AALJ",64,3,53,11,39,4,0.171875,0.102564103,"BRCA"
"TCGA-3C-AALK",61,3,23,38,48,29,0.62295082,0.604166667,"BRCA"
"TCGA-5L-AAT0",265,3,98,167,192,126,0.630188679,0.65625,"BRCA"
"TCGA-5L-AAT1",1899,1,1899,0,1330,0,0,0,"BRCA"
"TCGA-5T-A9QA",81,2,44,37,66,32,0.456790123,0.484848485,"BRCA"
"TCGA-A1-A0SD",37,3,28,9,33,9,0.243243243,0.272727273,"BRCA"
"TCGA-A1-A0SE",34,3,17,17,34,17,0.5,0.5,"BRCA"
"TCGA-A1-A0SH",128,2,110,18,103,15,0.140625,0.145631068,"BRCA"
"TCGA-A1-A0SI",258,2,236,22,218,20,0.085271318,0.091743119,"BRCA"
"TCGA-A1-A0SJ",33,3,5,28,30,25,0.848484848,0.833333333,"BRCA"
"TCGA-A1-A0SK",71,4,53,18,60,17,0.253521127,0.283333333,"BRCA"
"TCGA-A1-A0SM",32,4,18,14,28,13,0.4375,0.464285714,"BRCA"
"TCGA-A1-A0SN",70,2,66,4,58,4,0.057142857,0.068965517,"BRCA"
"TCGA-A1-A0SO",344,4,115,229,306,208,0.665697674,0.679738562,"BRCA"
"TCGA-A1-A0SP",65,4,31,34,55,28,0.523076923,0.509090909,"BRCA"
"TCGA-A2-A04N",51,3,9,42,46,38,0.823529412,0.826086957,"BRCA"
"TCGA-A2-A04P",156,2,126,30,127,28,0.192307692,0.220472441,"BRCA"
"TCGA-A2-A04Q",68,2,29,39,58,32,0.573529412,0.551724138,"BRCA"
"TCGA-A2-A04R",95,2,84,11,82,6,0.115789474,0.073170732,"BRCA"
"TCGA-A2-A04T",102,2,92,10,87,10,0.098039216,0.114942529,"BRCA"
"TCGA-A2-A04U",60,4,43,17,55,15,0.283333333,0.272727273,"BRCA"
"TCGA-A2-A04V",37,3,30,7,27,6,0.189189189,0.222222222,"BRCA"
"TCGA-A2-A04W",175,2,161,14,151,11,0.08,0.072847682,"BRCA"
"TCGA-A2-A04X",47,3,14,33,34,25,0.70212766,0.735294118,"BRCA"
"TCGA-A2-A04Y",53,2,42,11,46,9,0.20754717,0.195652174,"BRCA"
"TCGA-A2-A0CL",191,2,16,175,168,154,0.916230366,0.916666667,"BRCA"
"TCGA-A2-A0CM",68,2,61,7,61,5,0.102941176,0.081967213,"BRCA"
"TCGA-A2-A0CQ",48,3,33,15,40,15,0.3125,0.375,"BRCA"
