"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-4J-AA1J",239,3,98,141,176,108,0.589958159,0.613636364,"CESC"
"TCGA-BI-A0VR",161,2,149,12,144,11,0.074534161,0.076388889,"CESC"
"TCGA-BI-A20A",62,4,23,39,56,36,0.629032258,0.642857143,"CESC"
"TCGA-C5-A0TN",28,5,15,13,22,8,0.464285714,0.363636364,"CESC"
"TCGA-C5-A1BE",78,2,73,5,67,5,0.064102564,0.074626866,"CESC"
"TCGA-C5-A1BF",90,4,39,51,76,43,0.566666667,0.565789474,"CESC"
"TCGA-C5-A1BI",156,3,46,110,134,95,0.705128205,0.708955224,"CESC"
"TCGA-C5-A1BJ",185,3,42,143,163,130,0.772972973,0.797546012,"CESC"
"TCGA-C5-A1BK",217,1,217,0,182,0,0,0,"CESC"
"TCGA-C5-A1BL",278,4,54,224,257,207,0.805755396,0.805447471,"CESC"
"TCGA-C5-A1BM",167,2,153,14,148,13,0.083832335,0.087837838,"CESC"
"TCGA-C5-A1BN",79,2,70,9,71,8,0.113924051,0.112676056,"CESC"
"TCGA-C5-A1M5",88,3,47,41,79,38,0.465909091,0.481012658,"CESC"
"TCGA-C5-A1M7",142,3,101,41,130,36,0.288732394,0.276923077,"CESC"
"TCGA-C5-A1M8",84,3,65,19,71,14,0.226190476,0.197183099,"CESC"
"TCGA-C5-A1ME",85,3,32,53,79,49,0.623529412,0.620253165,"CESC"
"TCGA-C5-A1MF",114,5,61,53,102,48,0.464912281,0.470588235,"CESC"
"TCGA-C5-A1MH",610,2,331,279,557,258,0.457377049,0.463195691,"CESC"
"TCGA-C5-A1MI",73,4,30,43,64,39,0.589041096,0.609375,"CESC"
"TCGA-C5-A1ML",92,2,83,9,83,8,0.097826087,0.096385542,"CESC"
"TCGA-C5-A1MP",62,2,53,9,58,8,0.14516129,0.137931034,"CESC"
"TCGA-C5-A2LS",75,2,67,8,61,7,0.106666667,0.114754098,"CESC"
"TCGA-C5-A2LT",60,3,44,16,44,12,0.266666667,0.272727273,"CESC"
"TCGA-C5-A2LX",302,3,242,60,224,40,0.198675497,0.178571429,"CESC"
"TCGA-C5-A2LY",150,2,138,12,101,9,0.08,0.089108911,"CESC"
