"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-4C-A93U",68,3,30,38,60,35,0.558823529,0.583333333,"THCA"
"TCGA-BJ-A0YZ",21,4,7,14,18,13,0.666666667,0.722222222,"THCA"
"TCGA-BJ-A0Z0",34,5,8,26,28,21,0.764705882,0.75,"THCA"
"TCGA-BJ-A0Z2",22,3,13,9,19,8,0.409090909,0.421052632,"THCA"
"TCGA-BJ-A0ZA",12,4,2,10,12,10,0.833333333,0.833333333,"THCA"
"TCGA-BJ-A0ZB",49,3,21,28,42,25,0.571428571,0.595238095,"THCA"
"TCGA-BJ-A0ZE",18,4,4,14,16,12,0.777777778,0.75,"THCA"
"TCGA-BJ-A0ZF",27,5,7,20,21,14,0.740740741,0.666666667,"THCA"
"TCGA-BJ-A0ZG",12,2,4,8,10,8,0.666666667,0.8,"THCA"
"TCGA-BJ-A0ZH",26,5,4,22,23,21,0.846153846,0.913043478,"THCA"
"TCGA-BJ-A18Z",23,4,4,19,21,18,0.826086957,0.857142857,"THCA"
"TCGA-BJ-A191",144,3,22,122,122,103,0.847222222,0.844262295,"THCA"
"TCGA-BJ-A28S",22,3,11,11,19,10,0.5,0.526315789,"THCA"
"TCGA-BJ-A28V",27,6,5,22,21,17,0.814814815,0.80952381,"THCA"
"TCGA-BJ-A28Z",31,2,27,4,26,3,0.129032258,0.115384615,"THCA"
"TCGA-BJ-A2N8",19,4,3,16,15,13,0.842105263,0.866666667,"THCA"
"TCGA-BJ-A2P4",16,4,6,10,16,10,0.625,0.625,"THCA"
"TCGA-BJ-A3EZ",24,4,5,19,23,18,0.791666667,0.782608696,"THCA"
"TCGA-BJ-A3PR",12,2,5,7,11,7,0.583333333,0.636363636,"THCA"
"TCGA-BJ-A3PT",15,3,3,12,15,12,0.8,0.8,"THCA"
"TCGA-BJ-A45D",15,3,4,11,12,9,0.733333333,0.75,"THCA"
"TCGA-BJ-A45H",11,4,2,9,9,7,0.818181818,0.777777778,"THCA"
"TCGA-CE-A13K",15,6,5,10,13,9,0.666666667,0.692307692,"THCA"
"TCGA-CE-A3MD",12,4,3,9,11,8,0.75,0.727272727,"THCA"
"TCGA-CE-A3ME",15,4,3,12,13,10,0.8,0.769230769,"THCA"
"TCGA-CE-A481",14,3,6,8,12,7,0.571428571,0.583333333,"THCA"
"TCGA-DE-A0XZ",27,4,13,14,22,11,0.518518519,0.5,"THCA"
"TCGA-DE-A0Y2",25,5,8,17,22,15,0.68,0.681818182,"THCA"
"TCGA-DE-A2OL",12,5,2,10,12,10,0.833333333,0.833333333,"THCA"
"TCGA-DE-A4M8",12,3,7,5,9,4,0.416666667,0.444444444,"THCA"
"TCGA-DE-A4M9",13,4,2,11,12,10,0.846153846,0.833333333,"THCA"
"TCGA-DE-A4MA",11,4,2,9,9,7,0.818181818,0.777777778,"THCA"
"TCGA-DE-A4MD",42,3,22,20,40,19,0.476190476,0.475,"THCA"
"TCGA-DE-A69K",19,5,4,15,14,10,0.789473684,0.714285714,"THCA"
"TCGA-DJ-A13L",42,3,12,30,38,26,0.714285714,0.684210526,"THCA"
"TCGA-DJ-A13R",15,4,8,7,14,7,0.466666667,0.5,"THCA"
"TCGA-DJ-A13S",14,3,7,7,13,6,0.5,0.461538462,"THCA"
"TCGA-DJ-A13V",11,5,2,9,9,7,0.818181818,0.777777778,"THCA"
"TCGA-DJ-A13W",13,5,3,10,11,9,0.769230769,0.818181818,"THCA"
"TCGA-DJ-A13X",14,4,4,10,14,10,0.714285714,0.714285714,"THCA"
"TCGA-DJ-A1QE",17,5,4,13,17,13,0.764705882,0.764705882,"THCA"
"TCGA-DJ-A1QF",16,4,3,13,15,12,0.8125,0.8,"THCA"
"TCGA-DJ-A1QG",20,3,7,13,19,12,0.65,0.631578947,"THCA"
"TCGA-DJ-A1QI",12,4,3,9,10,7,0.75,0.7,"THCA"
"TCGA-DJ-A1QL",20,3,13,7,17,6,0.35,0.352941176,"THCA"
"TCGA-DJ-A1QM",13,2,11,2,12,2,0.153846154,0.166666667,"THCA"
"TCGA-DJ-A1QO",18,5,7,11,16,11,0.611111111,0.6875,"THCA"
"TCGA-DJ-A2PP",22,3,12,10,17,8,0.454545455,0.470588235,"THCA"
"TCGA-DJ-A2PT",14,4,3,11,13,10,0.785714286,0.769230769,"THCA"
"TCGA-DJ-A2PV",10,3,3,7,9,6,0.7,0.666666667,"THCA"
"TCGA-DJ-A2PW",24,3,4,20,21,18,0.833333333,0.857142857,"THCA"
"TCGA-DJ-A2PX",118,2,7,111,101,95,0.940677966,0.940594059,"THCA"
"TCGA-DJ-A2PY",13,5,3,10,10,9,0.769230769,0.9,"THCA"
"TCGA-DJ-A2PZ",20,3,11,9,20,9,0.45,0.45,"THCA"
"TCGA-DJ-A2Q1",22,4,5,17,18,15,0.772727273,0.833333333,"THCA"
"TCGA-DJ-A2Q3",21,4,4,17,19,15,0.80952381,0.789473684,"THCA"
"TCGA-DJ-A2Q4",19,5,6,13,18,12,0.684210526,0.666666667,"THCA"
"TCGA-DJ-A2Q7",19,4,5,14,18,13,0.736842105,0.722222222,"THCA"
"TCGA-DJ-A2Q8",10,4,2,8,9,7,0.8,0.777777778,"THCA"
"TCGA-DJ-A2Q9",17,2,2,15,17,15,0.882352941,0.882352941,"THCA"
"TCGA-DJ-A2QA",17,4,3,14,15,13,0.823529412,0.866666667,"THCA"
"TCGA-DJ-A2QB",686,2,42,644,618,581,0.93877551,0.94012945,"THCA"
"TCGA-DJ-A3UQ",10,3,3,7,9,6,0.7,0.666666667,"THCA"
"TCGA-DJ-A3UV",11,3,4,7,10,7,0.636363636,0.7,"THCA"
"TCGA-DJ-A3V0",23,3,16,7,18,6,0.304347826,0.333333333,"THCA"
"TCGA-DJ-A3V4",16,6,3,13,14,12,0.8125,0.857142857,"THCA"
"TCGA-DJ-A3V5",21,3,14,7,17,5,0.333333333,0.294117647,"THCA"
"TCGA-DJ-A3V7",33,5,6,27,30,24,0.818181818,0.8,"THCA"
"TCGA-DJ-A3V8",13,4,3,10,13,10,0.769230769,0.769230769,"THCA"
"TCGA-DJ-A3VA",15,5,3,12,12,9,0.8,0.75,"THCA"
"TCGA-DJ-A3VE",13,5,2,11,13,11,0.846153846,0.846153846,"THCA"
"TCGA-DJ-A3VG",19,4,3,16,16,15,0.842105263,0.9375,"THCA"
"TCGA-DJ-A3VI",23,5,6,17,22,16,0.739130435,0.727272727,"THCA"
"TCGA-DJ-A3VL",12,4,3,9,6,5,0.75,0.833333333,"THCA"
"TCGA-DJ-A4UQ",19,5,3,16,18,15,0.842105263,0.833333333,"THCA"
"TCGA-DJ-A4UR",17,5,4,13,14,11,0.764705882,0.785714286,"THCA"
"TCGA-DJ-A4UT",40,3,6,34,33,29,0.85,0.878787879,"THCA"
"TCGA-DJ-A4UW",10,4,5,5,8,3,0.5,0.375,"THCA"
"TCGA-DJ-A4V2",11,6,2,9,9,7,0.818181818,0.777777778,"THCA"
"TCGA-DJ-A4V4",27,3,5,22,26,21,0.814814815,0.807692308,"THCA"
"TCGA-DO-A1K0",10,3,4,6,8,4,0.6,0.5,"THCA"
"TCGA-DO-A2HM",95,2,9,86,82,76,0.905263158,0.926829268,"THCA"
"TCGA-E3-A3DY",10,3,2,8,10,8,0.8,0.8,"THCA"
"TCGA-E3-A3E0",10,3,7,3,8,1,0.3,0.125,"THCA"
