"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0c7aca3f-e006-4de3-afc2-20b4f727d4fd",14684,2,13791,893,0.060814492,"BLCA"
"2b142863-b963-4cc9-8f8f-c72503c93390",24309,2,23092,1217,0.050063762,"BLCA"
"301d6ce3-4099-4c1d-8e50-c04b7ce91450",30140,3,23121,7019,0.232879894,"BLCA"
"418a3dec-96ff-4719-becb-e1a8260cce2f",35487,1,35487,0,0,"BLCA"
"448fe471-3f4e-4dc8-a4e0-6f147dc93abe",32683,2,30894,1789,0.054737937,"BLCA"
"45a7949d-e63f-4956-866c-df51257032de",17328,2,15865,1463,0.084429825,"BLCA"
"4838b5a9-968c-4178-bffb-3fafe1f6dc09",16986,2,16021,965,0.056811492,"BLCA"
"7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c",9565,2,7877,1688,0.176476738,"BLCA"
"804ffa2e-158b-447d-945c-707684134c87",12197,2,11571,626,0.051324096,"BLCA"
"8c619cbc-9e91-4716-9711-5236e55d8f46",8684,2,8180,504,0.058037771,"BLCA"
"91f458e6-64b7-454d-a542-b0aa23638fd8",18679,2,17421,1258,0.067348359,"BLCA"
"94108975-b7a0-40ba-ad39-e44cc62e8cc0",51712,2,41458,10254,0.198290532,"BLCA"
"973d0577-8ca4-44a1-817f-1d3c1bada151",11131,2,10176,955,0.085796424,"BLCA"
"abd2d959-d5ed-4eb3-9759-67eb1aa23325",13115,2,12370,745,0.056805185,"BLCA"
"acc629cb-ad03-4cec-9b21-922e4932ef3e",13393,2,12226,1167,0.087135071,"BLCA"
"b73523d7-f5a5-4140-8537-4df4d1ecf465",50049,1,50049,0,0,"BLCA"
"c66c92d5-df65-46e6-861d-d8a98808e6a3",3196,2,2936,260,0.08135169,"BLCA"
"cda1a403-16b6-487c-a82a-c377d1d0f89d",34925,3,10664,24261,0.694659986,"BLCA"
"d4615ca0-b5c7-4a5c-8593-bd50034a78ae",12240,2,10210,2030,0.165849673,"BLCA"
"df8a913c-5160-4fc5-950d-7c890e24e820",33030,1,33030,0,0,"BLCA"
"e6c78a98-f45b-482b-a551-4f11b8c1ff8b",9394,2,8832,562,0.05982542,"BLCA"
"f389176f-d8f3-45c2-aae4-7378a3d6fc7f",8956,2,8130,826,0.092228674,"BLCA"
"ffdd4feb-aca3-4104-b1e8-954d705a6450",11465,1,11465,0,0,"BLCA"
