"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494",13839,2,12976,863,0.062359997,"BTCA"
"4ef20a13-f107-4654-adca-fc60b8f5be47",4759,2,4393,366,0.076906913,"BTCA"
"50e3a421-9741-4cd8-911b-0f47ca518b6a",5397,2,4895,502,0.093014638,"BTCA"
"56cc8740-b132-4cbc-b513-f0b5b2305ca6",11919,2,11219,700,0.058729759,"BTCA"
"5975deb5-00d2-4d18-b5c0-34ac9947fe11",3297,1,3297,0,0,"BTCA"
"796a8782-6d7e-47c8-b322-fcfe1dd240c8",10427,2,8959,1468,0.140788338,"BTCA"
"983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7",6000,1,6000,0,0,"BTCA"
"a47c2012-c13d-48ac-88b6-e09bfd50122b",9608,2,7733,1875,0.195149875,"BTCA"
"bb65d670-0411-4fc5-a6cb-019caec1ab36",11980,2,11070,910,0.075959933,"BTCA"
"e7c90af0-4b03-453e-b44f-e07248415088",11516,2,10165,1351,0.11731504,"BTCA"
"ec399861-7a56-4ffd-8619-700b6e3a4367",13131,1,13131,0,0,"BTCA"
"f0e0d978-3e32-4444-a07a-26049b2594e6",12425,1,12425,0,0,"BTCA"
