"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"04b570c2-3224-4e9b-81cc-089b4a7ff07a",2604,2,2286,318,0.122119816,"CLLE"
"05da3161-1444-4188-914d-19762de3a443",2299,2,2012,287,0.124836886,"CLLE"
"08f7812b-0d74-42ba-985b-d0a027e8a80c",1232,2,1013,219,0.17775974,"CLLE"
"0b6cd7df-6970-4d60-b7b5-85002a7d8781",2832,3,1869,963,0.340042373,"CLLE"
"1157a548-6770-4c89-a84c-bcf6f0e96ea8",2001,3,885,1116,0.557721139,"CLLE"
"1193a9c4-5aab-4cd7-a690-60c96bd1172d",1507,2,1370,137,0.090909091,"CLLE"
"132f7f2a-b902-4343-aa08-cf6a7af10b9a",3526,3,2964,562,0.159387408,"CLLE"
"140d6ef7-0217-4d16-9add-215d0d14ba06",2657,2,1620,1037,0.390289801,"CLLE"
"14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb",1678,2,1534,144,0.085816448,"CLLE"
"15563a10-47a8-401d-a507-2c7101f7ae60",1719,2,1524,195,0.113438045,"CLLE"
"19cd4360-8392-4bc2-ae88-fdc1335d886b",1862,2,1468,394,0.21160043,"CLLE"
"1bdfaa8a-1b7e-4251-b135-ce5e4568371b",1463,2,1173,290,0.19822283,"CLLE"
"1de83d45-8492-4b83-9055-a9f43b823f91",2233,2,1879,354,0.158531124,"CLLE"
"21e7e43e-f9b1-4351-a6d9-b9cd06d15f68",2542,3,2184,358,0.140833989,"CLLE"
"22cd3875-a123-4f0d-8cd1-371958208ad6",1220,3,291,929,0.76147541,"CLLE"
"26c301a6-a597-4c24-9f6c-2293e5ae41c7",2611,3,410,2201,0.842972041,"CLLE"
"278b2498-1d64-493b-ac43-3489ec86f313",3089,2,2447,642,0.207834251,"CLLE"
"2a7f6aac-8f94-4815-8b94-0ea7db71135c",1800,2,860,940,0.522222222,"CLLE"
"2df17728-33e8-45ab-833b-ef68a5482daa",2910,2,1268,1642,0.564261168,"CLLE"
"2f324d8b-ec7b-4d3b-9d64-65f9fc6630a2",1643,1,1643,0,0,"CLLE"
"31a70598-33be-4f09-9990-bd7594467802",1305,3,349,956,0.73256705,"CLLE"
"367fdef3-d7af-4996-932f-cc5087e843dc",2300,2,1574,726,0.315652174,"CLLE"
"39a5d94d-e8c8-4057-be96-362ffbafb94d",2023,2,1651,372,0.183885319,"CLLE"
"3de261ea-6478-4f96-8ca1-30be130e945f",1579,2,1204,375,0.237492084,"CLLE"
"3e8a2c90-e747-4a22-bc9e-0b062479fec2",3105,2,2631,474,0.152657005,"CLLE"
"3ee54a3c-69ba-479a-b1fe-79917e1b6dd5",1371,2,1170,201,0.146608315,"CLLE"
"3f72f750-5666-44e7-acaf-a912d89475be",1985,3,1603,382,0.192443325,"CLLE"
"43d630aa-3890-401c-bf56-e3a9f325734f",3187,3,1916,1271,0.398807656,"CLLE"
"4808f9e1-452d-45eb-9b87-2f87c67d3452",4355,2,2623,1732,0.397703789,"CLLE"
"49ce0836-adec-4f62-ac01-dbdfbb96d9fc",1024,2,634,390,0.380859375,"CLLE"
"4b7a704b-e516-4275-be11-45cc935237e2",1464,2,755,709,0.484289617,"CLLE"
"4b8c6b0c-0d0c-4834-a2f3-691e0919b902",1870,2,1433,437,0.23368984,"CLLE"
"4b91ece6-c9b2-4889-b18c-c63eb58eb061",1913,2,359,1554,0.812336644,"CLLE"
"50f4d836-79a9-4bc7-a63a-7aa29e41d418",2353,2,1963,390,0.165745856,"CLLE"
"513bafce-375c-49b0-ae75-6c607abd05d8",3518,2,3312,206,0.058555998,"CLLE"
"537cccf2-fb25-448b-813e-ca5d5642b910",688,3,207,481,0.699127907,"CLLE"
"55c82198-5be6-4cc5-b5b3-b707af234107",3000,3,1757,1243,0.414333333,"CLLE"
"5b4b2312-acb5-4329-8d46-7f93213e3daf",3284,3,1921,1363,0.415042631,"CLLE"
"5f53bcda-2fd3-4574-9cc2-5efe353372b2",4187,2,275,3912,0.934320516,"CLLE"
"616ff577-c5c3-432e-a857-f29901de119c",2191,4,1194,997,0.455043359,"CLLE"
"631eedb3-dbd1-4606-90e1-ea91b9a77a5a",2479,2,1869,610,0.246066962,"CLLE"
"66b4a1f3-480f-4050-96ac-920c1c080864",1967,2,1486,481,0.244534825,"CLLE"
"6cfce053-bfd6-4ca0-b74b-b2e4549e4f1f",2842,2,2131,711,0.250175932,"CLLE"
"6ea6b5e4-cdc4-4e3a-bde2-8089d2a4d7eb",1096,3,515,581,0.530109489,"CLLE"
"767517f2-f94c-44bb-9af6-36b662b166ef",2448,2,2199,249,0.101715686,"CLLE"
"79524d64-8f4a-4889-b345-33198808b9de",1803,2,1379,424,0.235163616,"CLLE"
"7b296706-b535-45a0-9a8e-4a34a8c33bb5",1754,2,1524,230,0.131128848,"CLLE"
"7d52a9e7-b5a9-4519-96fd-e8be42a7890c",1370,3,759,611,0.445985401,"CLLE"
"7f7e007e-4b06-4328-b116-6dcdb2ad8181",2615,2,1697,918,0.351051625,"CLLE"
"870e7aa5-a9c2-4c4e-afa8-36bb3bdc4eee",2085,2,1251,834,0.4,"CLLE"
"873ed251-fa44-465f-99e0-c90a42ea13d9",1539,2,1145,394,0.256010396,"CLLE"
"8c4038b6-c02a-46db-9514-c13b88d9bf48",2171,2,1438,733,0.337632427,"CLLE"
"8cce153d-953d-40c5-976b-60f6a143608c",2891,2,2482,409,0.141473539,"CLLE"
"8fa9575b-b2c9-4bd7-8da1-3c2cdf0e39f6",1723,2,1569,154,0.08937899,"CLLE"
"90de4296-0223-4b9f-8abb-6db278bfc932",1491,2,1300,191,0.128101945,"CLLE"
"91397d9c-3120-407f-8847-74b356943469",2607,2,1315,1292,0.495588799,"CLLE"
"915cbb43-9e00-433d-818f-531011bea57e",4548,3,3822,726,0.159630607,"CLLE"
"99e7016a-c3c1-431c-8838-beb78a3cc017",3171,2,2853,318,0.100283822,"CLLE"
"9c730cfb-3fd6-428a-a0a4-c061ca5db06c",1525,2,1242,283,0.18557377,"CLLE"
"9e99b8d9-6f0d-4fe0-9c1e-d286c0714909",1859,2,846,1013,0.544916622,"CLLE"
"a1724132-f95c-4622-8987-fe3183b9dce3",1835,3,1630,205,0.111716621,"CLLE"
"a7e1deb7-2e3d-4e36-90c7-9cae34cdcfb3",2101,2,1545,556,0.264635888,"CLLE"
"a83e247a-8f65-4be4-9c6e-a72c4abffae8",1777,2,1604,173,0.097355093,"CLLE"
"a9a240f3-d237-4bb8-b968-e4a3cc7c2633",2387,2,2075,312,0.130708002,"CLLE"
"a9d055c6-6c53-4e85-8270-34883a1342a9",2403,2,1420,983,0.409071993,"CLLE"
"ac23a8d2-ac42-4031-9dd4-9b56baeb246e",2001,3,1750,251,0.125437281,"CLLE"
"ad92f17f-11e6-49bd-9835-6b2f47053485",2737,2,2550,187,0.068322981,"CLLE"
"aeeb01b4-790e-4929-bd59-6aad837603b1",1011,2,888,123,0.121661721,"CLLE"
"b7722577-f200-4dec-97f6-4fab3a9ba52d",2283,3,1252,1031,0.451598774,"CLLE"
"bcd52bcb-6e35-4220-9775-96dabff926b4",2331,6,634,1697,0.728013728,"CLLE"
"c00d925a-ca4d-4561-a8f2-d4542f218086",2186,6,1064,1122,0.51326624,"CLLE"
"c13d7ee5-2bf0-43e4-9cd3-9326ed9355cf",4959,2,2537,2422,0.48840492,"CLLE"
"c459dba5-b27c-46f0-b5b8-c62d597a0542",1990,2,1131,859,0.431658291,"CLLE"
"c569b867-dadd-4591-af17-7e9b74699561",1735,2,1418,317,0.182708934,"CLLE"
"c642b9cc-bdb1-4796-9692-8be92398be17",1883,5,1088,795,0.422198619,"CLLE"
"c9f87f0d-4967-4be2-8b92-a20f1980ea22",1815,2,1044,771,0.424793388,"CLLE"
"ca49fdb1-d55a-427c-9819-90980dcd956f",1883,2,1104,779,0.41370154,"CLLE"
"d1be624b-eb76-4ce3-a6ba-ffc5b23953d3",2494,2,2237,257,0.103047314,"CLLE"
"d5423a93-0a72-43cf-a7ae-9011f47553c7",2648,2,2285,363,0.137084592,"CLLE"
"d88296ac-bb0d-47ab-9051-6c358f0af780",2231,2,685,1546,0.692962797,"CLLE"
"dabdd983-a819-410e-bfb8-5c66a66cf5ab",1862,2,1598,264,0.141783029,"CLLE"
"dc505248-ed04-4f77-a7c6-3fefbc5df27b",2499,2,1479,1020,0.408163265,"CLLE"
"de99a4de-e916-4572-ac9e-73e341827229",3315,2,2415,900,0.271493213,"CLLE"
"def5526a-774a-4704-bb24-10c4e713649a",1005,2,839,166,0.165174129,"CLLE"
"e1f0c565-6ed3-4e42-bc3e-c7b0003e837a",2263,2,1822,441,0.194874061,"CLLE"
"ea4a5ca7-86f9-47c7-81be-0c2c669a999f",1366,2,1155,211,0.154465593,"CLLE"
"eba6d269-27f8-4e50-b59a-5d639bdd5cff",2533,2,1376,1157,0.456770628,"CLLE"
"ebc1a26b-9582-4756-acd5-b02d1152319d",3638,2,2091,1547,0.425233645,"CLLE"
"ef3b454c-b2cf-4f68-a2ab-733620b6714e",1285,2,1072,213,0.165758755,"CLLE"
"f1fdacf3-2bb5-400c-895d-ec7f472fa0d4",1957,2,1708,249,0.127235565,"CLLE"
"f266899a-1dab-4226-a965-bc1327c64080",1646,2,1482,164,0.09963548,"CLLE"
"f5c8f98a-c34a-49e8-a655-d8f29487b55c",1793,3,1494,299,0.166759621,"CLLE"
"fa9996c3-b874-4424-a5a6-f1c7c0f42b9b",1375,2,805,570,0.414545455,"CLLE"
"fb74cca4-ac9c-4be0-80e3-e71592f96aae",4241,3,1207,3034,0.715397312,"CLLE"
"ffa976f0-aa60-4867-842e-361afa7d68ac",3132,3,1862,1270,0.405491699,"CLLE"
