"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"00aa769d-622c-433e-8a8a-63fb5c41ea42",225416,2,186966,38450,0.170573517,"CRC"
"03cff38d-7e29-4409-a508-749bddb1b3df",16752,2,12658,4094,0.24438873,"CRC"
"05486349-24a4-4931-bf5f-c9fefe369af2",6584,3,4317,2267,0.344319563,"CRC"
"05780d48-80e7-4d70-b00c-081f8a9519f2",89248,1,89248,0,0,"CRC"
"080ecc31-756a-4a1b-a51e-d632ac8219f7",21674,2,17740,3934,0.181507797,"CRC"
"0980e7fd-051d-45e9-9ca6-2baf073da4e8",816486,2,705670,110816,0.135723086,"CRC"
"10ad692b-4c3d-42de-9b5e-4968441388b3",8971,2,8506,465,0.051833686,"CRC"
"14334aea-2dae-428c-9d4a-1a37878dfc3f",14460,2,10275,4185,0.289419087,"CRC"
"14c5b81d-da49-4db1-9834-77711c2b1d38",2321732,3,900901,1420831,0.611970288,"CRC"
"154f80bd-984c-4792-bb89-20c4da0c08e0",238352,2,221836,16516,0.069292475,"CRC"
"2182ce2c-5941-4b65-9419-fc7966d5e6d5",105184,2,99997,5187,0.049313584,"CRC"
"2cdc4cce-0877-4ec1-85f5-20c909912e65",10549,2,9979,570,0.054033558,"CRC"
"2df02f2b-9f1c-4249-b3b4-b03079cd97d9",2345915,2,890510,1455405,0.620399716,"CRC"
"303abbe5-4155-4a0d-bc3b-f8995261ca52",120273,2,114994,5279,0.043891813,"CRC"
"31e63f89-a6a9-40fb-823d-f41587bd73d8",78524,3,41698,36826,0.468977637,"CRC"
"31f02f48-44a4-445e-ac3d-e9bf3d8d25a2",16393,2,15407,986,0.060147624,"CRC"
"3c019b2f-52ec-40a8-99b5-98c1423ce627",17670,2,13622,4048,0.229088851,"CRC"
"4019c219-c51e-479f-8a9d-cfa6816ed696",20679,2,19137,1542,0.074568403,"CRC"
"428c100f-d7d0-4860-a8fc-2bae6a4bba95",13879,2,12723,1156,0.083291303,"CRC"
"42d20028-0ddc-4dac-9f05-d674f8915f21",155577,2,76094,79483,0.510891713,"CRC"
"492b4e58-12e2-47b2-bd47-28f8607072fa",17949,2,16942,1007,0.056103404,"CRC"
"4cfb0aee-6661-478a-8694-9d8ba15e46b7",17604,2,16700,904,0.051351965,"CRC"
"55345803-83d4-4fdb-b0ee-328753801da1",18232,3,14899,3333,0.182810443,"CRC"
"5b180356-cf58-4fad-a3d4-00fc12b43fcc",17803,2,14531,3272,0.183789249,"CRC"
"6051f40a-99e5-4461-9255-0e70d757b4d5",28235,2,19210,9025,0.319638746,"CRC"
"63bc376e-5a3d-44fd-8d77-686dfc41e458",22903,1,22903,0,0,"CRC"
"66701395-5a53-41bb-866b-3bbf08bc33ab",11278,2,10365,913,0.08095407,"CRC"
"6ca5c1bb-275b-4d05-948a-3c6c7d03fab9",775604,2,612144,163460,0.210751879,"CRC"
"711c8a16-3cf8-42d8-b29e-fd1e9ef1c82b",106534,2,79969,26565,0.249357013,"CRC"
"75ad15b9-8f9c-40c1-9ca6-1e8454fbd310",12302,2,10905,1397,0.113558771,"CRC"
"786fc3e4-e2bf-4914-9251-41c800ebb2fa",10922,2,9643,1279,0.117103095,"CRC"
"7d59205a-65ec-4341-9748-28639d82ed29",8324,2,7551,773,0.092864008,"CRC"
"81b1e78c-6032-4ff4-b52a-83456b9450ea",24827,1,24827,0,0,"CRC"
"85e29049-a5e8-49fa-a576-e113c7b2c2e3",10008,2,7036,2972,0.29696243,"CRC"
"8853cbee-7931-49a6-b063-a806943a10ad",778567,2,753673,24894,0.031974127,"CRC"
"8a929c55-35a6-4645-bb70-4b85d281b139",11066,2,9890,1176,0.106271462,"CRC"
"8da641e4-9b12-4163-bd1e-9d5af91e5186",19123,2,18051,1072,0.05605815,"CRC"
"93ff786e-0165-4b02-8d27-806d422e93fc",922767,3,468966,453801,0.491782866,"CRC"
"9e5f0a23-e184-4611-b42b-e882dcf23acd",16921,2,15929,992,0.058625377,"CRC"
"a0f94565-9169-49ee-8e6a-21bdc43d9de6",11336,2,10311,1025,0.090419901,"CRC"
"a64000df-16e5-4b88-865f-5c680adf60eb",6311,2,5932,379,0.060053874,"CRC"
