"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"005e85a3-3571-462d-8dc9-2babfc7ace21",1259,2,600,659,0.523431295,"EOPC"
"052015bc-8c24-467c-8ff7-9e0dc4ad39fd",3075,3,1111,1964,0.638699187,"EOPC"
"089be98d-c3c9-4fb4-aef2-7a8578a91d51",2714,3,1534,1180,0.434782609,"EOPC"
"0bd3a230-531e-44aa-9999-b8ed8da0176b",1867,2,1410,457,0.244777718,"EOPC"
"122bf0a9-8052-49da-a9d7-0e5de9ab7032",2095,2,1754,341,0.162768496,"EOPC"
"131332b2-ff51-4bd7-a626-aff2ecea6135",1268,1,1268,0,0,"EOPC"
"1558629a-770a-4dcb-b0bf-9a8bcea9d80b",2889,3,1596,1293,0.447559709,"EOPC"
"1bd47e40-d708-4ca2-b4b3-eb8d996c916b",921,2,323,598,0.649294245,"EOPC"
"1be81ade-7ad6-4e7e-90d0-f986b3fb0a25",1217,1,1217,0,0,"EOPC"
"1d6c9181-a02f-4c35-85b3-65dc5808f50e",1637,1,1637,0,0,"EOPC"
"1f04210a-0c2e-4bb8-ac8e-86198e5f1d34",1531,2,1437,94,0.061397779,"EOPC"
"280a069c-38e5-4300-a15c-2612301b70e3",2160,2,1236,924,0.427777778,"EOPC"
"2b54d668-7585-4bf4-9fdd-aea3c5cd4fa4",2339,2,1898,441,0.188542112,"EOPC"
"2f79fe89-9d24-4fbe-ba5b-0ff6c3c4d663",2911,2,1837,1074,0.36894538,"EOPC"
"339a2c94-55c9-4113-a706-b0971fa2784f",1902,2,1701,201,0.105678233,"EOPC"
"33de44a2-bec1-402d-872c-d78c1f2d52b3",3416,2,2281,1135,0.332259953,"EOPC"
"39e32615-0160-4f13-b330-50748f5d87ed",1590,2,1478,112,0.070440252,"EOPC"
"3b8ab548-6669-4142-9612-cafded0d7a23",2682,2,2536,146,0.054436987,"EOPC"
"3c92c0e9-68e0-4354-8ed1-b6506878145d",1512,2,1182,330,0.218253968,"EOPC"
"3e7a30e6-2202-40bd-bfc1-0383604050da",1305,2,875,430,0.329501916,"EOPC"
"41c565a9-d44a-447f-85c0-98f23bfee1b3",2250,2,2091,159,0.070666667,"EOPC"
"4508ce0a-5a2e-4502-98e9-2fd76c4eebef",1236,1,1236,0,0,"EOPC"
"4b44b313-6f74-4233-bec4-7e41c91c77f1",2362,2,2203,159,0.067315834,"EOPC"
"4c755527-3b5d-4d36-822d-990aa1003d6a",2225,2,1827,398,0.178876404,"EOPC"
"51adf6cf-f422-4d7e-aa46-cc9bf0ef8693",4159,2,3899,260,0.062515028,"EOPC"
"54319e3d-c28f-4ba1-9c87-299d303e4de3",1344,2,808,536,0.398809524,"EOPC"
"5df0aab4-0be2-4da3-a4b7-a10fca09a4ba",158,2,56,102,0.64556962,"EOPC"
"5fe8a231-bbac-4f91-a47a-0de4fee752d3",473,1,473,0,0,"EOPC"
"62ea1264-47b6-4a6b-9fa6-779837f8e905",923,2,526,397,0.430119177,"EOPC"
"63faa59e-6649-412e-823a-338d0662ec72",1805,2,1461,344,0.190581717,"EOPC"
"6763f295-f2bf-4975-bea5-c1a490d9a1fa",962,1,962,0,0,"EOPC"
