"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"08d2a566-8407-4e9b-836c-bf5e1e9f85b2",2933,1,2933,0,0,"GACA"
"0e54cea2-d568-4a33-b9db-b698844e6ad9",3555,1,3555,0,0,"GACA"
"1a391468-fbf3-451a-b88e-a257a26d047f",12257,1,12257,0,0,"GACA"
"1b8fe07d-859c-4d91-ade1-6b2bcb5774ce",7529,1,7529,0,0,"GACA"
"1d2d355a-8409-4c8a-9f07-ac62885e228d",16289,1,16289,0,0,"GACA"
"25f07374-313a-4100-9a60-3d21d2988fca",43411,2,39283,4128,0.095091106,"GACA"
"30b9ab02-60f2-4974-85a9-874f247ae932",8527,1,8527,0,0,"GACA"
"34a445c2-1eb4-4a9f-8838-cddc2f82aae4",14975,1,14975,0,0,"GACA"
"37e5d47b-851b-47de-ba6a-fd2835644011",4910,1,4910,0,0,"GACA"
"498ecf81-921d-4df9-a6a4-a625f484e823",41,3,14,27,0.658536585,"GACA"
"4dc9b032-7f7b-486d-a12b-8461af89501d",6616,5,1081,5535,0.836608222,"GACA"
"55e520f4-0e4b-41a2-9951-c4e9f323100b",97,2,27,70,0.721649485,"GACA"
"5dc6f055-c4f6-49a1-a68c-94cf87cbd363",17120,1,17120,0,0,"GACA"
"606111e3-6b7d-42a6-b7d0-9d6c3e33acd6",110,2,8,102,0.927272727,"GACA"
"63f5bb12-1b20-49d4-9e98-570e368f947d",376,1,376,0,0,"GACA"
"65be412d-46c3-4cbf-9b46-b35351e53065",11573,2,9748,1825,0.157694634,"GACA"
"68509ede-3dcf-4a6e-9af0-4a9bb4dfa567",13466,1,13466,0,0,"GACA"
"6dbac113-d4cf-4db5-97c9-50fa400bb47e",10800,1,10800,0,0,"GACA"
"7b482f46-adcc-48ae-a4d6-17f4edd998dc",9462,1,9462,0,0,"GACA"
"7e036d40-b669-4929-a1e2-c4736e01a473",23500,1,23500,0,0,"GACA"
"7eb0f792-858f-45d1-a908-125b02ea1506",16686,2,14258,2428,0.145511207,"GACA"
"81c7a8c1-8a6a-4e78-a72c-f7c021c67ff7",2996,1,2996,0,0,"GACA"
"8867bdef-3a8d-433e-b10f-d752e2cbb022",21345,2,19005,2340,0.109627547,"GACA"
"a46f1e20-9e97-4dcc-a5ed-532aad9f3236",62,2,10,52,0.838709677,"GACA"
"b49d5310-3cc5-4386-9444-cf0d61b52376",15022,1,15022,0,0,"GACA"
"bc0dee07-de20-44d6-be65-05af7e63ac96",19101,2,13966,5135,0.268834092,"GACA"
"bd2f8133-3e71-4c5e-998f-0c1a9fdfb75f",6264,1,6264,0,0,"GACA"
"c4e048de-1d43-4fbd-8289-9279b16c8a3a",25,2,12,13,0.52,"GACA"
"c73f3f82-3091-46dd-b667-e96a1d8c501c",12911,1,12911,0,0,"GACA"
"d7f8e1f3-a9a7-4929-92df-1283bac815d2",2203,2,1902,301,0.136631866,"GACA"
"d91e1a92-837d-44d6-92d8-419f435effe0",4304,1,4304,0,0,"GACA"
"dbd834cb-b14f-4380-9741-f96551268447",4146,1,4146,0,0,"GACA"
"dc107863-2c7d-4b19-8afb-666c7798f0da",64206,2,60705,3501,0.054527614,"GACA"
"dd9d2e9e-02dc-40fc-842b-c5b9707fca56",25794,1,25794,0,0,"GACA"
"eb18e71d-2a27-4eae-aa27-4b2c0716d2ba",4131,1,4131,0,0,"GACA"
"eda1d8d9-e8f5-46f2-bb16-15d0b10c2cf9",10009,2,7690,2319,0.231691478,"GACA"
"f50fb278-1f0f-406e-b341-eb3d1b97afe6",37943,2,33073,4870,0.12835042,"GACA"
