"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"02c6a893-49c5-49d1-8eb1-195021e70d52",2917,2,2762,155,0.053136784,"HNSC"
"08227616-02a5-46e8-9db1-f2d1d691ab23",12027,2,11226,801,0.06660015,"HNSC"
"0e6ca8dc-0f31-4675-95b1-5920576daeff",5644,3,4629,1015,0.179836995,"HNSC"
"1727e88b-df0a-4af2-9191-8c6061d98ad0",8382,1,8382,0,0,"HNSC"
"190eb791-383d-4e27-870d-e470630843e7",16043,2,14557,1486,0.092626067,"HNSC"
"1aff91a6-1b0f-4575-8f4b-4e064a50b886",9046,2,8217,829,0.091642715,"HNSC"
"1db83e80-bdf7-4d8d-8008-bd8406d641fc",12673,2,11766,907,0.071569478,"HNSC"
"1fff8b62-534b-4d71-a65f-e5f93b8b50ed",16281,2,14998,1283,0.078803513,"HNSC"
"21205681-a0c7-48d0-81d4-0b7ef31158cf",47003,2,43579,3424,0.072846414,"HNSC"
"29fc38aa-f367-46a3-a14d-a5f657ad0caa",3254,2,3045,209,0.064228642,"HNSC"
"3e604a1c-b95f-44ff-9723-e2fac845da3b",85026,2,82142,2884,0.033919037,"HNSC"
"46d35b82-e1b7-4d35-be5e-3a70fd47e421",24814,3,20189,4625,0.186386717,"HNSC"
"5046f1b4-9d95-4841-ba30-691fa44719a2",29973,1,29973,0,0,"HNSC"
"5193a482-6ed9-4504-bd7c-c8b9e4103577",41683,2,39225,2458,0.058968884,"HNSC"
"54e78de0-d357-4125-a904-ab35e461572b",12604,1,12604,0,0,"HNSC"
"6bbd66dd-efee-4d6e-b02f-f88e98526b82",4869,3,1188,3681,0.756007394,"HNSC"
"7158c9fd-a633-4fef-aa23-bd285f2a87a8",3794,1,3794,0,0,"HNSC"
"7e584ff6-0b81-4f85-81da-b8117afee326",6690,2,6284,406,0.060687593,"HNSC"
"81598359-24d5-4a8b-a6e6-7a6f94289119",5627,2,4823,804,0.142882531,"HNSC"
"8294a969-59a1-4d3b-895b-f07e96bf9f7a",16353,2,15244,1109,0.067816303,"HNSC"
"83eca7b5-45bb-44c0-8afe-36f8988d0078",13502,1,13502,0,0,"HNSC"
"878a7fe7-20ff-4651-9587-b4d6fd42e929",4411,2,3743,668,0.151439583,"HNSC"
"9988eb07-01f6-4f83-8699-bb63e0525f08",49751,1,49751,0,0,"HNSC"
"a0fe80e0-e3ac-485b-8a1a-4c80c101b874",7269,2,5079,2190,0.301279406,"HNSC"
"a315b798-f037-48d5-91ed-e733e3bbd6ee",16278,2,11039,5239,0.321845436,"HNSC"
"a8041e86-071e-46cd-8fb5-7ecdc1ab0553",5618,2,5021,597,0.106265575,"HNSC"
"ab923db7-54e8-4a50-b7fd-c2b4b300041e",20241,2,18137,2104,0.103947433,"HNSC"
"b537bc07-9998-49f4-bbbe-5b617152bfd9",3938,3,3097,841,0.213560183,"HNSC"
"b86e88e7-0d5f-4b32-a35f-dc97251ab990",8459,1,8459,0,0,"HNSC"
"c0812962-a345-48b7-aec0-01336c2d1eed",2728,2,1741,987,0.361803519,"HNSC"
"c121de15-78f7-4698-91bf-fd0485c466c2",497,1,497,0,0,"HNSC"
"c2124bb2-30e1-4093-9a8a-3a188a6dc0a9",12011,2,8776,3235,0.269336442,"HNSC"
"c76f7fcc-2748-4b6d-805e-d21652dd5e3a",23736,2,19109,4627,0.194935962,"HNSC"
"d25a4c65-9cb4-4611-909e-e68f93408d84",26162,1,26162,0,0,"HNSC"
"d3709eea-ca2a-49ac-b79c-871a5473d450",20136,1,20136,0,0,"HNSC"
"d4b80307-abbd-48bb-b52c-6dcd409699a2",4944,2,4525,419,0.084749191,"HNSC"
"dd67dec6-35dd-4efe-b913-ed4884855365",4989,1,4989,0,0,"HNSC"
"de8ef60b-4dbe-4aa8-adef-6f58cdfada29",12510,2,11456,1054,0.084252598,"HNSC"
"dfa20d2d-1ba3-476a-b4b9-21d21470bee2",48029,2,41103,6926,0.144204543,"HNSC"
"e2b5c926-491d-430d-8d9c-5c73d7752d1b",61128,2,59634,1494,0.024440518,"HNSC"
"e52ffa79-557a-4024-81f3-f3826c227ec5",31007,2,26263,4744,0.15299771,"HNSC"
"ee963667-56b1-49bd-8896-e07b536d3014",3003,2,2831,172,0.057276057,"HNSC"
"ef673d3d-2031-4036-ba25-4bc7ef04075b",6973,3,5922,1051,0.150724222,"HNSC"
"feccc27e-5c2e-4339-8746-0945fee93c1e",2745,2,2597,148,0.053916211,"HNSC"
