"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"07e0e938-f61f-477a-92a2-5b7e74b78943",9787,2,6826,2961,0.302544191,"KICH"
"09537dce-c797-4b60-962a-d4c3cd6ab00a",1968,3,348,1620,0.823170732,"KICH"
"0b811c6a-8f05-44bd-ac33-fb720d189e71",1634,4,993,641,0.392288862,"KICH"
"148536ce-ee2a-4952-a19d-10d6f44146b9",2137,2,1691,446,0.20870379,"KICH"
"1e8ae8dd-74c1-44d5-a74e-bfdce801c736",1827,2,1574,253,0.13847838,"KICH"
"24f887e1-ce82-40f3-9674-11102bd076c0",1718,3,887,831,0.483701979,"KICH"
"2ccd028d-e7e0-4f77-a512-f658a31819a4",1906,3,1045,861,0.451731375,"KICH"
"322f0b01-2118-4dbe-aba1-3875a54ee71b",38436,3,31419,7017,0.182563222,"KICH"
"345a06d6-fa5c-4674-a847-88a6b537cf3c",818,2,700,118,0.144254279,"KICH"
"34739bd6-b3be-441d-8cdb-e4233bf14080",1734,2,1211,523,0.301614764,"KICH"
"3ace181a-23bd-424e-a87e-e0c01a2a2cb8",1171,4,613,558,0.476515798,"KICH"
"4729fe4b-c1ac-489b-a67e-91e5c5e3ff8c",1725,3,343,1382,0.80115942,"KICH"
"4ecbfd89-393f-4126-aa1c-951a2c23ef89",1462,2,696,766,0.523939808,"KICH"
"58c7e9c3-1345-48c0-a758-0887358b8696",941,4,398,543,0.577045696,"KICH"
"5bebc389-de0d-45b8-9d2f-6476988c358a",1719,3,888,831,0.483420593,"KICH"
"6400c324-2c94-477d-acb9-669d4ea46f1e",917,2,780,137,0.149400218,"KICH"
"64f696a6-58b2-40a8-b848-fd775cd52529",1548,4,274,1274,0.822997416,"KICH"
"7087a2b6-7fc4-45b0-8c48-248864f03deb",1767,5,612,1155,0.653650255,"KICH"
"715f59dd-a80f-422d-988c-f73f4b987baf",1902,4,1498,404,0.212407992,"KICH"
"81bb13fc-f082-4c0b-8066-1729f11ef617",850,3,492,358,0.421176471,"KICH"
"85ed2434-da94-4333-90ca-6ca4691cbdd3",3321,3,505,2816,0.847937368,"KICH"
"93b51c61-6eea-4228-a102-840a2e118522",1084,3,577,507,0.467712177,"KICH"
"94434272-4cbd-4b4d-bd98-44f18526dd69",801,3,690,111,0.138576779,"KICH"
"97c1a300-978d-4df1-9e97-ce2f92b9eff1",1161,2,749,412,0.354866494,"KICH"
"9a90f951-ad96-4883-b97f-ac43395dae5d",1639,3,783,856,0.522269677,"KICH"
"9d29543e-8601-4fd0-8e76-3df3de465cab",1625,3,376,1249,0.768615385,"KICH"
"9d3b0b87-5fc5-4d09-9c63-4d5fc4bc46d0",578,2,433,145,0.250865052,"KICH"
"9dfcbabf-2bc0-43a2-bdde-d0b2aaca3f6b",1405,3,310,1095,0.779359431,"KICH"
"9fb73d89-f7c4-47b2-810b-3ce37cd8a3c9",1666,4,490,1176,0.705882353,"KICH"
"9fc0e0e8-1b0f-400c-b4cf-126193283695",1535,4,771,764,0.49771987,"KICH"
"a3deafcb-b54f-4b7e-89ac-c92c16fb919f",2368,4,1403,965,0.407516892,"KICH"
"a592e80a-3b1a-46aa-be30-bcd87d6bca6f",1717,2,490,1227,0.714618521,"KICH"
"ba686386-8113-4885-b20f-6ad09a295604",1246,3,600,646,0.518459069,"KICH"
"bd2ec47b-a120-4b3b-b10d-aee09805ab33",2044,3,1247,797,0.389921722,"KICH"
"c00de7a0-0b09-4e07-988c-ef2a7f8e932a",2532,3,1982,550,0.217219589,"KICH"
"c29f6ed6-880d-4f03-977e-1087738e5e60",1013,4,158,855,0.844027641,"KICH"
"c56505cb-e150-408d-9df6-3af4e608c376",1036,3,506,530,0.511583012,"KICH"
"c6d6f49e-6e95-4e41-8388-71f6fe017d80",1485,3,708,777,0.523232323,"KICH"
"cdf313c8-59f9-41c6-9bd2-f47cb4287da5",884,6,277,607,0.686651584,"KICH"
"d113ce88-04ab-4675-b363-92f80c28de34",828,5,163,665,0.803140097,"KICH"
"d648c804-4eaf-4252-8b6f-13378158a07d",869,3,773,96,0.110471807,"KICH"
"d72a7338-c144-4c62-a70e-2177a3b4b77e",1421,3,419,1002,0.705137227,"KICH"
"e9032df3-8692-4146-a867-b9b64c9b310a",2889,4,1836,1053,0.364485981,"KICH"
"f38fc6ac-2af8-4d89-a514-4e2c5fdf08de",1441,4,534,907,0.629424011,"KICH"
"fae88d21-171c-4df4-b258-3c5948a1034b",2044,3,1490,554,0.271037182,"KICH"
