"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"00bf0350-8c7c-4b9e-8143-13ea2dc1122f",5125,2,3782,1343,0.26204878,"KIRC"
"063cfacf-9933-4a2d-8921-0aeb76e12779",4072,2,3102,970,0.238212181,"KIRC"
"0f53e757-1823-409f-a0ea-249270728e15",3891,2,3589,302,0.077615009,"KIRC"
"10d15b7a-16d1-4953-aaef-f193ffa97f42",6722,2,6160,562,0.08360607,"KIRC"
"1e046ab9-fa4c-4c15-8d78-ed0048c80ebf",4012,1,4012,0,0,"KIRC"
"252a1c43-f954-44d7-8e31-6bcd0157a05c",5226,2,4564,662,0.126674321,"KIRC"
"267a9862-17bd-4056-ba4a-1f373736ffbb",4639,2,4022,617,0.133002802,"KIRC"
"2c581a74-7716-4c20-b366-a8e1d9a901f6",6697,1,6697,0,0,"KIRC"
"39c55051-e1bc-4081-962a-17205645de45",4219,2,3833,386,0.091490875,"KIRC"
"3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5",3658,2,3394,264,0.072170585,"KIRC"
"51206157-94cc-4702-8247-c98283b487aa",8236,2,7774,462,0.056095192,"KIRC"
"54842328-9432-4820-8976-7964bf9bf147",5768,2,4983,785,0.1360957,"KIRC"
"64446aec-c125-4c81-b9cc-62482cb1aaed",6490,2,5466,1024,0.157781202,"KIRC"
"68b7fdb1-22b5-4152-9e69-a41151640cd8",6550,2,6170,380,0.058015267,"KIRC"
"81d0d6bb-7319-4b67-bcf7-36df24e76b43",7733,2,7116,617,0.079787922,"KIRC"
"85448d11-9f84-44b7-8ae3-a115f24bdb76",3134,2,2897,237,0.075622208,"KIRC"
"9ae0744a-9bc1-4cd7-b7cf-c6569ed9e4aa",2877,3,2159,718,0.24956552,"KIRC"
"9c181313-5b4c-41c5-9ad5-a5a86fe609aa",2945,2,2308,637,0.216298812,"KIRC"
"a4f8305f-4409-4776-b34d-4878d18c8693",5548,1,5548,0,0,"KIRC"
"a54aac0e-4108-49cf-bf50-687031c7cda6",3947,3,2388,1559,0.394983532,"KIRC"
"a56cd282-f6c5-4373-b3d8-676562894598",4499,2,4246,253,0.056234719,"KIRC"
"aad8c8d6-d828-4aac-9cfb-cee893e36850",3832,2,3300,532,0.138830898,"KIRC"
"b51fa117-2c0a-4e1d-8ec4-9f039073a486",3742,2,3285,457,0.122127205,"KIRC"
"b6365bdb-e6d5-4615-95b3-db12a0c2f3d9",6643,4,4566,2077,0.312659943,"KIRC"
"bcf54c96-2b62-4e24-926f-d77576250dd1",4036,2,3560,476,0.117938553,"KIRC"
"d01710f9-efc8-4b5f-9e53-300b30f9219f",5493,2,5029,464,0.084471145,"KIRC"
"d429c27a-5963-42fe-b3a0-7252c20669d8",6668,2,5386,1282,0.192261548,"KIRC"
"d991f23a-dc1b-427a-b798-bd4187d3aa02",8679,2,8147,532,0.061297384,"KIRC"
"dacd4cc2-fc2b-4fbd-adf6-c8a46ae69c91",6495,1,6495,0,0,"KIRC"
"db4592fb-13c2-4d61-9dc3-a5d43def8d4b",5316,2,4561,755,0.142024078,"KIRC"
"de4c3f91-d164-47df-9971-feba840d247c",4481,2,3813,668,0.149073867,"KIRC"
"f3c1a125-06e9-41c4-9558-275a3e346cc5",4705,2,3746,959,0.203825717,"KIRC"
"f64e9609-d75d-400c-a92d-d77fd54d6c29",6756,2,6416,340,0.050325636,"KIRC"
"fa5e2900-95e7-4700-9707-a329cd0c77fd",3784,2,3539,245,0.0647463,"KIRC"
"fb194ca3-10aa-4dc5-8d08-619ddbd6d1b6",3090,2,2791,299,0.096763754,"KIRC"
"fbf937f1-5f30-470c-8a77-46cd1c41e073",7415,2,4325,3090,0.416722859,"KIRC"
"fd74de4d-6973-4597-a541-e8a13d80ad55",3664,2,3105,559,0.152565502,"KIRC"
