"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0176cf1d-0760-4769-a493-277f4bb7585e",39699,1,39699,0,0,"LUAD"
"020fab36-c7de-4933-b2bf-dc7b019a1326",9505,2,5248,4257,0.447869542,"LUAD"
"09bc8542-4ea1-4599-91b3-d606425b37e2",15371,2,14236,1135,0.073840349,"LUAD"
"0b19bee7-5281-4915-9d98-c20eb3e84ecf",108432,2,100840,7592,0.070016231,"LUAD"
"0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d",554,1,554,0,0,"LUAD"
"14bf9bfb-14d6-4cac-a556-828f680e8a15",23721,1,23721,0,0,"LUAD"
"15e097e3-e468-466c-8e57-b59fba90bbf2",19735,1,19735,0,0,"LUAD"
"199bbb0f-996c-40c1-b06d-2066f04be778",35729,3,30387,5342,0.1495144,"LUAD"
"23d77176-dfed-4bee-ac96-9934377d8d81",112141,1,112141,0,0,"LUAD"
"23d86395-9e20-4cf9-bf7e-f76544a1f772",13845,2,9680,4165,0.300830625,"LUAD"
"2bde43e2-fd4e-413e-adc7-c50bca75d358",53372,1,53372,0,0,"LUAD"
"309f5324-5608-4f62-b744-5ab268b70927",2116,1,2116,0,0,"LUAD"
"37d0cf1b-1743-4852-8073-372b16b5c17d",4091,2,2823,1268,0.309948668,"LUAD"
"3b20d548-2a7d-4031-85a1-425ca7201d7a",157089,1,157089,0,0,"LUAD"
"46693a2b-5105-4770-a9e1-031dfedeb694",40100,2,30957,9143,0.228004988,"LUAD"
"49dec0c2-8e75-4f44-a253-82b2ea605890",45921,2,31082,14839,0.323141918,"LUAD"
"52910a60-bb15-4ba5-9d09-50d8ee6a445b",4804,1,4804,0,0,"LUAD"
"53bb7112-3e38-45fe-a9c4-1b0871babf4a",60831,1,60831,0,0,"LUAD"
"53d32d8b-5649-42b0-8c52-2c39af2a961b",25572,1,25572,0,0,"LUAD"
"5a7f3c88-ef02-4e97-8009-5622245b6a09",1958,1,1958,0,0,"LUAD"
"6726c157-f688-491d-8b56-35628645df89",12574,2,11834,740,0.058851599,"LUAD"
"68c2a355-862c-4657-b296-5776ed8447b0",9671,4,6342,3329,0.344225003,"LUAD"
"9c7b3ac8-1352-49cd-8a8c-df6b19f6fd64",539,2,233,306,0.567717996,"LUAD"
"9ffcb7fa-424c-4f93-87a7-ce5e9053c613",46593,1,46593,0,0,"LUAD"
"b7f11036-7ac4-41bc-a9a4-64162725fdfc",31638,2,29009,2629,0.083096277,"LUAD"
"bce88385-4a1b-4a8c-920c-060f6a2675d4",42078,1,42078,0,0,"LUAD"
"bd3e88b3-b37c-4641-85fa-d8125ba324ca",182613,1,182613,0,0,"LUAD"
"bf7462a2-394f-4838-bcb6-4d0126fa48b1",4958,3,3572,1386,0.279548205,"LUAD"
"c437535b-2acc-4236-beae-94e2c1336830",14390,2,12367,2023,0.140583739,"LUAD"
"cd0aeed5-93a1-4287-8a88-fe6b7b5e3983",6964,2,6118,846,0.121481907,"LUAD"
"d5443922-fea5-4ff0-bd6e-8ce04e1951d8",61439,1,61439,0,0,"LUAD"
"d9cd7f95-07d3-4b87-be83-87340b08d249",1638,1,1638,0,0,"LUAD"
"dd09c7aa-744a-413d-839f-e75e1825f9f9",3874,2,2810,1064,0.274651523,"LUAD"
"de614a3e-1c0d-49c7-a2f1-28bc58e6e5c7",32522,1,32522,0,0,"LUAD"
"f5a97315-1906-4774-980e-0879c6ad368e",53401,1,53401,0,0,"LUAD"
"fa2c3620-7e82-4b12-b135-87986f0f2890",5307,2,4933,374,0.07047296,"LUAD"
"fa6a60f5-8949-4e01-9435-d3117601627f",4554,2,4206,348,0.076416337,"LUAD"
"fa8844f8-c4b6-487a-8187-e30c12a7a453",23208,1,23208,0,0,"LUAD"
