"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0bbc7ede-5022-4084-925c-d65baaf7abc2",37861,2,35877,1984,0.052402208,"LUSC"
"0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f",34577,1,34577,0,0,"LUSC"
"1c3df485-8e75-4378-87f6-c6463a520624",43273,3,35209,8064,0.186351767,"LUSC"
"2045c788-9ea8-4ea5-a5e3-65fc16a62adb",128515,2,105476,23039,0.179270902,"LUSC"
"24badf07-8615-48a3-8d6e-45c3d783f18d",11153,3,8941,2212,0.198332287,"LUSC"
"25224aa0-cfdd-48ec-92e5-8f3992a3e574",72597,2,66637,5960,0.082097056,"LUSC"
"2fe2433b-9a55-431f-a869-2b5a63e8e8fc",50335,2,48188,2147,0.042654217,"LUSC"
"34881c6b-f59f-42c0-9f29-9c5c47262ae6",29551,2,27991,1560,0.052790092,"LUSC"
"369c06f2-8904-49cb-99d1-dd297ed0cd0c",17366,2,15022,2344,0.134976391,"LUSC"
"387c6519-6529-4074-a5ab-00f8052a5732",52450,2,46464,5986,0.114127741,"LUSC"
"43aa4123-0fe2-4071-8a81-cbdd0410b917",21195,2,20118,1077,0.050813871,"LUSC"
"448af8b4-e071-48b0-a65b-b4ad17afdc0c",32733,2,31095,1638,0.050041243,"LUSC"
"45e16b70-c3ec-493e-86d1-505ffdf5056c",53142,2,50613,2529,0.047589477,"LUSC"
"48f68f73-3ac0-44ac-ba12-b8889fcb7f38",22499,1,22499,0,0,"LUSC"
"4c2ad4a0-5d57-4e27-9f35-058b2f205f50",52277,2,49801,2476,0.047363085,"LUSC"
"4c3840df-9824-40db-879e-6d24adc8c155",27028,2,25559,1469,0.054351043,"LUSC"
"504d4cb0-d2dd-420d-82e6-9ec14434a0fc",42383,1,42383,0,0,"LUSC"
"649f2c20-5b50-40a8-a6fd-9a51f3d5b9df",41158,2,38801,2357,0.057267117,"LUSC"
"692dfa4f-45e5-4183-b5da-6650a1fbcabd",40845,2,38023,2822,0.069090464,"LUSC"
"6962bc97-fbb8-4220-a600-e3c251e245cb",38786,2,33178,5608,0.144588253,"LUSC"
"706868b5-4920-433a-bea3-92e9bf83059b",42963,1,42963,0,0,"LUSC"
"71a2b4a2-88dd-4911-a67e-70b3309c4a12",50040,2,46424,3616,0.07226219,"LUSC"
"7731ef7f-25bd-42f5-9a20-be249306a711",22441,3,15866,6575,0.292990508,"LUSC"
"79eb7bba-f0d8-462c-add7-20a2fb7843e1",34401,2,32549,1852,0.053835644,"LUSC"
"7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e",71075,2,64877,6198,0.087203658,"LUSC"
"7dc5f8ba-0080-43d3-8426-bd527a970761",44690,3,39905,4785,0.107070933,"LUSC"
"84e601b7-dfa5-4cd5-9fef-07f03967a0d4",45759,2,43255,2504,0.054721476,"LUSC"
"89c48e53-c8a9-4518-b3b8-509cdcaff52b",29828,2,28334,1494,0.050087166,"LUSC"
"8cf9b32d-3d6f-4898-8c7a-89511b754021",5180,2,4736,444,0.085714286,"LUSC"
"935b113e-f5ed-4a07-8e1d-1603daba7f40",53887,1,53887,0,0,"LUSC"
"9623d295-c23d-4f2f-827c-69f767a26f1f",58506,2,55758,2748,0.046969542,"LUSC"
"96dc785c-8417-4813-8d15-c32b22d78b74",49446,2,46797,2649,0.053573595,"LUSC"
"a762dd44-a8ac-4269-8163-bbf6d0f8d4b3",44013,2,41717,2296,0.052166405,"LUSC"
"a96eddfc-3afb-4bf8-a440-c91778113fbd",64323,2,60350,3973,0.061766398,"LUSC"
"abc94013-71f5-4ac6-88a4-01b4ef9f9d2f",36221,2,34378,1843,0.050882085,"LUSC"
"ad41f1f3-e38e-4418-9c16-52bca5719f39",27094,2,25593,1501,0.055399719,"LUSC"
"b7a7d93b-38a7-4fc3-a433-3bb0a8cb7c42",20487,2,18803,1684,0.082198467,"LUSC"
"b88f014e-bc0f-4775-8228-39e0b471c3b0",69064,1,69064,0,0,"LUSC"
"c48d7f4a-e98a-4077-a749-eb9f56f05b84",48756,2,46882,1874,0.038436295,"LUSC"
"d18c6e64-9598-488a-8ab3-3652072f9277",56712,2,54152,2560,0.045140358,"LUSC"
"d2ab2555-7288-47a4-a80c-bf62d65b67b8",28513,2,24322,4191,0.146985586,"LUSC"
"d54ca81c-1bcc-41ea-b17a-9f7249ebe9c1",16867,2,15510,1357,0.080452955,"LUSC"
"e7ebc6fb-0926-4c8a-a67b-0c6b9c1ffaba",23528,2,21566,1962,0.083390003,"LUSC"
"e9cb8877-8e83-46c0-93f0-ea20530c9400",47164,2,36033,11131,0.236006276,"LUSC"
"ee6cc68e-8d2a-41ee-82c6-0fecdf7e6259",25062,2,23622,1440,0.057457505,"LUSC"
"efe4d5dd-fffb-41df-ab86-be06cc16646f",29769,1,29769,0,0,"LUSC"
"fab3d6f4-de1c-4d6c-bdea-ac39a7884657",23397,2,20501,2896,0.123776553,"LUSC"
"fb0c6353-a90c-45e2-9355-7cd16cf756ff",112350,1,112350,0,0,"LUSC"
