"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"00b9d0e6-69dc-4345-bffd-ce32880c8eef",3812,2,3610,202,0.052990556,"MALY"
"02917220-6a7a-46a1-8656-907e96bef88e",22209,1,22209,0,0,"MALY"
"03ad38a6-0902-4aaa-84a3-91ea88fa9883",5410,2,5090,320,0.059149723,"MALY"
"05616329-e7ba-4efd-87b1-d79cd0f7af3d",9423,2,8597,826,0.087657858,"MALY"
"068f4f69-d2fe-4f25-912e-ca7d4623efb6",7104,1,7104,0,0,"MALY"
"07835447-5d7e-4828-80fd-89b063989c9a",8979,2,8470,509,0.056687827,"MALY"
"0d569bd5-418d-4d72-87ca-8e14668c2119",11619,2,10687,932,0.080213443,"MALY"
"0e7f46ca-6f5c-4538-b6d6-00af65d57fcf",64283,2,49565,14718,0.228956334,"MALY"
"124d5b04-4588-44c3-9c00-61e064cf1bdb",9661,2,8853,808,0.083635234,"MALY"
"140d5fa9-afbe-444e-a7e7-6a4cb4ab2923",13287,2,12605,682,0.051328366,"MALY"
"1494bb16-f1f0-42a4-b10e-c383574cbc8b",10173,1,10173,0,0,"MALY"
"15678c3d-ce61-454d-849e-1d4ca358909b",10535,2,9691,844,0.080113906,"MALY"
"15dd024e-c0da-461a-84db-d01e60a22210",1526,1,1526,0,0,"MALY"
"1a4633c4-72a0-4e30-8c4c-345e04337627",13653,1,13653,0,0,"MALY"
"1d1eeba2-4d7b-4380-b0b6-26d246bc4158",3746,2,3176,570,0.152162306,"MALY"
"22578b9f-78dc-464c-9bb9-382f033283d0",2372,2,2136,236,0.099494098,"MALY"
"232b7754-b3c3-4530-9d24-3af40d9b2816",6095,1,6095,0,0,"MALY"
"2439ec74-1713-4d47-a5d9-886f69dddcb6",15614,1,15614,0,0,"MALY"
"282b45ee-4af2-4c61-9acc-286eaf8d661a",8933,2,8325,608,0.068062241,"MALY"
"28f8d45f-4763-472e-9c4d-6787ba00164b",2223,2,2051,172,0.077372919,"MALY"
"2b02e3ad-4423-491e-993a-561e80dc7bcf",5117,2,4855,262,0.051201876,"MALY"
"2b36ac4b-eed3-4591-8b4f-b44049dfc5ed",3009,2,2491,518,0.172150216,"MALY"
"2c3ada8b-9650-4859-9857-43209c0f7cea",8809,2,8018,791,0.089794528,"MALY"
"2f0a660c-ba3c-49bb-90f7-39b0034cea82",2219,2,1866,353,0.159080667,"MALY"
"3b55c58d-f95a-4a1d-9aa1-8d2c026656a9",5014,2,4710,304,0.060630235,"MALY"
"3e012b50-06d1-4120-971b-5e54139b00ee",23636,1,23636,0,0,"MALY"
"3e7ccab5-5b1d-4147-b907-77cab8f0837e",9466,2,8488,978,0.103317135,"MALY"
"3e94aa64-7dd3-4d63-a5de-b4050d3dfafa",4097,2,3807,290,0.0707835,"MALY"
"41dba8d1-8aad-474c-a82b-20b28ab818bd",8369,2,7860,509,0.060819692,"MALY"
"461df2ae-fcf1-4b93-be0a-c14954fe7c42",15209,2,14358,851,0.055953712,"MALY"
"4a4309b0-2aca-4d6a-ac50-039b28406bba",6341,2,5890,451,0.071124428,"MALY"
"4adc846a-42cb-4ebd-a954-e31eb29d7572",24556,2,21937,2619,0.106654178,"MALY"
"4d1a4587-adb4-4a65-943e-f19efe8de142",1882,2,1450,432,0.229543039,"MALY"
"4d72d06d-b6af-4294-9eef-6e61e067761f",9542,2,8728,814,0.085307064,"MALY"
"4de7441f-a609-4a75-9fe7-17a647079ac1",1679,2,1559,120,0.071471114,"MALY"
"4e7cdeda-6dc1-4f17-b853-72a68e5aa7e1",28676,1,28676,0,0,"MALY"
"4e7e6e1f-c648-446f-bdf6-0b1fcc6dfa83",7885,2,6903,982,0.124540266,"MALY"
"56e57223-264e-489d-bc9a-a07789065c40",6355,1,6355,0,0,"MALY"
"578ba169-1d2f-4187-b174-082bbc6a5bd2",3770,2,3393,377,0.1,"MALY"
"5bcf473f-417d-47a5-9745-ac7faf830b1f",10126,2,9597,529,0.052241754,"MALY"
"5f18b334-6616-406f-8f33-0592b56c14e6",2718,1,2718,0,0,"MALY"
"626c9788-d70c-449b-b9dc-5e3f6fc00991",12365,2,11495,870,0.070359887,"MALY"
"650fe009-da01-4717-89df-9c95fafe3d7e",6130,1,6130,0,0,"MALY"
"687baf0b-aed9-4ab2-adb6-556a1d177a24",3233,1,3233,0,0,"MALY"
"71982a1b-52a4-440f-bd5d-62a0e6cc7fd9",7319,2,6431,888,0.12132805,"MALY"
"76788f17-257d-47c7-ad85-ac5f959216b5",3506,3,2671,835,0.238163149,"MALY"
"78bd2aa8-e5f6-4b4b-96f0-d406fbdbcee8",3205,2,3018,187,0.058346334,"MALY"
"79e81ab3-5466-4324-9387-2de00d62315c",2015,2,1825,190,0.094292804,"MALY"
"81b4dd02-34ec-4ddc-8818-ed888a60ad88",3994,2,3107,887,0.222083125,"MALY"
"81cc0f39-6677-4f2e-9a75-d30152b188f3",9345,2,8774,571,0.061102194,"MALY"
"82b8cda8-fbff-455e-b0db-7ff6528bd6c8",4957,1,4957,0,0,"MALY"
"858631eb-4e91-4aad-809c-c3948519313d",15739,2,13166,2573,0.163479255,"MALY"
"866ecfe7-caa6-4565-9418-6b9d6c8a3b43",4058,2,3740,318,0.078363726,"MALY"
"874f64e9-8a0d-4f88-92c4-7e831842b1d1",2357,2,2098,259,0.109885448,"MALY"
"890e840c-1d1d-4874-a8eb-f9d9a2b50a1c",15911,2,14947,964,0.060587015,"MALY"
"8ddcf0d9-312f-4055-8984-55d463face34",2279,2,1885,394,0.172882843,"MALY"
"8fc11cb6-9d79-41c3-bb45-0dadda890e8d",5477,2,5042,435,0.079423042,"MALY"
"929f2216-6ab3-414f-a814-49b69d4b49d9",18496,2,2593,15903,0.859807526,"MALY"
"995a1ad2-faca-4a37-a59d-e62455985afb",15900,1,15900,0,0,"MALY"
"9b3e7a03-cf8c-4da8-bc36-20129d7783ba",15769,3,13596,2173,0.137802017,"MALY"
