"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"08b5d0e4-4661-460e-a9f7-f2e687414711",63178,1,63178,0,0,"MELA"
"0ab4d782-9a50-48b9-96e4-6ce42b2ea034",208908,2,200405,8503,0.040702127,"MELA"
"108749d2-5c62-4ef1-92df-aec6941ba53b",103357,2,99695,3662,0.035430595,"MELA"
"12f1ae2f-2666-45be-9742-f502d212373d",82655,1,82655,0,0,"MELA"
"13c62975-9f5e-4d40-a461-dceab08a31ec",2520,3,2123,397,0.157539683,"MELA"
"142b6dbf-c943-4a7d-8ab6-13a975f48d7a",56942,2,55003,1939,0.034052193,"MELA"
"16d5519e-ecb9-4fc8-81f1-e0e4adf722a8",159227,1,159227,0,0,"MELA"
"1ac15380-04a2-42dd-8ade-28556a570e80",6359,3,5251,1108,0.174241233,"MELA"
"1cd0acf2-3116-4dfa-a063-0a435b9f6da3",6309,4,4109,2200,0.348708195,"MELA"
"1d4a091d-fe65-49c0-8810-5a95243b108a",140481,1,140481,0,0,"MELA"
"1daefc49-5248-4948-87ce-0ec19a248ef9",108438,2,32885,75553,0.69673915,"MELA"
"20e02396-e676-412d-9724-44a428919cdb",3599,2,3397,202,0.056126702,"MELA"
"22d67778-61fc-4f15-95b8-7e7c6cc7112b",84991,2,82250,2741,0.032250474,"MELA"
"25103371-28ac-4f43-b0e2-2d376d0dcb84",279489,1,279489,0,0,"MELA"
"25e20393-752b-4796-9001-0e22ee04c586",133562,2,126743,6819,0.051054941,"MELA"
"2790b964-63e3-49aa-bf8c-9a00d3448c25",366135,1,366135,0,0,"MELA"
"28839c75-90a8-493f-b658-8c63e0ebd324",94270,2,92301,1969,0.020886814,"MELA"
"2e76891c-b620-4cc0-9315-6f1217b09b1e",46179,2,43234,2945,0.063773577,"MELA"
"30600994-c1ec-44c9-a620-3f6c617eb928",239304,1,239304,0,0,"MELA"
"3433b1f3-59d1-4ac2-9bbf-e0c4042b4ddc",13704,1,13704,0,0,"MELA"
"351db483-a70e-496d-b70a-7449875121ee",3266,4,2188,1078,0.330067361,"MELA"
"35a74e53-16ff-4764-8397-6a9b02dfe733",4364,2,3907,457,0.10472044,"MELA"
"39c476fd-273b-4136-874c-53352f1be008",55151,1,55151,0,0,"MELA"
"4e8396f7-9506-4401-96b6-bb2e89557d59",22904,2,19001,3903,0.170406916,"MELA"
"51893d3f-e7f3-43f9-9fd0-c0f25ae96804",311898,1,311898,0,0,"MELA"
"524bbd14-1e1f-479b-9a71-d27fce32d8bc",6788,1,6788,0,0,"MELA"
"561fd34c-7c7d-4df0-bbfc-3d31147ca562",70610,2,67432,3178,0.045007789,"MELA"
"56ddcb96-e90b-4fce-aa4c-c677bbfee488",4749,4,3825,924,0.194567277,"MELA"
"58d3e932-b4a3-4cac-a6ac-73160e354a15",7048,2,5799,1249,0.177213394,"MELA"
"5912d4b3-2d5d-4b98-b967-1b4ff177097a",31996,1,31996,0,0,"MELA"
"5c3def3a-b515-41f6-8157-681b963534e7",477441,1,477441,0,0,"MELA"
"60413de1-6cd2-4f74-8180-3bdd394d6d16",842303,2,809095,33208,0.039425242,"MELA"
"63762458-902a-4329-a823-703b54cb5f9d",315191,2,290293,24898,0.078993372,"MELA"
"681e2301-2057-40e4-ab63-934775d63faa",161556,2,152578,8978,0.055572062,"MELA"
"6d4a548a-7e30-4b6b-9a13-72827eed439c",84862,1,84862,0,0,"MELA"
"7117854b-6f0a-4a43-b66c-506a3e29377d",44787,2,41913,2874,0.064170407,"MELA"
"72108583-5320-46ec-945f-5ff173d7dc15",151442,1,151442,0,0,"MELA"
"74e5905f-6350-498a-9454-9ea0593d2f56",3925,2,3454,471,0.12,"MELA"
"76a0d9c9-5e69-44e8-9ed2-6d2e387803fc",62176,1,62176,0,0,"MELA"
"7ba70717-d65e-4a45-af79-60a976770526",76275,1,76275,0,0,"MELA"
"7e22401d-f4cd-44c5-8a01-b08a439e5a31",42927,1,42927,0,0,"MELA"
"7edc42d3-d08e-4360-a3e1-aeb57cfc6640",6803,2,6049,754,0.110833456,"MELA"
"7f031d71-3cb7-4744-86bd-a3beecfe166e",2069,2,1945,124,0.059932334,"MELA"
"83a1b304-2ec1-44ae-a9c5-8ad3a2a46a1f",50009,1,50009,0,0,"MELA"
"897ba508-d74b-46bf-8554-1210a66a36d1",57535,2,51732,5803,0.100860346,"MELA"
"8ca665f8-fe78-48bf-8c0f-c606d92885d4",159110,1,159110,0,0,"MELA"
"98e8f23c-5970-4fce-9551-4b11a772fe1b",385430,1,385430,0,0,"MELA"
"9e0009d1-c993-4247-9706-88ee84591dec",12308,4,6859,5449,0.442720182,"MELA"
"9fc5b5c7-3973-42b4-8710-454de0cb5b50",170355,2,156322,14033,0.08237504,"MELA"
"a6e24c2a-26b9-409c-bbcd-a8fcdd1e437c",10751,2,10183,568,0.052832295,"MELA"
"a84915de-6562-4836-86f9-f2a05598296e",112666,1,112666,0,0,"MELA"
"b35d9a68-29f4-49ab-b83e-b5151679e3af",18300,2,15832,2468,0.134863388,"MELA"
"b3befa40-8f44-4eb6-ada0-ec395f460656",8189,2,7251,938,0.1145439,"MELA"
"b42d183c-bc9c-4652-9e56-10c54c5ee96e",86983,2,81199,5784,0.066495752,"MELA"
