"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"01b0848c-ae36-4ade-a3da-d297b003c99f",31807,2,15475,16332,0.513471877,"PACA"
"02c97e2b-914e-4afc-bf50-78f0cfbfa67b",3431,1,3431,0,0,"PACA"
"02e5c36f-5bec-45e2-a048-875653b85ca1",4746,3,3513,1233,0.259797724,"PACA"
"03c3c692-8a86-4843-85ae-e045f0fa6f88",16016,2,13115,2901,0.181131369,"PACA"
"046d7386-95c8-4501-9e55-c85bec272a7a",3558,2,3322,236,0.066329399,"PACA"
"05070acd-3ec1-44bb-9c32-26d3a483a72a",4283,2,3080,1203,0.280877889,"PACA"
"0554ffe5-31f7-43f5-8372-2b73c9cf3527",4890,2,3669,1221,0.249693252,"PACA"
"079bcb09-a075-4313-9a3e-dd67734a8c5d",7695,3,6324,1371,0.178167641,"PACA"
"0972bfcf-c6c6-48cc-b820-cdfa6279a4f3",7925,3,5570,2355,0.297160883,"PACA"
"09cb8bc5-13ac-44ac-9b7d-6de143373570",7180,2,5524,1656,0.230640669,"PACA"
"09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523",5514,2,3702,1812,0.328618063,"PACA"
"0b29c893-03bf-4131-b192-c14a2788d411",17644,3,13671,3973,0.225175697,"PACA"
"0cf9bbc2-cbd5-4b64-8d90-cfa416307b39",10210,2,5753,4457,0.436532811,"PACA"
"0efee3f3-313b-44eb-b3b0-af975a1ded82",4777,5,2696,2081,0.435629056,"PACA"
"0fbd94b1-bb34-4620-841b-861a0b5e0c12",9071,2,5566,3505,0.386396208,"PACA"
"0fc63b79-7fff-441d-88fc-922d53c787ab",4855,1,4855,0,0,"PACA"
"1168944c-5451-4a18-8758-88bf5723bdd9",10529,2,9242,1287,0.12223383,"PACA"
"129459c1-38be-45da-bb87-18848c97c544",6898,2,2540,4358,0.631777327,"PACA"
"12f038e1-00af-4c64-a2e0-9e63323492ef",8709,2,7412,1297,0.148926398,"PACA"
"1327bbd4-a466-4e26-905f-cf91315f1cc8",4639,2,4276,363,0.078249623,"PACA"
"1447c8cb-25d4-4092-8919-4df08f898d2d",3641,2,3110,531,0.145839055,"PACA"
"170ad241-9e24-469b-b7ca-3fd783a89b21",6528,3,4672,1856,0.284313725,"PACA"
