"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"00508f2b-36bf-44fc-b66b-97e1f3e40bfa",2079,3,1117,962,0.462722463,"PAEN"
"01c8e465-2b4e-4519-bdef-c3ac06b43eeb",3853,2,1825,2028,0.526343109,"PAEN"
"0363fe2c-d765-450e-8b1a-d13a23d9af2a",948,3,212,736,0.776371308,"PAEN"
"051cb117-16fd-459e-81e5-002eca2b7eea",339,3,151,188,0.554572271,"PAEN"
"05c487aa-72d8-42e6-aa2b-b9b5ce273f5c",2471,2,467,2004,0.811007689,"PAEN"
"074fd614-5d9c-4bcc-96ad-351aa14387e3",3119,2,2745,374,0.119910228,"PAEN"
"0bafd9ae-64b3-492d-a6fd-12aa8edefcbe",1476,2,1280,196,0.132791328,"PAEN"
"0e7ac212-0469-4f17-9432-205ab1831257",3288,3,2252,1036,0.315085158,"PAEN"
"16c6f975-48fd-4cda-946a-777cb922949d",2286,2,2022,264,0.115485564,"PAEN"
"1a5bf97e-3d49-4d3f-b385-ffa7a295be9c",1078,3,316,762,0.706864564,"PAEN"
"1b7838c9-c685-41c3-b184-a2e40c7c4dc7",3032,5,723,2309,0.761543536,"PAEN"
"1eb1bc62-18f6-4bcb-a16d-aa6a91914031",3239,4,1417,1822,0.562519296,"PAEN"
"2660825c-68f0-4631-948e-6da158edbe9e",2515,2,1978,537,0.213518887,"PAEN"
"274723ac-2bc1-4e2c-b31a-1907217b9f84",224,3,86,138,0.616071429,"PAEN"
"29127cde-548f-4c42-96cf-6f0020c3db9a",1930,2,1798,132,0.068393782,"PAEN"
"3189bc97-afd8-4daf-80c9-2d78a08228d3",1684,2,1370,314,0.186460808,"PAEN"
"33b99e90-741d-43f2-804b-75721199a0dc",1160,2,127,1033,0.890517241,"PAEN"
"3728982b-4547-4249-bd42-72a91d3fda8c",1134,3,542,592,0.522045855,"PAEN"
"3ad44032-01fb-4f84-b880-f01bb13a4359",1645,3,1174,471,0.286322188,"PAEN"
"3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1",1370,5,360,1010,0.737226277,"PAEN"
"3bb25b72-ceb1-4169-891e-339f22cb0f03",3972,3,1976,1996,0.502517623,"PAEN"
"44406493-37f4-48c7-961b-8714be50773a",1328,3,507,821,0.618222892,"PAEN"
"48b15122-b1e9-4c30-8fc5-70a07686779a",1376,2,729,647,0.470203488,"PAEN"
"4b5d9d8c-ff95-45f4-9287-2804e8a98ade",3151,2,2513,638,0.202475405,"PAEN"
"4d2204f1-be84-4f58-b7e7-61ae9fbf6d25",2782,4,1579,1203,0.432422717,"PAEN"
"5174f450-0bf7-4237-a53e-844064f0e701",2216,3,1611,605,0.27301444,"PAEN"
"559c30f2-8ae7-43c8-819c-800261065e06",3940,3,2868,1072,0.272081218,"PAEN"
"56425c2e-6bbf-4b20-ba07-79a526dd4603",515,3,111,404,0.784466019,"PAEN"
"5702affd-eafe-42a4-8f56-c1f22f8f184d",1847,4,898,949,0.513806172,"PAEN"
"589e0aea-9057-4b8c-8af1-74c74fe46a38",4333,3,1300,3033,0.699976921,"PAEN"
"5935dd9d-d411-48f8-8512-aa73a63878b0",618,5,99,519,0.839805825,"PAEN"
"59e2d6d1-debd-4796-ab0c-6a5673a990fc",2950,5,1417,1533,0.519661017,"PAEN"
"5ee28a35-7aa0-48e3-9c14-daca7b0241fe",1661,2,1005,656,0.394942806,"PAEN"
"5f13e9b8-6c8e-4fd7-aef1-da4e5d5e2a5e",2548,3,997,1551,0.608712716,"PAEN"
"606d7f5e-ff98-4245-a9ac-281f5074f97a",4470,2,1912,2558,0.572259508,"PAEN"
"63a907ff-1042-4f9c-a385-55a32b3e103b",2628,2,1455,1173,0.446347032,"PAEN"
"69fe982d-6ab8-49b7-9efa-8349d60eb076",913,4,138,775,0.848849945,"PAEN"
"6c8f3dc9-21bf-4859-9599-231ac040eb7d",1712,4,622,1090,0.636682243,"PAEN"
"6dc43234-4f07-4c53-8b07-8d78d9dbad3b",1774,3,1317,457,0.257609921,"PAEN"
"6e776415-ddf4-4060-953f-08ef22441234",10325,2,5762,4563,0.441937046,"PAEN"
"7243992d-0763-4b75-8066-e8e5309d0193",1057,2,880,177,0.167455061,"PAEN"
"724bf2b8-a246-4b6f-85f8-95824c03896e",11173,2,6036,5137,0.459769086,"PAEN"
"79353875-9d86-4063-a8ea-1d998acb1e81",3094,3,761,2333,0.754040078,"PAEN"
"7ae3671f-bf98-4693-8f35-3b762c9121d4",7146,3,2125,5021,0.702630842,"PAEN"
