"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"003819bc-c415-4e76-887c-931d60ed39e7",91,6,17,74,0.813186813,"PBCA"
"02078f77-2b35-4fa3-ab02-2c017181295e",193,2,94,99,0.512953368,"PBCA"
"02706819-bcab-4c49-a569-a4a8c60db1c0",72,2,68,4,0.055555556,"PBCA"
"0292a46f-a282-4b7f-a7d6-ac55cc7324fb",245,2,121,124,0.506122449,"PBCA"
"031962d6-fc7d-4c6c-9d47-ffa45997b249",593,2,119,474,0.799325464,"PBCA"
"03b5268e-881e-49e7-824f-170c3fc8b11b",1407,5,629,778,0.552949538,"PBCA"
"04b9837e-9ab5-4eb9-9a9c-ef49e3a62662",1144,6,388,756,0.660839161,"PBCA"
"06018aae-1107-4899-bd24-14e6b1f94709",177,3,65,112,0.632768362,"PBCA"
"0609b182-0396-4755-b463-10f949c5b8bb",1332,2,874,458,0.343843844,"PBCA"
"0624eb1d-3aff-4037-a3c5-fc363a9edd02",1054,5,322,732,0.694497154,"PBCA"
"0ba8f2e2-935a-4123-86aa-6e7f5de85bf4",2458,3,554,1904,0.774613507,"PBCA"
"0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d",82,3,47,35,0.426829268,"PBCA"
"0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0",2040,2,1847,193,0.094607843,"PBCA"
"0e1e628b-823a-4861-aa95-bed2fada7349",1419,3,1242,177,0.124735729,"PBCA"
"11ae45fb-05f6-425a-9295-d50d13407006",122,2,42,80,0.655737705,"PBCA"
"129d2c6c-6688-4b29-bfa7-8df3fe77b25a",110,2,44,66,0.6,"PBCA"
"12ae2ba1-9484-47fe-8a3f-bba94a6abe0c",411,6,171,240,0.583941606,"PBCA"
"12d7121a-0345-4808-a819-09d6e3227bd5",1959,2,1397,562,0.286881062,"PBCA"
"13446fc4-9fa6-4bb3-a00a-b9265b41eb12",542,2,433,109,0.201107011,"PBCA"
"1358ff92-4db9-4e42-b63a-984a7bea425a",95,2,44,51,0.536842105,"PBCA"
"13c7065e-6780-4571-978e-a7c13078ff50",668,6,199,469,0.702095808,"PBCA"
"147e3496-514e-4da7-be42-7cd9be78ed04",886,2,609,277,0.312641084,"PBCA"
"14f41457-25c3-4979-8515-4f33322039a5",1037,2,957,80,0.077145612,"PBCA"
"18f9240e-7acd-41eb-a154-c2a67a1cbe9b",468,2,268,200,0.427350427,"PBCA"
"19aa8223-ee84-4b5c-b11a-6ca2a2680b3c",429,2,362,67,0.156177156,"PBCA"
"19b6b9d6-6912-4b85-a4bf-52014bcb170b",1484,3,1195,289,0.194743935,"PBCA"
"1a134c18-ced3-4bae-9f15-5f0f09526639",270,2,171,99,0.366666667,"PBCA"
"1bd74f92-47f6-427e-af6f-299c3a7fe023",1056,2,190,866,0.820075758,"PBCA"
"1bea3a72-3b73-4072-a6bb-96a90119d3ac",296,3,113,183,0.618243243,"PBCA"
"1f8d8720-30ca-4057-90f7-a34b8383eafe",1158,6,233,925,0.798791019,"PBCA"
"2009e5e7-1796-445b-8677-46b3804fe0bf",732,5,287,445,0.607923497,"PBCA"
"209a9b10-7129-48fe-a899-d14ba17efe6f",1313,5,492,821,0.625285605,"PBCA"
"2321c412-7730-4694-bc8f-199d7e51a7f8",509,2,292,217,0.42632613,"PBCA"
"25e68b09-7d62-4449-a14a-8d09edd96db6",141,3,44,97,0.687943262,"PBCA"
"27847313-3b1e-47f2-84f1-acadaf265cf3",1674,2,1250,424,0.253285544,"PBCA"
"2a5a5840-a834-47a1-b1f4-dc8fed620f5c",449,3,101,348,0.775055679,"PBCA"
"2abe2e53-ad9b-4fbc-b9a7-93444f1bea87",2537,2,2392,145,0.057154119,"PBCA"
"2c2e5f87-bd22-4a5e-be71-3bcc2aefaf74",251,3,161,90,0.358565737,"PBCA"
"30376989-7edb-4863-9496-1789eccef8c4",709,2,565,144,0.203102962,"PBCA"
"3166f1ae-678d-42ae-9d44-d3d25d6860c7",674,4,401,273,0.40504451,"PBCA"
"324adcfa-3fba-45b9-99f0-9d41c0c54d79",99,2,68,31,0.313131313,"PBCA"
"32a63b4f-3baa-4987-ad30-5bd0c0548088",1346,2,329,1017,0.755572065,"PBCA"
"34b0c838-bf6c-4d0f-8cd2-d2928adbb539",1000,2,931,69,0.069,"PBCA"
"35b951c0-edb0-47c4-9076-ede346ea7cb1",1816,2,1683,133,0.073237885,"PBCA"
"36160be6-368f-4cdb-b1ee-9ed5b64462fa",148,2,110,38,0.256756757,"PBCA"
"363d3a59-dce3-408d-a736-5c29ba9f9b6d",609,2,130,479,0.786535304,"PBCA"
"37c913e6-9ce5-4338-8849-b5bf7862d36a",714,2,438,276,0.386554622,"PBCA"
"391a949d-217a-472c-a6d4-80e548039684",911,3,199,712,0.781558727,"PBCA"
"3935af50-d992-4430-9909-e688347aead9",81,3,31,50,0.617283951,"PBCA"
"3b399659-8302-428a-9c97-1e7b455c9c2f",280,2,228,52,0.185714286,"PBCA"
"3b4ff158-c6d8-4a26-9568-0634ddb4a609",317,3,119,198,0.624605678,"PBCA"
"3baecfba-6977-4374-8bc9-22240abad9b5",117,5,18,99,0.846153846,"PBCA"
"3e1180a5-149c-4e6c-9a29-696e3ba567e3",2272,2,2055,217,0.095510563,"PBCA"
"3f3aff50-d71b-44af-85d4-f81e813ea420",899,5,455,444,0.493882091,"PBCA"
"436af904-65b2-4196-ad8c-a4e98081ee41",382,2,346,36,0.094240838,"PBCA"
"43bf37e0-3dbc-4360-818c-fc1356d77495",254,3,83,171,0.673228346,"PBCA"
"45614404-2149-4468-848c-0796e3757d62",315,3,135,180,0.571428571,"PBCA"
"46e503ae-461d-443a-869b-f261c5570de1",99,2,39,60,0.606060606,"PBCA"
"48fadd0f-6561-4294-bff4-d5e4f7dfe79f",1085,2,997,88,0.081105991,"PBCA"
"492694a7-bb41-4128-a909-c424e7fc0c9e",875,3,620,255,0.291428571,"PBCA"
"49900a43-d42e-4052-a8cb-1563b82ad0a0",81,2,50,31,0.382716049,"PBCA"
"49b26ab5-2ca9-49b1-ae83-573fa41af2cd",132,2,60,72,0.545454545,"PBCA"
"49fa7e44-c86f-4b1f-8849-e5fe5b9de734",4451,3,3014,1437,0.322848798,"PBCA"
"4a35b01f-5e19-4673-abea-d87fd1d605d0",670,2,609,61,0.091044776,"PBCA"
"4a698352-25e6-4137-bef8-b6520d5b1b95",1185,2,208,977,0.824472574,"PBCA"
"4c3f733d-5fd5-4f67-af5f-8c36c5b37be2",516,2,74,442,0.856589147,"PBCA"
"4d121008-0987-4142-a2b8-7dac58f3110a",575,6,236,339,0.589565217,"PBCA"
"4d690424-b015-46ae-885d-aa6d9031f66f",1073,3,858,215,0.200372787,"PBCA"
"4d6bb438-86f0-4414-962f-2b1cebee4524",569,3,359,210,0.369068541,"PBCA"
"4daa2708-d0db-40fe-a07a-763f003adcae",646,2,400,246,0.380804954,"PBCA"
"4e361622-f9a8-4e9b-a89e-19bafebe1d6a",1300,5,410,890,0.684615385,"PBCA"
"4f3c2c94-fa7f-4945-9dff-e4d4dac95f56",1415,3,1174,241,0.170318021,"PBCA"
"518d6c1b-8234-40be-9560-6d383d5866fa",1362,5,341,1021,0.749632893,"PBCA"
"51dd1a39-7349-442c-b7e1-7850fb800569",262,2,157,105,0.400763359,"PBCA"
"52f2d49e-f24d-41d2-9f73-33bd1cc51bba",89,2,66,23,0.258426966,"PBCA"
"534d941c-ec2d-47eb-b2dc-d3f856d0b151",99,2,66,33,0.333333333,"PBCA"
"53ac794d-1067-43e0-8dc0-43b131f43ec5",111,2,78,33,0.297297297,"PBCA"
"55c75a2a-f3d2-4469-9d23-604cf539d548",2003,2,1641,362,0.180728907,"PBCA"
"5714b52d-7048-41b5-8141-bf42d960abe4",248,2,116,132,0.532258065,"PBCA"
"571ce258-b453-4cac-b05e-05755791be84",1603,2,610,993,0.619463506,"PBCA"
"573ee34b-43a7-40d8-95ee-0ced4b46a7c8",1084,2,455,629,0.580258303,"PBCA"
"57947014-053e-4c34-b6a7-9e6f36f48010",113,2,65,48,0.424778761,"PBCA"
"589daa3f-0b76-4c9c-b494-048955e36052",1289,4,772,517,0.401086113,"PBCA"
"59bfcb53-91c1-4dce-856a-f4afc8fa6224",1076,2,435,641,0.595724907,"PBCA"
"5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c",2321,5,1130,1191,0.513140888,"PBCA"
"5ab6a1d3-76f8-45d4-a430-d9831daa9ec4",3685,2,3223,462,0.125373134,"PBCA"
"5beafbbb-4613-4bab-977a-11c865e13a84",745,5,288,457,0.613422819,"PBCA"
"5c775f90-83d4-4c1e-88c2-4e1ed1daa96f",630,5,140,490,0.777777778,"PBCA"
"5cbd429f-ffab-41ad-8016-422f1c922e99",2871,2,2440,431,0.150121909,"PBCA"
"5f00a760-fbc0-41f0-b92b-b3c553eac0e5",2075,3,1806,269,0.129638554,"PBCA"
"5f096d7b-a1ea-4cc2-af73-10108089ae84",924,2,537,387,0.418831169,"PBCA"
"5fa88c3a-dbc1-43f2-82b2-e0592f35ce57",2481,2,2354,127,0.051189037,"PBCA"
"5fe83740-0688-46fe-97b4-4c7c8cfa206e",80,3,47,33,0.4125,"PBCA"
"6239e340-d50c-45b1-a7ca-e1135671ae0f",72,2,31,41,0.569444444,"PBCA"
"62ac7c91-da99-4144-b927-e90528dcd8d4",204,2,49,155,0.759803922,"PBCA"
"637208b2-d8b6-45a3-a389-6f34db18fea4",1517,3,1058,459,0.302570864,"PBCA"
"64e5ee38-e5c6-4911-ad87-c50dd8e52f1b",55,2,15,40,0.727272727,"PBCA"
"6551ec26-4166-4d4f-bee2-444ea2466978",1054,2,275,779,0.739089184,"PBCA"
"67a2e34f-454e-4253-8f22-262fc74d312c",93,4,22,71,0.76344086,"PBCA"
"68956108-2606-4696-b038-462b6c432398",757,2,408,349,0.461030383,"PBCA"
"69d6142c-3a16-46c9-8bed-1f4edc267c4d",52,3,10,42,0.807692308,"PBCA"
"6aba73ff-81e0-4f8d-ad12-e3136196e814",144,3,39,105,0.729166667,"PBCA"
"6c642c0b-4dd0-406c-ac68-ea376802d61b",562,2,304,258,0.459074733,"PBCA"
"6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea",918,2,854,64,0.069716776,"PBCA"
"6d3d5531-16b4-46ec-bd7e-394946855d62",957,3,671,286,0.298850575,"PBCA"
"6e516c4b-fee7-4336-8470-494588e645b3",412,2,172,240,0.582524272,"PBCA"
"6f4d836f-e86f-4b12-9549-7117f59e3d4a",75,2,46,29,0.386666667,"PBCA"
"706a1085-5994-4d04-b56b-d301c9ed5afa",337,4,131,206,0.611275964,"PBCA"
"70990332-7702-45e2-84cb-8bbff773f160",1015,2,847,168,0.165517241,"PBCA"
"718c5a31-6b19-4f68-9fb9-79b0c00d64a5",61,2,19,42,0.68852459,"PBCA"
"72b62805-76f9-476a-b876-a781e69a2c90",642,2,594,48,0.074766355,"PBCA"
"759d30b2-ddb8-49e2-a604-57ff9222d3a0",79,3,36,43,0.544303797,"PBCA"
"75e1bdbc-474e-4367-9b4a-963b31f3b297",386,2,302,84,0.21761658,"PBCA"
"7ac3e543-3bc2-4a59-84fc-b5aa0def592c",421,2,306,115,0.273159145,"PBCA"
"7bd4d5e2-69ee-4264-93e4-2ba01418c460",876,1,876,0,0,"PBCA"
"7dddd413-d2c6-4f75-bbf6-3b202877546e",333,4,126,207,0.621621622,"PBCA"
"7f22b0f7-4040-4c84-939e-894c3050ef5d",910,2,623,287,0.315384615,"PBCA"
"7f9382a5-f6da-4fe8-93ad-6adc91f508fa",121,3,43,78,0.644628099,"PBCA"
"8404ef5b-7a64-47fe-98f9-3f63619d2d99",743,5,334,409,0.550471063,"PBCA"
"868c95ad-45df-4f8e-9553-b7c2c5679deb",2082,2,1871,211,0.101344861,"PBCA"
"86ae34f9-e16a-4593-8e55-b1296782bc1f",2062,2,1466,596,0.289039767,"PBCA"
"86cbb7ad-b22b-414f-a122-77d38c77207d",181,2,56,125,0.690607735,"PBCA"
"880e6970-0131-4966-b13e-8614d33f0df7",550,4,326,224,0.407272727,"PBCA"
"889fb525-5055-4408-a12e-17f1225c9d29",743,3,631,112,0.150740242,"PBCA"
"89f34810-19c6-47bc-981d-98498b013686",1226,2,934,292,0.23817292,"PBCA"
"8a8dd718-c46e-462a-9793-83d88f5caa7f",2646,2,2496,150,0.056689342,"PBCA"
"8bda75a6-86b9-458e-948b-05049b4c52ce",3619,5,1405,2214,0.611771208,"PBCA"
"8ce95cae-6adb-4bac-b072-94e2d9b70017",141,2,54,87,0.617021277,"PBCA"
"8efb116f-4ecf-4191-8ebf-90a94c1880cf",644,4,328,316,0.49068323,"PBCA"
"8fa7549d-d0a6-4216-9763-74b0f21c0fd7",83,2,40,43,0.518072289,"PBCA"
"906f6f1e-569d-4ce2-9273-1f305782f77f",1321,5,624,697,0.527630583,"PBCA"
"909f3c5d-89fc-419b-a654-75ac1dbb149f",298,2,156,142,0.476510067,"PBCA"
"90ab64be-2229-4a8e-b864-4260b6cb39e9",2072,3,1785,287,0.138513514,"PBCA"
"924613ef-8732-4703-a387-136d37b2ba6b",121,2,76,45,0.371900826,"PBCA"
"924bcc4a-c982-43bf-8bbb-641dc983d65e",1830,4,330,1500,0.819672131,"PBCA"
"93be2990-bceb-45fd-aca5-3358d96e9d5a",3204,3,2572,632,0.197253433,"PBCA"
"94cf1801-a720-4b2f-aab5-0b76c8ccb242",105,3,56,49,0.466666667,"PBCA"
"955763f0-0735-418f-9ea4-3c980a966002",220,2,60,160,0.727272727,"PBCA"
"96e62134-b8cc-4931-9c99-1193448c7c93",1979,2,1765,214,0.108135422,"PBCA"
"97f451e5-a1cc-4f29-8318-0e6ae74efe2f",4499,2,4182,317,0.070460102,"PBCA"
"9be1246b-3dc1-4928-8b89-2d5ed0c866e8",2031,2,1887,144,0.070901034,"PBCA"
"9beb4126-0112-4c06-80a3-e5dd1c2b88d5",821,2,693,128,0.15590743,"PBCA"
"9c949c63-aa63-4a84-ac5a-b5260775cee6",93,2,82,11,0.11827957,"PBCA"
"a13ee768-1423-4fcc-b663-caaf6694acb3",162,2,111,51,0.314814815,"PBCA"
"a2a4021e-1273-4c18-907c-d20454ab898c",80,3,38,42,0.525,"PBCA"
"a65bcd07-c47d-4bda-a2bf-21f68cef2f3b",369,2,251,118,0.319783198,"PBCA"
"a742a46d-2594-4efe-a701-4a2737ffae81",327,2,194,133,0.406727829,"PBCA"
"a7fb0931-28df-46f4-bc0f-2011fc91f0e1",300,2,231,69,0.23,"PBCA"
"aa018d90-5250-4313-9f7c-a3f196765e07",1095,2,525,570,0.520547945,"PBCA"
"aa2654f4-94f9-487a-b415-85df69261161",183,3,45,138,0.754098361,"PBCA"
