"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"008aef39-0c97-48ce-9dfd-f12d67116c59",3102,3,2239,863,0.278207608,"PRAD"
"008bad10-d41b-4bbb-86fa-9976ecea46b1",2270,2,1486,784,0.345374449,"PRAD"
"0192d529-7340-45d8-a5f0-249cbb11ca19",2732,4,1652,1080,0.395314788,"PRAD"
"07531318-87e8-4db8-aa61-9b93597d063b",5034,1,5034,0,0,"PRAD"
"07f16397-71bb-4594-ad4d-caa7d2baeabd",2934,2,1418,1516,0.51670075,"PRAD"
"08e1d976-6c39-428e-a4c2-f655b675683e",2908,2,975,1933,0.664718019,"PRAD"
"0a6be23a-d5a0-4e95-ada2-a61b2b5d9485",3977,3,789,3188,0.801609253,"PRAD"
"0bfd1043-5142-3662-e050-11ac0c486501",6499,2,4639,1860,0.286197877,"PRAD"
"0bfd1043-70fb-d2dc-e050-11ac0c4860cb",5124,2,3680,1444,0.281811085,"PRAD"
"0bfd1043-7343-fdd0-e050-11ac0c484cab",9340,2,8593,747,0.079978587,"PRAD"
"0bfd1043-7344-fdd0-e050-11ac0c484cab",8213,2,7105,1108,0.134908073,"PRAD"
"0bfd1043-7346-fdd0-e050-11ac0c484cab",3600,2,3011,589,0.163611111,"PRAD"
"0bfd1043-7ebf-aaec-e050-11ac0c482f39",5296,2,4938,358,0.067598187,"PRAD"
"0bfd1043-7ec1-aaec-e050-11ac0c482f39",4444,2,3777,667,0.150090009,"PRAD"
"0bfd1043-7ed6-9ccc-e050-11ac0c481957",3601,2,3050,551,0.153013052,"PRAD"
"0bfd1043-816e-e3e4-e050-11ac0c4860c5",8419,2,6465,1954,0.232094073,"PRAD"
"0bfd1043-8170-e3e4-e050-11ac0c4860c5",6106,3,4551,1555,0.25466754,"PRAD"
"0bfd1043-8172-e3e4-e050-11ac0c4860c5",5738,2,5181,557,0.097072151,"PRAD"
"0bfd1043-8173-e3e4-e050-11ac0c4860c5",6161,4,4618,1543,0.250446356,"PRAD"
"0bfd1043-8175-e3e4-e050-11ac0c4860c5",6153,3,5202,951,0.154558752,"PRAD"
"0bfd1043-8177-e3e4-e050-11ac0c4860c5",3790,3,2582,1208,0.318733509,"PRAD"
"0bfd1043-817c-e3e4-e050-11ac0c4860c5",4456,3,3540,916,0.20556553,"PRAD"
"0bfd1043-817e-e3e4-e050-11ac0c4860c5",16650,3,14567,2083,0.125105105,"PRAD"
"0bfd1043-8180-e3e4-e050-11ac0c4860c5",11640,2,11025,615,0.052835052,"PRAD"
