"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"007aab66-2f07-459d-8952-3041d6ea24a8",686,2,498,188,0.274052478,"THCA"
"0567d3e6-6278-4d0a-81ae-c084d73c6dd3",894,2,658,236,0.263982103,"THCA"
"07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f",531,2,432,99,0.186440678,"THCA"
"0c18a8b7-bad1-4aa4-a6df-472f89d9761c",1051,2,355,696,0.662226451,"THCA"
"13642cf8-9840-4a7d-a26a-95f65b2c70c3",2358,3,1292,1066,0.452078032,"THCA"
"15abb2a3-10a2-4e04-8eb9-6eadbd976af0",561,2,439,122,0.217468806,"THCA"
"178d0486-cb0d-4979-8bdf-bb3fe99149bd",1053,2,575,478,0.453941121,"THCA"
"17a66d24-de77-4f2a-a8ad-d2c6a69e7671",838,2,496,342,0.408114558,"THCA"
"19233fd1-5229-466e-acf3-5882165758e0",1723,2,1154,569,0.330237957,"THCA"
"1924d200-6929-4eef-8a7f-317f8fbab915",2928,2,1423,1505,0.514002732,"THCA"
"1bbb522d-e224-4b3f-9e10-3a47d06b2b05",1150,3,524,626,0.544347826,"THCA"
"1d97ba51-d981-4986-9f71-c2b6cb9961c3",36,2,3,33,0.916666667,"THCA"
"248fd0ed-f14c-40b8-9f14-e9c7adf16e22",941,2,364,577,0.613177471,"THCA"
"29578759-9ccb-4a24-b5b8-c45ebd4339d9",1437,2,641,796,0.553931802,"THCA"
"2dd5eea1-42a1-4e8b-99ac-20399cc7e15c",1730,2,1191,539,0.311560694,"THCA"
"2dfe70fd-2650-49c0-b6eb-67df585d063b",1356,2,902,454,0.33480826,"THCA"
"3f039593-91d1-43cb-a06b-41e92f7e8d20",1093,3,717,376,0.344007319,"THCA"
"473fe833-fcc6-485e-93d2-95e662c3ef53",528,3,88,440,0.833333333,"THCA"
"4bae2f08-da75-4991-acb8-5ba9912f9131",1255,3,447,808,0.643824701,"THCA"
"54426b1a-e0d3-4d8e-9e81-2d8e6b153b22",685,2,324,361,0.527007299,"THCA"
"546b97b0-ab82-42a1-bbd2-241523278ec3",745,3,317,428,0.574496644,"THCA"
"565e656c-d5e3-4fe4-a10c-2e9ca1e498b5",1333,3,224,1109,0.831957989,"THCA"
"5bdca282-c671-48ff-b32b-2380996016c0",931,2,847,84,0.090225564,"THCA"
"5c02d399-07af-4573-a568-bc1b256bc8f8",1541,3,1052,489,0.317326411,"THCA"
"5deeaa45-4c1b-4ab2-a487-93c548838f68",1250,2,1005,245,0.196,"THCA"
"62fceb56-8c6e-4d20-9d2f-5b7042854d23",1993,2,1505,488,0.244856999,"THCA"
"63ea274b-d42b-4787-9c54-8ee95ea376ec",2590,2,2243,347,0.133976834,"THCA"
"64a17d5b-8f40-4ccf-8f2f-e68c5fe6b1ff",3644,2,580,3064,0.840834248,"THCA"
"64c2e6a0-2341-49c4-a6dd-656e7bb505dd",1975,2,1738,237,0.12,"THCA"
"66eb4833-1b87-4fd9-a53d-26dc7ad6de29",2365,3,1407,958,0.405073996,"THCA"
"77ebe6d2-6537-49d3-849d-fe93e2cf52af",757,3,473,284,0.375165125,"THCA"
"79133e29-ba0b-4e2f-a6d9-bf294c5144f0",159,3,81,78,0.490566038,"THCA"
"79169c46-7049-4576-9885-63973db76ab9",1083,2,827,256,0.236380425,"THCA"
"7dfcfe29-3900-4d7b-8067-60c51584b0b1",1174,2,594,580,0.494037479,"THCA"
"8845fce6-e2b4-4929-942b-57096b0bbafc",2242,2,2040,202,0.090098127,"THCA"
"90883300-d4b6-45d7-af9a-4e4ce4104500",650,2,542,108,0.166153846,"THCA"
"a9c29edd-2ef1-46ef-93c6-796cf0332a2b",2545,3,2168,377,0.148133595,"THCA"
"ad874249-9964-4e48-aa3f-7e828ea28f3f",685,2,496,189,0.275912409,"THCA"
"add0b0f6-b4a8-4b73-b634-c3600dc567d5",3581,2,1815,1766,0.493158336,"THCA"
"b1753e9c-29d0-4955-89d2-949cdabd1211",490,2,338,152,0.310204082,"THCA"
"b8cd6882-be27-4742-bc63-3227d31bf704",626,2,323,303,0.484025559,"THCA"
"c8381701-31cb-465a-bdf2-1b8132be7a14",36,2,6,30,0.833333333,"THCA"
"d0a33fd2-085c-488b-b843-2ca97c85a5cb",369,2,300,69,0.18699187,"THCA"
"d692ecd0-2433-426b-9af2-a30c44a80f7c",1871,2,1708,163,0.087119188,"THCA"
"dbacc1ad-c88a-4bcf-a45f-e9c83c762164",927,2,639,288,0.310679612,"THCA"
"e7335a24-e5fc-4558-9eba-511c5a802320",1083,3,430,653,0.602954755,"THCA"
"fa837b4d-55a7-4dcf-9fdf-cf9c13644df7",483,2,288,195,0.403726708,"THCA"
"fc812906-d3b6-4210-a842-96f095280cbf",974,3,561,413,0.424024641,"THCA"
