"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-2G-AAEX",28,3,18,10,24,7,0.357142857,0.291666667,"TGCT"
"TCGA-2G-AAF1",12,2,4,8,10,8,0.666666667,0.8,"TGCT"
"TCGA-2G-AAF4",11,2,5,6,9,4,0.545454545,0.444444444,"TGCT"
"TCGA-2G-AAF8",20,2,16,4,17,3,0.2,0.176470588,"TGCT"
"TCGA-2G-AAFE",56,1,56,0,45,0,0,0,"TGCT"
"TCGA-2G-AAFG",26,3,4,22,18,15,0.846153846,0.833333333,"TGCT"
"TCGA-2G-AAFH",26,3,20,6,22,5,0.230769231,0.227272727,"TGCT"
"TCGA-2G-AAFJ",27,4,11,16,23,14,0.592592593,0.608695652,"TGCT"
"TCGA-2G-AAFL",26,2,21,5,20,4,0.192307692,0.2,"TGCT"
"TCGA-2G-AAFN",17,5,6,11,14,9,0.647058824,0.642857143,"TGCT"
"TCGA-2G-AAFV",27,4,9,18,19,13,0.666666667,0.684210526,"TGCT"
"TCGA-2G-AAFY",14,2,12,2,12,2,0.142857143,0.166666667,"TGCT"
"TCGA-2G-AAFZ",34,3,23,11,28,10,0.323529412,0.357142857,"TGCT"
"TCGA-2G-AAG0",29,2,25,4,23,4,0.137931034,0.173913043,"TGCT"
"TCGA-2G-AAG5",23,4,6,17,21,15,0.739130435,0.714285714,"TGCT"
"TCGA-2G-AAG7",26,4,7,19,21,15,0.730769231,0.714285714,"TGCT"
"TCGA-2G-AAG9",21,1,21,0,19,0,0,0,"TGCT"
"TCGA-2G-AAGA",34,4,8,26,29,22,0.764705882,0.75862069,"TGCT"
"TCGA-2G-AAGC",21,3,10,11,17,9,0.523809524,0.529411765,"TGCT"
"TCGA-2G-AAGE",23,4,14,9,17,4,0.391304348,0.235294118,"TGCT"
"TCGA-2G-AAGF",15,5,5,10,13,9,0.666666667,0.692307692,"TGCT"
"TCGA-2G-AAGG",50,5,15,35,40,29,0.7,0.725,"TGCT"
"TCGA-2G-AAGI",40,2,13,27,33,22,0.675,0.666666667,"TGCT"
"TCGA-2G-AAGJ",28,2,20,8,19,6,0.285714286,0.315789474,"TGCT"
"TCGA-2G-AAGO",27,3,20,7,23,6,0.259259259,0.260869565,"TGCT"
