"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-N5-A4RA",49,2,44,5,39,3,0.102040816,0.076923077,"UCS"
"TCGA-N5-A4RD",63,2,57,6,56,5,0.095238095,0.089285714,"UCS"
"TCGA-N5-A4RJ",58,2,52,6,56,6,0.103448276,0.107142857,"UCS"
"TCGA-N5-A4RM",59,3,40,19,45,16,0.322033898,0.355555556,"UCS"
"TCGA-N5-A4RN",84,2,74,10,70,9,0.119047619,0.128571429,"UCS"
"TCGA-N5-A4RO",61,2,53,8,53,6,0.131147541,0.113207547,"UCS"
"TCGA-N5-A4RT",102,3,86,16,88,15,0.156862745,0.170454545,"UCS"
"TCGA-N5-A4RU",76,3,23,53,63,45,0.697368421,0.714285714,"UCS"
"TCGA-N5-A4RV",57,2,51,6,54,6,0.105263158,0.111111111,"UCS"
"TCGA-N5-A59E",62,2,54,8,58,7,0.129032258,0.120689655,"UCS"
"TCGA-N6-A4V9",43,3,25,18,38,15,0.418604651,0.394736842,"UCS"
"TCGA-N6-A4VC",48,3,40,8,46,8,0.166666667,0.173913043,"UCS"
"TCGA-N6-A4VD",98,1,98,0,85,0,0,0,"UCS"
"TCGA-N6-A4VE",76,2,65,11,64,10,0.144736842,0.15625,"UCS"
"TCGA-N6-A4VF",55,2,46,9,45,8,0.163636364,0.177777778,"UCS"
"TCGA-N7-A4Y0",782,5,350,432,684,383,0.552429668,0.55994152,"UCS"
"TCGA-N7-A4Y5",73,2,69,4,66,1,0.054794521,0.015151515,"UCS"
"TCGA-N7-A4Y8",56,3,49,7,51,7,0.125,0.137254902,"UCS"
"TCGA-N8-A4PI",57,2,41,16,49,13,0.280701754,0.265306122,"UCS"
"TCGA-N8-A4PL",56,2,49,7,52,6,0.125,0.115384615,"UCS"
"TCGA-N8-A4PM",62,2,58,4,56,3,0.064516129,0.053571429,"UCS"
"TCGA-N8-A4PN",55,2,50,5,52,5,0.090909091,0.096153846,"UCS"
"TCGA-N8-A4PO",80,4,39,41,64,31,0.5125,0.484375,"UCS"
"TCGA-N8-A4PP",123,2,99,24,116,23,0.195121951,0.198275862,"UCS"
"TCGA-N8-A4PQ",71,2,67,4,68,4,0.056338028,0.058823529,"UCS"
"TCGA-N9-A4PZ",59,3,46,13,55,12,0.220338983,0.218181818,"UCS"
"TCGA-N9-A4Q1",42,3,32,10,37,9,0.238095238,0.243243243,"UCS"
"TCGA-N9-A4Q3",44,2,38,6,38,6,0.136363636,0.157894737,"UCS"
"TCGA-N9-A4Q4",40,3,25,15,35,12,0.375,0.342857143,"UCS"
"TCGA-N9-A4Q7",320,2,110,210,286,199,0.65625,0.695804196,"UCS"
"TCGA-N9-A4Q8",52,3,32,20,49,20,0.384615385,0.408163265,"UCS"
"TCGA-NA-A4QV",52,4,24,28,47,25,0.538461538,0.531914894,"UCS"
"TCGA-NA-A4QX",31,2,18,13,28,13,0.419354839,0.464285714,"UCS"
"TCGA-NA-A4QY",49,2,46,3,45,3,0.06122449,0.066666667,"UCS"
"TCGA-NA-A4R0",59,2,27,32,49,25,0.542372881,0.510204082,"UCS"
"TCGA-NA-A4R1",127,2,118,9,116,8,0.070866142,0.068965517,"UCS"
"TCGA-NA-A5I1",50,4,34,16,43,14,0.32,0.325581395,"UCS"
"TCGA-ND-A4WA",50,2,36,14,45,12,0.28,0.266666667,"UCS"
"TCGA-ND-A4WC",4740,3,3891,849,4106,748,0.179113924,0.182172431,"UCS"
"TCGA-ND-A4WF",69,3,58,11,63,11,0.15942029,0.174603175,"UCS"
"TCGA-NF-A4WU",39,3,25,14,38,14,0.358974359,0.368421053,"UCS"
"TCGA-NF-A5CP",67,3,48,19,61,17,0.28358209,0.278688525,"UCS"
"TCGA-NG-A4VU",42,4,31,11,38,8,0.261904762,0.210526316,"UCS"
"TCGA-NG-A4VW",52,2,14,38,50,37,0.730769231,0.74,"UCS"
"TCGA-QM-A5NM",57,4,18,39,48,30,0.684210526,0.625,"UCS"
