"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"f221c897-6ad0-0df9-e040-11ac0c4813ef",7037,3,5370,1667,0.23689072,"BOCA"
"f82d213f-9843-28eb-e040-11ac0d483e48",991,2,806,185,0.186680121,"BOCA"
"f82d213f-9ba5-7b6b-e040-11ac0c486882",5198,2,4467,731,0.140631012,"BOCA"
"f82d213f-bc06-5b51-e040-11ac0c48687e",1918,3,1628,290,0.151199166,"BOCA"
"f82d213f-bc99-5b1d-e040-11ac0c486880",8975,3,7515,1460,0.162674095,"BOCA"
"f82d213f-caa7-fd59-e040-11ac0d483e46",4221,1,4221,0,0,"BOCA"
"f82d2146-70f5-8114-e040-11ac0d483e50",3126,3,1526,1600,0.511836212,"BOCA"
"f82d2146-726a-d0e0-e040-11ac0c486888",3316,1,3316,0,0,"BOCA"
"f83f1eb8-b2c8-c3d6-e040-11ac0c48261e",4829,2,4474,355,0.073514185,"BOCA"
"f83fc777-5416-c3e9-e040-11ac0d482c8e",8329,2,6759,1570,0.188498019,"BOCA"
"f8407106-8a96-8f85-e040-11ac0d481656",2487,3,1819,668,0.268596703,"BOCA"
"f841c488-6b8d-6645-e040-11ac0c481418",1060,2,971,89,0.083962264,"BOCA"
"f8425828-5b0f-23a8-e040-11ac0d484128",2348,2,1799,549,0.233816014,"BOCA"
"f843ed5c-0336-3d33-e040-11ac0d48478c",2569,2,2215,354,0.137796808,"BOCA"
"f845ebba-8c56-b559-e040-11ac0c4863d5",4838,3,3186,1652,0.341463415,"BOCA"
"f8467ec8-2d61-ba21-e040-11ac0c483584",1771,2,1573,198,0.111801242,"BOCA"
"f8515e5a-7de3-6be3-e040-11ac0c480d6d",1141,3,742,399,0.349693252,"BOCA"
"f85397dc-e6e9-4f54-e040-11ac0d48706c",3331,2,3073,258,0.077454218,"BOCA"
"f854ae3f-356d-f0ad-e040-11ac0c485dae",1675,1,1675,0,0,"BOCA"
"f856fa85-fdb8-c0b0-e040-11ac0d480b4e",4233,3,3296,937,0.221356012,"BOCA"
"f8572359-f29a-5945-e040-11ac0d4821cf",2174,1,2174,0,0,"BOCA"
"f8593ac0-9480-22a0-e040-11ac0d48697a",5687,2,5183,504,0.088623176,"BOCA"
"f85add3d-e2e6-31f8-e040-11ac0d48479c",12775,2,10902,1873,0.146614481,"BOCA"
"f85ae2b7-cebf-17a2-e040-11ac0c48033a",2379,2,2176,203,0.085329971,"BOCA"
"f860bc4c-f31b-6538-e040-11ac0c48268f",1401,2,1248,153,0.109207709,"BOCA"
"f866123a-9eb0-e856-e040-11ac0c48717e",6419,2,3524,2895,0.451004829,"BOCA"
"f8696c79-b165-92a6-e040-11ac0c4804bf",2347,2,2175,172,0.073285045,"BOCA"
"f86975a2-78a4-ef8c-e040-11ac0c4809da",4687,2,3908,779,0.166204395,"BOCA"
"f86ae246-2492-9785-e040-11ac0d4813b0",5495,3,4090,1405,0.255686988,"BOCA"
"f86b6ba2-8f4b-ee53-e040-11ac0d485904",2646,2,1687,959,0.362433862,"BOCA"
"f86b7e84-7040-c751-e040-11ac0c485675",5569,2,3817,1752,0.314598671,"BOCA"
"f86e2d80-911b-7a19-e040-11ac0d486900",8497,2,7874,623,0.073319995,"BOCA"
"f87348df-7186-4c6b-e040-11ac0c482ba9",6610,2,5843,767,0.116036309,"BOCA"
"f87cdca1-2c85-49d2-e040-11ac0d485c9d",2267,3,1279,988,0.435818262,"BOCA"
"f87d7c27-eeef-920e-e040-11ac0d48388d",3711,4,2472,1239,0.333872272,"BOCA"
"f87e94a9-ef37-fcba-e040-11ac0c482332",1643,2,1352,291,0.177115033,"BOCA"
"f87eb1b5-1712-ca1f-e040-11ac0c483848",2929,1,2929,0,0,"BOCA"
"f8809cee-8f81-28f8-e040-11ac0d4873bf",377,3,150,227,0.602122016,"BOCA"
"fc876f51-0577-3b53-e040-11ac0d48515e",1498,4,729,769,0.513351135,"BOCA"
"fc876f5c-8339-bc9c-e040-11ac0d485160",605,3,424,181,0.299173554,"BOCA"
"fc876f66-ff0d-f338-e040-11ac0d485162",732,1,732,0,0,"BOCA"
"fc93369d-3ffb-1b53-e040-11ac0c4852ba",597,2,511,86,0.144053601,"BOCA"
"fc93bd81-a3f9-2f8e-e040-11ac0d48306f",808,2,669,139,0.172029703,"BOCA"
"fc93e38d-6bd5-9912-e040-11ac0c4838cd",334,1,334,0,0,"BOCA"
"fc9404ed-1ba3-2638-e040-11ac0c484da2",598,2,508,90,0.150501672,"BOCA"
"fc9469d0-4d0e-bb59-e040-11ac0d481e59",336,1,336,0,0,"BOCA"
"fc94ea15-2d98-0c5b-e040-11ac0c48569b",839,1,839,0,0,"BOCA"
"fc94ec40-2cf2-7ce8-e040-11ac0d4871fb",996,2,481,515,0.517068273,"BOCA"
"fc9500f3-e7d0-9820-e040-11ac0c48617e",696,2,561,135,0.193965517,"BOCA"
"fc950c33-faa4-0241-e040-11ac0c486786",929,2,874,55,0.059203445,"BOCA"
"fc95d5ce-6899-62f1-e040-11ac0c486011",5395,3,4661,734,0.1360519,"BOCA"
"fc962061-8ab0-42b3-e040-11ac0c4810cc",2441,3,1819,622,0.254813601,"BOCA"
"fc9650a1-9aef-ab3b-e040-11ac0c4829a7",1676,3,1214,462,0.275656325,"BOCA"
"fc968a86-32e3-ee88-e040-11ac0d487adb",3676,2,3346,330,0.089771491,"BOCA"
"fc969f27-bdc6-cd03-e040-11ac0c48577e",1588,1,1588,0,0,"BOCA"
"fc96e36c-67f1-4c02-e040-11ac0d48393d",1367,3,1096,271,0.198244331,"BOCA"
"fc96f0df-ef04-411e-e040-11ac0d484291",105,2,30,75,0.714285714,"BOCA"
"fc975588-6e70-b496-e040-11ac0c484689",1701,2,545,1156,0.679600235,"BOCA"
"fc97c1c5-9f4a-be90-e040-11ac0c480992",2553,2,2309,244,0.095573835,"BOCA"
"fc990cee-3a1e-9d45-e040-11ac0c484ab3",1059,2,439,620,0.585457979,"BOCA"
"fc99832e-a4ae-8259-e040-11ac0c48131c",748,1,748,0,0,"BOCA"
"fc998aec-57dd-eab2-e040-11ac0d48680a",343,1,343,0,0,"BOCA"
"fc99b734-7f61-88d1-e040-11ac0c482e88",154,2,21,133,0.863636364,"BOCA"
"fc99bbb0-e5c7-fb9e-e040-11ac0d4807e1",68,2,8,60,0.882352941,"BOCA"
