"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"01658141-8398-4585-9f0f-8355dd9b0604",20121,2,18418,1703,0.08463794,"BRCA"
"0448206f-3ade-4087-b1a9-4fb2d14e1367",17545,2,13877,3668,0.209062411,"BRCA"
"07b5141f-ac79-439b-883b-b0183bbe7ff5",8799,2,8154,645,0.073303785,"BRCA"
"097a7d36-905b-72be-e050-11ac0d482c9a",61120,3,24226,36894,0.603632199,"BRCA"
"110b5f05-ded7-45ec-b0f6-a941c92d77dd",8627,2,7247,1380,0.159962907,"BRCA"
"13c312ec-0add-4758-ab8d-c193e2e08c6d",2280,1,2280,0,0,"BRCA"
"13d05f7a-e16a-40ef-9a15-21257da2cf89",1622,2,1369,253,0.155980271,"BRCA"
"15f90ef0-831b-40a3-98bd-ec226a9e8b26",4077,3,3406,671,0.1645818,"BRCA"
"1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa",4807,1,4807,0,0,"BRCA"
"1c0e384f-7254-4afe-93c0-b3fc6c6a7894",21773,5,4782,16991,0.780370183,"BRCA"
"1eb62abc-7928-405b-84cc-f091ca5347b2",12792,2,7853,4939,0.386100688,"BRCA"
"207f8a42-5b05-4876-b0ae-ebfaeea27844",7684,2,7160,524,0.068193649,"BRCA"
"2290b078-6a5b-4c83-9dfb-b525bbf14e4e",5262,3,3963,1299,0.24686431,"BRCA"
"25c76a8f-77c0-4650-bddf-45ed0c10a2e6",6990,2,5956,1034,0.147925608,"BRCA"
"25e4cad7-2403-4992-9cbc-433574673549",2021,2,1648,373,0.184562098,"BRCA"
"27f87d1e-2c32-4beb-9677-62f7a286673d",3708,2,3270,438,0.118122977,"BRCA"
"2b000af3-2c9d-4eaa-af3f-8101b7425c37",3780,2,1194,2586,0.684126984,"BRCA"
"2c6f1862-bb82-4e7e-9cb3-338bdf022ff4",4140,3,2233,1907,0.460628019,"BRCA"
"2da2b745-068d-408c-9163-3b3a78d4aaed",1874,2,1408,466,0.248665955,"BRCA"
"30dbe353-86d5-40ed-84c2-dbddf7beb17b",1039,2,749,290,0.279114533,"BRCA"
"3585e133-b3c1-4d90-b5f2-2b867e0ae0ec",7610,2,6442,1168,0.15348226,"BRCA"
"36d1a85e-a09b-4537-86e0-eaf1eb03aed8",4888,2,4441,447,0.091448445,"BRCA"
"418e916b-7a4e-4fab-8616-15dcec4d79f8",8217,2,7577,640,0.077887307,"BRCA"
"41f140b8-72b9-4ae3-8b25-6144d9f94d0f",3668,2,2853,815,0.22219193,"BRCA"
"43f7a2e0-fec9-4e43-872d-18c6c946fa17",3035,2,2779,256,0.084349259,"BRCA"
"467ef778-f481-44f3-9768-b9900252d2ba",5481,2,4204,1277,0.232986681,"BRCA"
"47312f61-5ef4-4f25-9320-8fbb4758790e",8890,2,8385,505,0.056805399,"BRCA"
