"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"047f9e4d-86b5-4943-aef5-68199bf29e8c",9145,3,7816,1329,0.145325314,"CESC"
"06dad93a-4b67-49b3-8fa5-f2546e22bae7",6933,2,6383,550,0.079330737,"CESC"
"07d20658-3db4-47e7-877b-66536266edfc",6090,2,5526,564,0.092610837,"CESC"
"0d31a44f-1fc5-43a2-9633-36c4e650d3d2",2040,2,1776,264,0.129411765,"CESC"
"0f6b355e-3898-4be6-be97-da0c3840a4ed",3356,1,3356,0,0,"CESC"
"14b8bbf2-310b-459b-b52d-a7ef510ce1cf",4540,2,3995,545,0.120044053,"CESC"
"3269608c-5dd7-452a-976a-31ac971aac2f",7710,2,7240,470,0.060959792,"CESC"
"43be43cb-a367-4a74-94e4-973acafcf576",12444,2,6548,5896,0.473802636,"CESC"
"7bc3209f-b349-49bf-9b3d-44ef870b586f",3770,2,2945,825,0.218832891,"CESC"
"7dc3e035-c7ae-4164-a62b-9c2460812b05",6420,4,3809,2611,0.406697819,"CESC"
"801e67c8-c506-410a-bdf0-856a66e974f4",7872,2,7317,555,0.070503049,"CESC"
"842df341-d34f-4ed6-928c-eaf15bf7f667",2547,3,2170,377,0.148017275,"CESC"
"8be2b0f5-7bad-4720-b13c-e95b32bdb933",8373,2,5349,3024,0.361160874,"CESC"
"945e6808-2887-4f32-ac32-8f9e00353bf6",2769,2,2463,306,0.110509209,"CESC"
"9ff21093-58d7-4b69-aade-c242a383ea56",3831,3,3097,734,0.191594884,"CESC"
"a67f4531-99ef-43df-82f5-f6abc4b11826",3022,1,3022,0,0,"CESC"
"b3b3a27c-ee9a-42af-a6d1-9af5970a98b9",3615,2,3381,234,0.06473029,"CESC"
"b9d1a64e-d445-4174-a5b4-76dd6ea69419",4679,2,4319,360,0.076939517,"CESC"
"e07991a4-0901-4ed1-8704-aa376565d862",6843,3,2338,4505,0.658336987,"CESC"
"f658c350-fb89-4268-8a59-a07e365f4221",5823,2,5308,515,0.088442384,"CESC"
