"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"f8e61a02-654c-c226-e040-11ac0d481b60",783,2,725,58,0.074074074,"CMDI"
"f8e61a02-6e5e-c8e2-e040-11ac0d481b70",1206,2,483,723,0.599502488,"CMDI"
"f8e61a02-8c03-ad45-e040-11ac0d481b62",796,2,636,160,0.201005025,"CMDI"
"f8e61a02-8c9e-aaee-e040-11ac0d481b6a",2936,2,1670,1266,0.43119891,"CMDI"
"f8e61a02-8fbe-a9af-e040-11ac0d481b64",1021,2,951,70,0.068560235,"CMDI"
"f8e61a02-909d-a906-e040-11ac0d481b6e",794,1,794,0,0,"CMDI"
"f8e61a02-90ec-96fd-e040-11ac0d481b5e",624,3,306,318,0.509615385,"CMDI"
"f8e61a02-92b1-947e-e040-11ac0d481b68",2162,2,1898,264,0.122109158,"CMDI"
"f8e61a02-938b-9428-e040-11ac0d481b6c",886,2,557,329,0.371331828,"CMDI"
"f8e61a06-42fa-e42c-e040-11ac0d481b72",1442,1,1442,0,0,"CMDI"
"f8efa5ad-3a4d-39d6-e040-11ac0c480132",2052,2,832,1220,0.59454191,"CMDI"
"f8efc19a-1e4b-e1b0-e040-11ac0c48104e",406,2,225,181,0.445812808,"CMDI"
"f8f0136b-09ec-d079-e040-11ac0c4842e7",1486,2,1214,272,0.183041723,"CMDI"
"f8f024e5-7096-3047-e040-11ac0d481c0f",809,3,624,185,0.228677379,"CMDI"
"f8f07989-2e2e-30f3-e040-11ac0d484490",316,2,95,221,0.699367089,"CMDI"
"f8f0a423-1a3e-4fcc-e040-11ac0c481cb6",1141,2,682,459,0.402278703,"CMDI"
"f8f61e36-b934-9410-e040-11ac0c4804cc",345,2,27,318,0.92173913,"CMDI"
"f8f7f274-dd98-3bb0-e040-11ac0c483fcd",1354,2,633,721,0.532496307,"CMDI"
"f8f9d9b8-abdd-1afb-e040-11ac0d480523",1477,2,1307,170,0.115098172,"CMDI"
"f8fae6e5-93b5-7233-e040-11ac0c4830e7",1179,2,865,314,0.266327396,"CMDI"
"f8fb791c-08b4-b6e1-e040-11ac0d4868f3",2664,2,365,2299,0.862987988,"CMDI"
"f9012277-55c4-2486-e040-11ac0c48236f",323,2,39,284,0.879256966,"CMDI"
"f901353f-fdeb-5a55-e040-11ac0c482e89",527,2,454,73,0.138519924,"CMDI"
"f901c7f7-891e-8ec1-e040-11ac0c480829",247,2,27,220,0.890688259,"CMDI"
"f9020478-c741-6776-e040-11ac0d481228",1511,3,761,750,0.496360026,"CMDI"
"f9031d03-def1-24b4-e040-11ac0c486570",1447,2,1323,124,0.08569454,"CMDI"
"f9039bd6-8fa6-37cb-e040-11ac0d486d06",721,2,626,95,0.131761442,"CMDI"
"f903cfe2-c082-1bf6-e040-11ac0d4809f7",797,2,558,239,0.299874529,"CMDI"
"f9052bfc-94a0-cb29-e040-11ac0c48284a",3042,2,2598,444,0.145956607,"CMDI"
"f90a074e-d82f-f6bb-e040-11ac0d487334",591,2,487,104,0.175972927,"CMDI"
"f90b298a-0546-6c36-e040-11ac0c487a0b",354,2,103,251,0.709039548,"CMDI"
"f90cab09-6797-eccb-e040-11ac0d486aa3",1582,2,774,808,0.510745891,"CMDI"
"f90d51f8-3bc4-2e66-e040-11ac0d484d19",807,2,616,191,0.236679058,"CMDI"
"f90dbdbf-f8cd-e0d8-e040-11ac0c482576",1192,3,824,368,0.308724832,"CMDI"
"f90f8204-4d65-04fa-e040-11ac0c4841bb",1797,2,1620,177,0.098497496,"CMDI"
"f9101872-d864-c508-e040-11ac0c4818b5",875,2,726,149,0.170285714,"CMDI"
"f9116dda-19f4-9e1b-e040-11ac0c4872b8",1178,1,1178,0,0,"CMDI"
"f91661d6-a2b5-fac2-e040-11ac0d4852fd",1564,2,159,1405,0.898337596,"CMDI"
"f91a9af2-7909-099e-e040-11ac0c484205",158,3,26,132,0.835443038,"CMDI"
"f91ba748-5a05-e738-e040-11ac0c486a08",1270,2,1090,180,0.141732283,"CMDI"
"f91bde65-233d-2218-e040-11ac0c480a33",981,2,677,304,0.30988787,"CMDI"
"f91d1645-9b68-edbb-e040-11ac0c4854d8",323,3,73,250,0.773993808,"CMDI"
"f91faa2e-ea53-bef4-e040-11ac0d485f5d",1047,3,273,774,0.739255014,"CMDI"
"f920200e-f349-3730-e040-11ac0d4825cc",693,2,584,109,0.157287157,"CMDI"
"f920ef57-c942-d2e1-e040-11ac0d481706",1096,2,572,524,0.47810219,"CMDI"
"f92268fe-7a92-51e8-e040-11ac0d48733a",1369,2,1041,328,0.239590942,"CMDI"
"f925f24b-bffd-89ab-e040-11ac0d48682f",1947,3,1141,806,0.413970211,"CMDI"
"f926087f-0bec-1316-e040-11ac0c480a58",246,3,56,190,0.772357724,"CMDI"
"f92a78d1-90ff-70c8-e040-11ac0d485eca",1693,3,491,1202,0.70998228,"CMDI"
"f92b2c52-ed64-4594-e040-11ac0d48425c",792,2,283,509,0.642676768,"CMDI"
"f92b8fda-350b-17d5-e040-11ac0c480ce8",393,2,271,122,0.31043257,"CMDI"
"f92c8821-daba-3727-e040-11ac0d480224",895,2,70,825,0.921787709,"CMDI"
"f92fde51-6a19-6641-e040-11ac0c484074",74,2,14,60,0.810810811,"CMDI"
"f937fc8b-6fa7-12fd-e040-11ac0d4850f9",253,2,229,24,0.09486166,"CMDI"
"f938b6f4-a457-c624-e040-11ac0c486fad",613,3,429,184,0.300163132,"CMDI"
"f939f757-a415-ad44-e040-11ac0d4868e5",953,2,495,458,0.480587618,"CMDI"
"f93abbbf-5e13-9b85-e040-11ac0d485718",1011,2,364,647,0.639960435,"CMDI"
