"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0332b017-17d5-4083-8fc4-9d6f8fdbbbde",5760,2,5443,317,0.055034722,"GBM"
"04339769-517c-448d-a7ca-951f83608c60",2945,3,2382,563,0.191171477,"GBM"
"08ac57ec-0036-4134-a9bb-f22eaa27ab0d",6378,2,4589,1789,0.280495453,"GBM"
"1e27cc8a-5394-4958-9af6-5ece1fe24516",7152,2,6287,865,0.12094519,"GBM"
"25bee010-cc99-4af0-ba2f-fe4dd308be33",1556,2,1355,201,0.129177378,"GBM"
"2c71d542-1653-4d97-8752-f2fd05c7e75d",7308,2,6458,850,0.116310892,"GBM"
"2ce48f01-2f61-49d9-a56a-7438bf4a37d7",6913,2,6499,414,0.059887169,"GBM"
"2fdab641-d73b-4f9a-aa4c-c1944f131a69",4200,2,3727,473,0.112619048,"GBM"
"374cbd87-428e-4509-85c1-b7d3302c30a0",6607,2,6172,435,0.065839261,"GBM"
"3914c02e-44ad-4c96-8464-61aa95b42c49",7800,2,6600,1200,0.153846154,"GBM"
"39520be3-a2af-4189-acf4-9d239363333a",5205,1,5205,0,0,"GBM"
"41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f",6593,2,6136,457,0.069315941,"GBM"
"4a1ad661-f6ae-44e8-b50b-72ff658ff22b",5403,2,4522,881,0.163057561,"GBM"
"4d7f2c74-862b-4aad-98e1-fa831f14a905",4702,2,3564,1138,0.24202467,"GBM"
"53dec97d-0464-4ffd-8e2e-95b2b9a03af0",9457,3,7956,1501,0.15871841,"GBM"
"56ffaa35-814c-4c0b-b3c6-d4514d34fec2",7811,2,6165,1646,0.21072846,"GBM"
"5fd77ba9-5015-4d8b-86a0-582e5c76bdd6",9287,2,8502,785,0.084526758,"GBM"
"65723119-bdfe-46f0-b629-c171023abd71",7922,2,6442,1480,0.18682151,"GBM"
"6de41ac1-229b-40b9-a494-5588c284351d",8316,2,7356,960,0.115440115,"GBM"
"7163a0f7-2c69-40b8-8857-8ab3f46f0acf",8012,2,6941,1071,0.133674488,"GBM"
"7cae6c0b-36fe-411b-bbba-093a4c846d84",7782,2,6726,1056,0.135697764,"GBM"
"82d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6",3372,2,3138,234,0.069395018,"GBM"
"841eb82b-347d-4d7f-805f-3f3701a2983d",6930,3,5537,1393,0.201010101,"GBM"
"914421d2-898e-433e-bb66-b1710eaae2c7",10091,2,9227,864,0.08562085,"GBM"
"96e3db14-2bb1-4f68-aed6-5e794750c96e",9124,2,8471,653,0.071569487,"GBM"
"96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb",4520,3,3525,995,0.220132743,"GBM"
"9880c3c9-5685-42a7-8fe9-7585ea1a1d37",5456,2,4681,775,0.142045455,"GBM"
"a6957d15-453c-4f3b-ab8c-c38054dfe548",2944,2,2237,707,0.240149457,"GBM"
"a8f86b64-914c-4d89-897b-33bcdd1759f7",3945,2,3004,941,0.238529785,"GBM"
"b1e62d8e-24d2-4118-8cd0-3142acebdd5b",4616,2,4068,548,0.118717504,"GBM"
"b2d17671-d2e1-4c97-8b01-a976d5abe1d6",4801,3,3925,876,0.182461987,"GBM"
"b60392fb-43d9-4c9c-b91b-ded40492e61c",6952,2,6274,678,0.097525892,"GBM"
"b8151614-b08f-49a3-ab6f-2e780f765a17",5664,2,5309,355,0.062676554,"GBM"
"c065761d-f775-457f-bda0-4c7c257a701e",11561,2,9107,2454,0.212265375,"GBM"
"c27290e4-6835-448a-abdc-df8ddd5f4630",5775,2,4728,1047,0.181298701,"GBM"
"d1132127-1250-43af-9c16-425798a3d1a7",6942,2,6326,616,0.088735235,"GBM"
"d60f54f5-b154-42c4-99fb-cea4e7a33dc7",6816,2,6272,544,0.079812207,"GBM"
"eab71331-53d3-4cf5-96c9-5121a3962c27",6456,3,4996,1460,0.226146221,"GBM"
"ece0f3a4-a204-4c52-bb1f-88d44a875b2e",10105,2,9143,962,0.095200396,"GBM"
"f98de26b-c7d6-435d-81fa-1f1869da9087",231789,2,1628,230161,0.992976371,"GBM"
"fca08ee9-b480-4dc7-be56-f1eb03b56f7c",4672,3,4124,548,0.117294521,"GBM"
