"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"0040b1b6-b07a-4b6e-90ef-133523eaf412",14212,2,13288,924,0.06501548,"LINC"
"06ecd127-6c24-422d-a7fb-bf5aee1b8b7b",7186,2,6571,615,0.085583078,"LINC"
"11473a98-d953-45f9-abf5-709b68a4bae8",5386,3,4645,741,0.137578908,"LINC"
"145f6dbb-9744-44f7-8485-e440689de3fd",3371,2,2929,442,0.131118363,"LINC"
"19085f7d-e6a6-406f-bd09-520a27e0283d",13183,2,11720,1463,0.110976257,"LINC"
"1cb25b72-3726-4f12-9e22-f5c7e4b05681",6155,2,5809,346,0.05621446,"LINC"
"35f82a33-bde2-47e2-8aba-ff1fd5920219",11064,2,10387,677,0.061189443,"LINC"
"3b02a7a7-e5bc-4e77-b691-521603630b00",16346,3,12404,3942,0.241159917,"LINC"
"43206cb7-787d-4f68-8019-55e8585c4b4d",10497,2,9758,739,0.070401067,"LINC"
"4f1fc78e-733d-4c6e-86b2-dbe1f98c141d",11995,2,10891,1104,0.092038349,"LINC"
"5042b417-d14e-42bb-b6f3-de303346a252",15283,2,14451,832,0.054439573,"LINC"
"50b61288-1412-4104-92e6-8b1a359ef399",10976,2,9419,1557,0.141854956,"LINC"
"558239c7-a160-4228-8fdf-a0a1d2f62133",3046,2,2870,176,0.057780696,"LINC"
"5769ae11-5f1b-483f-b228-7584591c66e6",5561,2,5226,335,0.060240964,"LINC"
"5ee1dda9-2e84-4617-af09-2ae02873b44d",13130,2,12253,877,0.066793602,"LINC"
"77bf9514-88da-473b-9a91-f669ef3cd343",10018,2,9455,563,0.056198842,"LINC"
"7a6cb147-a576-446d-a605-fa846ea3d1ad",5122,2,3845,1277,0.249316673,"LINC"
"80ebcecc-4a7a-40dd-914c-f0648a58095f",4715,2,3434,1281,0.271686108,"LINC"
"8a2580c3-9c89-4cb0-b94d-3eca15dac1c3",11693,2,11053,640,0.054733601,"LINC"
"8b0c4c91-2d07-4a9b-97a1-d2bda003437e",6884,2,6449,435,0.063190006,"LINC"
"93a49462-4bd3-4efa-87a5-69006abba5a0",9975,2,9407,568,0.056942356,"LINC"
"b2d9aaff-5a48-48f0-bf55-bfd4ddaeccaf",7620,1,7620,0,0,"LINC"
"b5f90cb8-7304-48fb-a1d3-ff459c7d79d1",17690,2,16663,1027,0.058055399,"LINC"
"cf777ef1-765f-4828-b789-f5aa6722eb35",8251,2,6818,1433,0.173675918,"LINC"
"e9445993-854d-44fc-a063-eacf70222fdf",9409,2,8914,495,0.052609204,"LINC"
"eb1792ee-6946-4e0d-bdd1-c924328dba5d",3715,3,2784,931,0.250605653,"LINC"
"ec23a354-e339-4466-9a1b-8e886ef627e6",17585,3,15688,1897,0.107876031,"LINC"
"f0768c67-f38c-40a8-8f27-81a927fb5dca",15532,2,14710,822,0.052922998,"LINC"
