"samplename","num_total_snv","num_Clusters","num_clonal_snv","num_subclonal_snv","Subclonal_fraction","cancer_type"
"04aa6b77-8074-480c-872e-a1a47afa5314",734098,1,734098,0,0,"SKCM"
"04c09376-8756-41d9-bbca-f464170a8cfb",69709,2,63591,6118,0.087764851,"SKCM"
"0dd0718d-5ddf-4c59-8c47-0f51303daeb5",147178,2,138656,8522,0.057902676,"SKCM"
"10bb1a92-901e-4a14-80f4-5e88f997754b",59334,2,57362,1972,0.033235582,"SKCM"
"14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0",50245,1,50245,0,0,"SKCM"
"15daadb0-6b24-4248-9225-470dc08f1552",3061,2,2892,169,0.055210715,"SKCM"
"22edd867-dcd6-42b5-92bb-025ceb84b106",56174,1,56174,0,0,"SKCM"
"2399ab13-abfa-480e-9fda-7947edc420be",50694,2,49533,1161,0.022902119,"SKCM"
"3869ff3f-21b9-4817-8ff4-83c6fc75ab11",373552,1,373552,0,0,"SKCM"
"3f2ecbcd-5c9e-4d57-8aa5-962e2e86a83c",76731,1,76731,0,0,"SKCM"
"3f98d326-5676-4257-9af8-0a5f5d3c2527",4666,2,4431,235,0.050364338,"SKCM"
"41a7b031-d928-4a1f-891b-82fb3f6d548f",207145,2,190521,16624,0.080252963,"SKCM"
"450e8eba-a3a9-4dcb-b423-e33dfcd5c34e",6776,2,5676,1100,0.162337662,"SKCM"
"507620ef-f0fc-4ac3-a7c0-ea2e36c40f77",43532,2,40989,2543,0.058416797,"SKCM"
"5310f698-d31a-4628-84b4-dc9ac29722a5",69269,1,69269,0,0,"SKCM"
"54a77010-2f16-4da9-8ca0-746a51801a00",68748,2,64488,4260,0.061965439,"SKCM"
"64dd81e1-35fa-4579-8a4c-f7486adbb949",29300,1,29300,0,0,"SKCM"
"6507e084-c038-4ba6-a431-fb9a53190d5f",236262,2,225532,10730,0.045415683,"SKCM"
"66d312fc-809d-428b-98e3-a29d211db35c",89422,2,85391,4031,0.045078392,"SKCM"
"6c884037-49f9-41c3-b0e5-9cbcd545aeb7",83750,2,79941,3809,0.045480597,"SKCM"
"75ba6722-1148-4a52-a9ed-68d890238205",274960,1,274960,0,0,"SKCM"
"88f2c496-3eb4-4c03-b3a5-8d5a55803aaf",115218,2,112097,3121,0.027087781,"SKCM"
"8d5ffe62-6dd9-4764-b0b7-5e3010eefe6d",15227,2,14260,967,0.063505615,"SKCM"
"8ea666b7-2b6e-4df8-9a9d-b8265b9749b4",35999,2,33926,2073,0.057584933,"SKCM"
"978ae91e-6ebe-4efa-97ff-cfad511ae7b3",244168,1,244168,0,0,"SKCM"
"a0583407-712d-46f3-8c4e-4eeaa0149087",5942,2,5173,769,0.129417704,"SKCM"
"affa4ef4-02ec-40f1-b6a2-739f8bf2afa9",7258,2,6880,378,0.052080463,"SKCM"
"b07bad52-d44c-4b27-900a-960985bfadec",333933,2,301633,32300,0.09672599,"SKCM"
"c21a5d55-9790-429f-a4e6-420293c07b53",72277,2,68351,3926,0.054318801,"SKCM"
"d053f88f-09e6-472e-a691-bb293c461399",43723,2,41052,2671,0.061089129,"SKCM"
"d056645f-4dd3-49f3-b0a4-2293e2b4d82c",35246,2,33214,2032,0.057651932,"SKCM"
"d0e033bc-8e97-4322-b3b1-8626f1e2449b",96615,2,79822,16793,0.17381359,"SKCM"
"d432e99a-67fb-4609-b90f-99438eee7cae",22244,2,21081,1163,0.052283762,"SKCM"
"e2774050-1257-4c29-b201-d79ce70fe17e",344472,1,344472,0,0,"SKCM"
"fa4d35e3-fc38-4e26-a9e0-521a648acec1",92762,2,89582,3180,0.034281279,"SKCM"
"fc249113-83d4-4abe-8c80-a4f7305dcd91",53503,1,53503,0,0,"SKCM"
"fe8c62a6-c113-46e8-ab91-fdb90bb6a59f",5277,2,4519,758,0.143642221,"SKCM"
