"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-OR-A5J1",36,3,29,7,33,6,0.194444444,0.181818182,"ACC"
"TCGA-OR-A5J2",34,4,25,9,27,7,0.264705882,0.259259259,"ACC"
"TCGA-OR-A5J3",17,3,10,7,13,4,0.411764706,0.307692308,"ACC"
"TCGA-OR-A5J4",142,2,122,20,119,19,0.14084507,0.159663866,"ACC"
"TCGA-OR-A5J5",486,3,365,121,434,114,0.248971193,0.262672811,"ACC"
"TCGA-OR-A5J6",39,4,15,24,36,21,0.615384615,0.583333333,"ACC"
"TCGA-OR-A5J7",49,2,46,3,45,3,0.06122449,0.066666667,"ACC"
"TCGA-OR-A5J8",118,3,60,58,107,53,0.491525424,0.495327103,"ACC"
"TCGA-OR-A5J9",37,1,37,0,32,0,0,0,"ACC"
"TCGA-OR-A5JA",597,3,493,104,507,91,0.174204355,0.179487179,"ACC"
"TCGA-OR-A5JB",411,2,383,28,344,23,0.068126521,0.066860465,"ACC"
"TCGA-OR-A5JC",36,4,10,26,29,21,0.722222222,0.724137931,"ACC"
"TCGA-OR-A5JD",31,4,14,17,28,16,0.548387097,0.571428571,"ACC"
"TCGA-OR-A5JE",66,2,62,4,57,2,0.060606061,0.035087719,"ACC"
"TCGA-OR-A5JF",84,2,71,13,70,11,0.154761905,0.157142857,"ACC"
"TCGA-OR-A5JG",34,4,26,8,30,7,0.235294118,0.233333333,"ACC"
"TCGA-OR-A5JJ",21,3,8,13,21,13,0.619047619,0.619047619,"ACC"
"TCGA-OR-A5JK",32,3,22,10,27,7,0.3125,0.259259259,"ACC"
"TCGA-OR-A5JM",75,4,59,16,58,13,0.213333333,0.224137931,"ACC"
"TCGA-OR-A5JO",17,3,3,14,13,11,0.823529412,0.846153846,"ACC"
"TCGA-OR-A5JP",88,3,58,30,73,27,0.340909091,0.369863014,"ACC"
"TCGA-OR-A5JS",49,3,41,8,41,8,0.163265306,0.195121951,"ACC"
"TCGA-OR-A5JT",38,4,30,8,32,8,0.210526316,0.25,"ACC"
"TCGA-OR-A5JU",30,2,5,25,28,24,0.833333333,0.857142857,"ACC"
"TCGA-OR-A5JW",33,4,24,9,31,9,0.272727273,0.290322581,"ACC"
"TCGA-OR-A5JX",39,3,31,8,35,7,0.205128205,0.2,"ACC"
"TCGA-OR-A5JY",85,3,69,16,71,14,0.188235294,0.197183099,"ACC"
"TCGA-OR-A5JZ",20,2,16,4,17,4,0.2,0.235294118,"ACC"
"TCGA-OR-A5K0",65,2,58,7,61,7,0.107692308,0.114754098,"ACC"
"TCGA-OR-A5K2",67,2,52,15,60,14,0.223880597,0.233333333,"ACC"
"TCGA-OR-A5K3",20,2,18,2,18,2,0.1,0.111111111,"ACC"
"TCGA-OR-A5K4",311,3,267,44,279,41,0.1414791,0.146953405,"ACC"
"TCGA-OR-A5K6",34,5,14,20,27,17,0.588235294,0.62962963,"ACC"
"TCGA-OR-A5KB",2463,2,2296,167,2073,129,0.067803492,0.062228654,"ACC"
"TCGA-OR-A5KP",70,3,31,39,62,33,0.557142857,0.532258065,"ACC"
"TCGA-OR-A5KS",21,2,12,9,20,9,0.428571429,0.45,"ACC"
"TCGA-OR-A5KT",34,2,19,15,24,11,0.441176471,0.458333333,"ACC"
"TCGA-OR-A5KV",24,4,14,10,19,9,0.416666667,0.473684211,"ACC"
