"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-2K-A9WE",66,2,4,62,59,56,0.939393939,0.949152542,"KIRP"
"TCGA-2Z-A9J1",119,3,99,20,90,17,0.168067227,0.188888889,"KIRP"
"TCGA-2Z-A9J2",100,2,72,28,81,24,0.28,0.296296296,"KIRP"
"TCGA-2Z-A9J3",155,2,142,13,131,11,0.083870968,0.083969466,"KIRP"
"TCGA-2Z-A9J5",114,3,89,25,94,19,0.219298246,0.20212766,"KIRP"
"TCGA-2Z-A9J6",67,3,28,39,59,34,0.582089552,0.576271186,"KIRP"
"TCGA-2Z-A9J7",58,3,44,14,46,9,0.24137931,0.195652174,"KIRP"
"TCGA-2Z-A9J8",34,3,27,7,21,3,0.205882353,0.142857143,"KIRP"
"TCGA-2Z-A9JD",135,3,103,32,109,28,0.237037037,0.256880734,"KIRP"
"TCGA-2Z-A9JE",112,2,102,10,88,5,0.089285714,0.056818182,"KIRP"
"TCGA-2Z-A9JG",98,5,43,55,80,45,0.56122449,0.5625,"KIRP"
"TCGA-2Z-A9JK",96,3,75,21,80,17,0.21875,0.2125,"KIRP"
"TCGA-2Z-A9JL",118,5,30,88,94,71,0.745762712,0.755319149,"KIRP"
"TCGA-2Z-A9JN",26,5,5,21,22,17,0.807692308,0.772727273,"KIRP"
"TCGA-2Z-A9JO",46,4,7,39,38,33,0.847826087,0.868421053,"KIRP"
"TCGA-2Z-A9JP",74,4,31,43,55,32,0.581081081,0.581818182,"KIRP"
"TCGA-2Z-A9JQ",105,5,29,76,84,62,0.723809524,0.738095238,"KIRP"
"TCGA-2Z-A9JR",56,6,9,47,47,39,0.839285714,0.829787234,"KIRP"
"TCGA-2Z-A9JS",149,2,131,18,124,13,0.120805369,0.10483871,"KIRP"
"TCGA-2Z-A9JT",96,2,91,5,75,4,0.052083333,0.053333333,"KIRP"
"TCGA-4A-A93W",121,5,55,66,97,56,0.545454545,0.577319588,"KIRP"
"TCGA-4A-A93X",120,2,107,13,99,12,0.108333333,0.121212121,"KIRP"
"TCGA-4A-A93Y",39,2,2,37,30,29,0.948717949,0.966666667,"KIRP"
"TCGA-5P-A9JU",86,2,67,19,67,16,0.220930233,0.23880597,"KIRP"
"TCGA-5P-A9JV",74,3,56,18,64,12,0.243243243,0.1875,"KIRP"
"TCGA-5P-A9JW",105,2,98,7,84,6,0.066666667,0.071428571,"KIRP"
"TCGA-5P-A9JZ",56,2,49,7,47,7,0.125,0.14893617,"KIRP"
"TCGA-5P-A9K0",108,4,49,59,81,42,0.546296296,0.518518519,"KIRP"
"TCGA-5P-A9K2",92,4,38,54,75,40,0.586956522,0.533333333,"KIRP"
"TCGA-5P-A9K3",74,2,68,6,61,6,0.081081081,0.098360656,"KIRP"
"TCGA-5P-A9K6",60,2,54,6,50,4,0.1,0.08,"KIRP"
"TCGA-5P-A9KA",116,4,29,87,86,68,0.75,0.790697674,"KIRP"
"TCGA-5P-A9KC",101,3,79,22,78,14,0.217821782,0.179487179,"KIRP"
"TCGA-5P-A9KE",108,4,30,78,89,67,0.722222222,0.752808989,"KIRP"
"TCGA-5P-A9KH",34,4,19,15,28,11,0.441176471,0.392857143,"KIRP"
"TCGA-A4-7286",46,3,39,7,40,6,0.152173913,0.15,"KIRP"
"TCGA-A4-7287",51,3,39,12,46,10,0.235294118,0.217391304,"KIRP"
"TCGA-A4-7288",85,5,56,29,70,24,0.341176471,0.342857143,"KIRP"
"TCGA-A4-7583",418,2,58,360,363,308,0.861244019,0.848484848,"KIRP"
"TCGA-A4-7584",83,4,33,50,69,42,0.602409639,0.608695652,"KIRP"
"TCGA-A4-7585",91,4,19,72,74,57,0.791208791,0.77027027,"KIRP"
"TCGA-A4-7734",57,2,48,9,48,8,0.157894737,0.166666667,"KIRP"
"TCGA-A4-7828",31,4,6,25,29,23,0.806451613,0.793103448,"KIRP"
"TCGA-A4-7915",33,4,9,24,30,22,0.727272727,0.733333333,"KIRP"
"TCGA-A4-7996",92,3,78,14,79,11,0.152173913,0.139240506,"KIRP"
"TCGA-A4-7997",89,3,78,11,76,10,0.123595506,0.131578947,"KIRP"
"TCGA-A4-8098",94,3,82,12,78,9,0.127659574,0.115384615,"KIRP"
"TCGA-A4-8310",81,3,65,16,73,14,0.197530864,0.191780822,"KIRP"
