"tcga_id","Total_number_SNVs","Number_of_clusters","Number_of_clonal_SNVs","Number_of_subclonal_SNVs","Total_number_SNVs_CDS","Number_subclonal_SNVs_CDS","Subclonal_fraction","sML","cancer_type"
"TCGA-2A-A8VL",35,3,22,13,29,12,0.371428571,0.413793103,"PRAD"
"TCGA-2A-A8VO",36,4,10,26,30,22,0.722222222,0.733333333,"PRAD"
"TCGA-2A-A8VV",32,4,7,25,29,22,0.78125,0.75862069,"PRAD"
"TCGA-2A-A8VX",33,4,22,11,31,11,0.333333333,0.35483871,"PRAD"
"TCGA-2A-A8W1",28,4,12,16,27,15,0.571428571,0.555555556,"PRAD"
"TCGA-2A-A8W3",50,2,44,6,41,5,0.12,0.12195122,"PRAD"
"TCGA-2A-AAYF",23,2,16,7,21,7,0.304347826,0.333333333,"PRAD"
"TCGA-2A-AAYO",21,3,14,7,19,6,0.333333333,0.315789474,"PRAD"
"TCGA-2A-AAYU",30,2,27,3,29,3,0.1,0.103448276,"PRAD"
"TCGA-CH-5737",63,5,14,49,55,44,0.777777778,0.8,"PRAD"
"TCGA-CH-5738",23,4,4,19,17,15,0.826086957,0.882352941,"PRAD"
"TCGA-CH-5739",50,4,13,37,43,31,0.74,0.720930233,"PRAD"
"TCGA-CH-5740",25,3,13,12,22,11,0.48,0.5,"PRAD"
"TCGA-CH-5741",32,4,12,20,24,15,0.625,0.625,"PRAD"
"TCGA-CH-5744",36,3,14,22,29,20,0.611111111,0.689655172,"PRAD"
"TCGA-CH-5745",33,3,19,14,28,12,0.424242424,0.428571429,"PRAD"
"TCGA-CH-5746",14,2,7,7,13,6,0.5,0.461538462,"PRAD"
"TCGA-CH-5748",48,2,17,31,45,28,0.645833333,0.622222222,"PRAD"
"TCGA-CH-5750",46,6,19,27,40,25,0.586956522,0.625,"PRAD"
"TCGA-CH-5752",51,6,8,43,41,35,0.843137255,0.853658537,"PRAD"
"TCGA-CH-5754",115,4,49,66,105,59,0.573913043,0.561904762,"PRAD"
"TCGA-CH-5761",60,2,49,11,53,10,0.183333333,0.188679245,"PRAD"
"TCGA-CH-5763",24,2,5,19,22,17,0.791666667,0.772727273,"PRAD"
"TCGA-CH-5764",39,3,16,23,36,22,0.58974359,0.611111111,"PRAD"
"TCGA-CH-5765",43,3,33,10,37,7,0.23255814,0.189189189,"PRAD"
"TCGA-CH-5767",46,3,16,30,43,28,0.652173913,0.651162791,"PRAD"
"TCGA-CH-5771",31,3,7,24,26,22,0.774193548,0.846153846,"PRAD"
"TCGA-CH-5772",67,3,17,50,60,43,0.746268657,0.716666667,"PRAD"
"TCGA-CH-5788",51,3,36,15,44,12,0.294117647,0.272727273,"PRAD"
"TCGA-CH-5790",27,2,9,18,22,15,0.666666667,0.681818182,"PRAD"
"TCGA-CH-5791",46,4,20,26,42,25,0.565217391,0.595238095,"PRAD"
"TCGA-CH-5792",42,3,25,17,37,14,0.404761905,0.378378378,"PRAD"
"TCGA-CH-5794",38,4,23,15,32,12,0.394736842,0.375,"PRAD"
"TCGA-EJ-5494",35,2,7,28,31,25,0.8,0.806451613,"PRAD"
"TCGA-EJ-5495",90,3,64,26,74,25,0.288888889,0.337837838,"PRAD"
"TCGA-EJ-5496",41,4,18,23,40,22,0.56097561,0.55,"PRAD"
"TCGA-EJ-5497",25,3,4,21,22,18,0.84,0.818181818,"PRAD"
"TCGA-EJ-5498",45,3,30,15,37,14,0.333333333,0.378378378,"PRAD"
"TCGA-EJ-5499",43,2,33,10,34,7,0.23255814,0.205882353,"PRAD"
"TCGA-EJ-5501",23,3,11,12,22,11,0.52173913,0.5,"PRAD"
"TCGA-EJ-5502",12,2,5,7,12,7,0.583333333,0.583333333,"PRAD"
"TCGA-EJ-5505",37,4,13,24,32,22,0.648648649,0.6875,"PRAD"
"TCGA-EJ-5506",14,3,3,11,12,9,0.785714286,0.75,"PRAD"
"TCGA-EJ-5507",39,5,24,15,35,13,0.384615385,0.371428571,"PRAD"
"TCGA-EJ-5508",30,3,10,20,26,16,0.666666667,0.615384615,"PRAD"
"TCGA-EJ-5509",30,4,8,22,27,20,0.733333333,0.740740741,"PRAD"
"TCGA-EJ-5510",23,3,16,7,22,7,0.304347826,0.318181818,"PRAD"
"TCGA-EJ-5511",41,2,19,22,37,21,0.536585366,0.567567568,"PRAD"
"TCGA-EJ-5512",19,2,14,5,16,5,0.263157895,0.3125,"PRAD"
"TCGA-EJ-5514",37,2,33,4,32,3,0.108108108,0.09375,"PRAD"
"TCGA-EJ-5515",16,2,1,15,15,14,0.9375,0.933333333,"PRAD"
"TCGA-EJ-5516",31,2,15,16,28,16,0.516129032,0.571428571,"PRAD"
"TCGA-EJ-5517",29,4,7,22,23,18,0.75862069,0.782608696,"PRAD"
"TCGA-EJ-5518",47,4,18,29,40,27,0.617021277,0.675,"PRAD"
"TCGA-EJ-5519",98,3,48,50,91,47,0.510204082,0.516483516,"PRAD"
"TCGA-EJ-5521",59,2,45,14,55,13,0.237288136,0.236363636,"PRAD"
"TCGA-EJ-5522",33,2,29,4,28,4,0.121212121,0.142857143,"PRAD"
"TCGA-EJ-5525",78,4,56,22,64,21,0.282051282,0.328125,"PRAD"
"TCGA-EJ-5526",33,2,31,2,28,2,0.060606061,0.071428571,"PRAD"
"TCGA-EJ-5527",44,3,15,29,37,24,0.659090909,0.648648649,"PRAD"
"TCGA-EJ-5530",61,3,13,48,55,43,0.786885246,0.781818182,"PRAD"
"TCGA-EJ-5531",35,2,26,9,32,9,0.257142857,0.28125,"PRAD"
"TCGA-EJ-5532",32,4,12,20,27,16,0.625,0.592592593,"PRAD"
"TCGA-EJ-5542",37,2,23,14,27,11,0.378378378,0.407407407,"PRAD"
"TCGA-EJ-7115",49,3,31,18,42,15,0.367346939,0.357142857,"PRAD"
"TCGA-EJ-7123",77,3,20,57,68,49,0.74025974,0.720588235,"PRAD"
"TCGA-EJ-7125",124,2,24,100,104,83,0.806451613,0.798076923,"PRAD"
"TCGA-EJ-7218",33,2,10,23,30,21,0.696969697,0.7,"PRAD"
"TCGA-EJ-7312",33,4,21,12,28,10,0.363636364,0.357142857,"PRAD"
"TCGA-EJ-7314",39,4,8,31,35,29,0.794871795,0.828571429,"PRAD"
"TCGA-EJ-7315",29,5,7,22,22,16,0.75862069,0.727272727,"PRAD"
"TCGA-EJ-7317",46,4,15,31,44,30,0.673913043,0.681818182,"PRAD"
"TCGA-EJ-7318",36,3,20,16,32,15,0.444444444,0.46875,"PRAD"
"TCGA-EJ-7325",27,3,21,6,24,5,0.222222222,0.208333333,"PRAD"
"TCGA-EJ-7327",30,3,10,20,27,18,0.666666667,0.666666667,"PRAD"
"TCGA-EJ-7328",39,3,6,33,35,30,0.846153846,0.857142857,"PRAD"
"TCGA-EJ-7330",50,1,50,0,44,0,0,0,"PRAD"
"TCGA-EJ-7781",65,2,8,57,62,54,0.876923077,0.870967742,"PRAD"
"TCGA-EJ-7782",459,4,113,346,409,314,0.753812636,0.767726161,"PRAD"
"TCGA-EJ-7783",50,3,10,40,46,36,0.8,0.782608696,"PRAD"
"TCGA-EJ-7784",47,2,24,23,42,23,0.489361702,0.547619048,"PRAD"
"TCGA-EJ-7785",20,2,15,5,20,5,0.25,0.25,"PRAD"
"TCGA-EJ-7786",34,3,7,27,30,26,0.794117647,0.866666667,"PRAD"
"TCGA-EJ-7788",45,3,26,19,37,15,0.422222222,0.405405405,"PRAD"
"TCGA-EJ-7791",21,2,5,16,20,15,0.761904762,0.75,"PRAD"
"TCGA-EJ-7792",18,2,15,3,17,2,0.166666667,0.117647059,"PRAD"
"TCGA-EJ-7793",12,3,2,10,12,10,0.833333333,0.833333333,"PRAD"
"TCGA-EJ-7794",17,3,4,13,15,12,0.764705882,0.8,"PRAD"
"TCGA-EJ-7797",33,3,11,22,30,21,0.666666667,0.7,"PRAD"
"TCGA-EJ-8468",31,3,19,12,27,12,0.387096774,0.444444444,"PRAD"
"TCGA-EJ-8469",33,5,5,28,30,26,0.848484848,0.866666667,"PRAD"
"TCGA-EJ-8470",28,4,6,22,27,21,0.785714286,0.777777778,"PRAD"
"TCGA-EJ-8472",56,2,52,4,51,3,0.071428571,0.058823529,"PRAD"
"TCGA-EJ-A46D",16,2,3,13,14,12,0.8125,0.857142857,"PRAD"
"TCGA-EJ-A46F",39,5,22,17,37,16,0.435897436,0.432432432,"PRAD"
"TCGA-EJ-A46G",68,3,41,27,61,25,0.397058824,0.409836066,"PRAD"
"TCGA-EJ-A65B",34,2,7,27,31,26,0.794117647,0.838709677,"PRAD"
"TCGA-EJ-A65D",45,3,27,18,38,18,0.4,0.473684211,"PRAD"
"TCGA-EJ-A65E",47,3,29,18,41,16,0.382978723,0.390243902,"PRAD"
"TCGA-EJ-A65F",85,3,54,31,75,27,0.364705882,0.36,"PRAD"
"TCGA-EJ-A65J",45,3,36,9,39,7,0.2,0.179487179,"PRAD"
"TCGA-EJ-A65M",45,4,15,30,39,26,0.666666667,0.666666667,"PRAD"
"TCGA-EJ-A6RA",15,2,4,11,15,11,0.733333333,0.733333333,"PRAD"
"TCGA-EJ-A6RC",28,2,6,22,27,21,0.785714286,0.777777778,"PRAD"
"TCGA-EJ-A7NF",24,3,14,10,22,9,0.416666667,0.409090909,"PRAD"
"TCGA-EJ-A7NH",23,3,11,12,21,11,0.52173913,0.523809524,"PRAD"
"TCGA-EJ-A7NM",66,2,58,8,56,8,0.121212121,0.142857143,"PRAD"
"TCGA-EJ-A8FN",43,4,15,28,40,26,0.651162791,0.65,"PRAD"
"TCGA-EJ-A8FO",20,3,4,16,18,14,0.8,0.777777778,"PRAD"
"TCGA-EJ-A8FS",38,5,15,23,33,19,0.605263158,0.575757576,"PRAD"
"TCGA-EJ-A8FU",12,2,2,10,12,10,0.833333333,0.833333333,"PRAD"
"TCGA-EJ-AB20",16,5,3,13,16,13,0.8125,0.8125,"PRAD"
"TCGA-EJ-AB27",29,2,6,23,26,23,0.793103448,0.884615385,"PRAD"
"TCGA-FC-7708",34,3,11,23,32,22,0.676470588,0.6875,"PRAD"
"TCGA-FC-7961",57,2,44,13,47,12,0.228070175,0.255319149,"PRAD"
"TCGA-FC-A4JI",40,2,35,5,34,5,0.125,0.147058824,"PRAD"
"TCGA-FC-A5OB",34,5,16,18,29,14,0.529411765,0.482758621,"PRAD"
"TCGA-FC-A6HD",39,3,23,16,36,13,0.41025641,0.361111111,"PRAD"
"TCGA-FC-A8O0",17,6,3,14,15,13,0.823529412,0.866666667,"PRAD"
"TCGA-G9-6329",36,2,13,23,32,20,0.638888889,0.625,"PRAD"
"TCGA-G9-6332",33,2,29,4,26,2,0.121212121,0.076923077,"PRAD"
"TCGA-G9-6333",46,2,25,21,40,17,0.456521739,0.425,"PRAD"
"TCGA-G9-6336",21,2,6,15,20,14,0.714285714,0.7,"PRAD"
"TCGA-G9-6338",48,3,13,35,42,30,0.729166667,0.714285714,"PRAD"
"TCGA-G9-6339",52,3,26,26,45,22,0.5,0.488888889,"PRAD"
